Raw Data
Scope 1/1, Sample 1/9 (8-Aug-16 Bin5)
Method Function,Sample (S1)
0.3290,43,-71.2,19.6,0.0070,,
0.3375,44,-69.4,19.6,0.0070,,
0.3460,45,-67.0,19.6,0.0070,,
0.3535,46,-65.3,19.6,0.0070,,
0.3620,47,-63.1,19.6,0.0075,,
0.3705,48,-61.1,19.6,0.0070,,
0.3790,49,-59.2,19.6,0.0070,,
0.3870,50,-56.9,19.6,0.0065,,
0.3955,51,-54.7,19.6,0.0075,,
0.4030,52,-52.7,19.6,0.0070,,
0.4115,53,-50.2,19.6,0.0075,,
0.4200,54,-47.0,19.6,0.0070,,
0.4285,55,-43.1,19.6,0.0070,,
0.4370,56,-39.3,19.6,0.0070,,
0.4445,57,-36.1,19.6,0.0070,,
0.4530,58,-31.8,19.6,0.0075,,
0.4615,59,-27.6,19.6,0.0075,,
0.4700,60,-23.2,19.6,0.0070,,
0.4780,61,-19.1,19.6,0.0065,,
0.4865,62,-15.0,19.6,0.0070,,
0.4940,63,-11.3,19.6,0.0070,,
0.5025,64,-7.0,19.6,0.0075,,
0.5110,65,-4.0,19.6,0.0070,,
0.5195,66,-0.8,19.6,0.0070,,
0.5280,67,1.7,19.6,0.0070,,
0.5355,68,3.5,19.6,0.0070,,
0.5440,69,5.2,19.6,0.0075,,
0.5525,70,6.4,19.6,0.0075,,
0.5610,71,7.7,19.6,0.0070,,
0.5695,72,9.1,19.6,0.0070,,
0.5775,73,10.4,19.6,0.0065,,
0.5855,74,11.7,19.6,0.0075,,
0.5935,75,13.2,19.6,0.0075,,
0.6020,76,14.7,19.6,0.0070,,
0.6105,77,16.4,19.6,0.0070,,
0.6190,78,18.1,19.6,0.0070,,
0.6275,79,19.2,19.6,0.0075,,
0.6350,80,20.4,19.6,0.0070,,
0.6435,81,21.6,19.6,0.0075,,
0.6520,82,22.4,19.6,0.0070,,
0.6605,83,22.9,19.6,0.0070,,
0.6685,84,23.7,19.6,0.0065,,
0.6765,85,24.6,19.6,0.0075,,
0.6845,86,25.5,19.6,0.0075,,
0.6930,87,26.8,19.6,0.0075,,
0.7015,88,28.1,19.6,0.0070,,
0.7100,89,28.8,19.6,0.0070,,
0.7185,90,30.2,19.6,0.0070,,
0.7260,91,31.0,19.6,0.0070,,
0.7345,92,32.4,19.6,0.0075,,
0.7430,93,33.7,19.6,0.0070,,
0.7515,94,34.4,19.6,0.0070,,
0.7595,95,34.7,19.6,0.0065,,
0.7680,96,35.6,19.6,0.0075,,
0.7755,97,37.0,19.6,0.0070,,
0.7840,98,37.3,19.6,0.0075,,
0.7925,99,37.9,19.6,0.0070,,
0.8010,100,39.1,19.6,0.0070,,
0.8095,101,40.0,19.6,0.0070,,
0.8170,102,41.0,19.6,0.0070,,
0.8255,103,42.2,19.6,0.0075,,
0.8340,104,43.2,19.6,0.0075,,
0.8425,105,44.2,19.6,0.0070,,
0.8505,106,45.3,19.6,0.0065,,
0.8590,107,46.0,19.6,0.0070,,
0.8665,108,46.9,19.6,0.0070,,
0.8750,109,47.2,19.6,0.0075,,
0.8835,110,47.8,19.6,0.0070,,
0.8920,111,49.4,19.6,0.0070,,
0.9005,112,50.4,19.6,0.0070,,
0.9090,113,51.0,19.6,0.0075,,
0.9165,114,52.1,19.6,0.0070,,
0.9250,115,53.4,19.6,0.0075,,
0.9335,116,54.3,19.6,0.0070,,
0.9420,117,55.0,19.6,0.0070,,
0.9500,118,55.6,19.6,0.0065,,
0.9580,119,56.4,19.6,0.0075,,
0.9660,120,57.2,19.6,0.0075,,
0.9745,121,58.1,19.6,0.0075,,
0.9830,122,59.5,19.6,0.0070,,
0.9915,123,60.7,19.6,0.0070,,
1.0000,124,62.3,19.6,0.0070,,
1.0075,125,63.4,19.6,0.0070,,
1.0160,126,64.1,19.6,0.0075,,
1.0245,127,65.0,19.6,0.0070,,
1.0330,128,65.8,19.6,0.0070,,
1.0415,129,67.1,19.6,0.0070,,
1.0495,130,68.0,19.6,0.0075,,
1.0575,131,69.0,19.6,0.0075,,
1.0655,132,71.0,19.6,0.0075,,
1.0740,133,72.7,19.6,0.0070,,
1.0825,134,73.6,19.6,0.0070,,
1.0910,135,74.7,19.6,0.0070,,
1.0985,136,76.3,19.6,0.0070,,
1.1070,137,77.2,19.6,0.0075,,
1.1155,138,78.1,19.6,0.0070,,
1.1240,139,80.1,19.6,0.0070,,
1.1325,140,83.0,19.6,0.0070,,
1.1400,141,84.2,19.6,0.0070,,
1.1485,142,85.3,19.6,0.0075,,
1.1570,143,86.1,19.6,0.0075,,
1.1650,144,87.6,19.6,0.0065,,
1.1735,145,89.6,19.6,0.0070,,
1.1820,146,91.5,19.6,0.0070,,
1.1895,147,93.2,19.6,0.0070,,
1.1980,148,96.0,19.6,0.0075,,
1.2065,149,98.6,19.6,0.0070,,
1.2150,150,101.4,19.6,0.0070,,
1.2235,151,103.8,19.6,0.0070,,
1.2320,152,106.5,19.6,0.0075,,
1.2395,153,109.8,19.6,0.0070,,
1.2480,154,112.9,19.6,0.0075,,
1.2560,155,115.6,19.6,0.0065,,
1.2645,156,118.9,19.6,0.0070,,
1.2730,157,123.3,19.6,0.0070,,
1.2805,158,126.2,19.6,0.0070,,
1.2890,159,130.9,19.6,0.0075,,
1.2975,160,135.1,19.6,0.0075,,
1.3060,161,140.2,19.6,0.0070,,
1.3145,162,145.1,19.6,0.0070,,
1.3230,163,149.6,19.6,0.0070,,
1.3305,164,153.8,19.6,0.0070,,
1.3390,165,157.6,19.6,0.0075,,
1.3475,166,160.7,19.6,0.0075,,
1.3555,167,164.1,19.6,0.0065,,
1.3640,168,166.7,19.6,0.0070,,
1.3725,169,169.5,19.6,0.0070,,
1.3800,170,172.1,19.6,0.0070,,
1.3885,171,173.8,19.6,0.0075,,
1.3970,172,176.1,19.6,0.0070,,
1.4055,173,178.5,19.6,0.0070,,
1.4140,174,181.0,19.6,0.0070,,
1.4220,175,182.4,19.6,0.0075,,
1.4295,176,184.2,19.6,0.0070,,
1.4370,177,185.6,19.6,0.0070,,
1.4415,178,186.4,19.6,0.0035,,
1.4420,179,186.8,19.6,0.0005,,
1.4425,180,187.0,19.6,0.0005,,
1.4430,181,187.2,19.6,0.0005,,
1.4450,182,187.7,19.6,0.0020,,
1.4475,183,187.9,19.6,0.0025,,
1.4495,184,188.6,19.6,0.0015,,
1.4505,185,189.4,19.6,0.0010,,
1.4510,186,189.3,19.6,0.0005,,
1.4515,187,189.6,19.6,0.0005,,
1.4525,188,189.2,19.6,0.0010,,
1.4525,189,188.7,19.6,0.0000,,
1.4535,190,189.0,19.6,0.0010,,
1.4540,191,189.0,19.6,0.0005,,
1.4545,192,190.1,19.6,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.5,19.8,NaN,,
0.0005,1,190.3,19.8,0.0005,,
0.0020,2,189.7,19.8,0.0015,,
0.0050,3,189.3,19.8,0.0025,,
0.0090,4,190.3,19.8,0.0035,,
0.0150,5,191.0,19.8,0.0050,,
0.0235,6,191.4,19.8,0.0075,,
0.0310,7,192.8,19.8,0.0070,,
0.0395,8,194.3,19.8,0.0075,,
0.0480,9,195.3,19.8,0.0070,,
0.0565,10,196.5,19.8,0.0070,,
0.0650,11,196.9,19.8,0.0070,,
0.0725,12,197.7,19.8,0.0070,,
0.0810,13,198.1,19.8,0.0075,,
0.0895,14,199.1,19.8,0.0075,,
0.0975,15,200.4,19.8,0.0065,,
0.1060,16,201.6,19.8,0.0070,,
0.1145,17,202.6,19.8,0.0070,,
0.1220,18,203.2,19.8,0.0070,,
0.1305,19,203.6,19.8,0.0075,,
0.1390,20,203.8,19.8,0.0070,,
0.1475,21,204.4,19.8,0.0070,,
0.1560,22,205.2,19.8,0.0070,,
0.1645,23,205.8,19.8,0.0075,,
0.1720,24,206.4,19.8,0.0070,,
0.1805,25,207.2,19.8,0.0075,,
0.1885,26,208.2,19.8,0.0065,,
0.1970,27,209.4,19.8,0.0070,,
0.2055,28,209.9,19.8,0.0070,,
0.2130,29,210.3,19.8,0.0070,,
0.2215,30,210.9,19.8,0.0075,,
0.2300,31,210.8,19.8,0.0075,,
0.2385,32,211.2,19.8,0.0070,,
0.2470,33,211.8,19.8,0.0070,,
0.2555,34,212.5,19.8,0.0070,,
0.2630,35,213.0,19.8,0.0070,,
0.2715,36,213.9,19.8,0.0075,,
0.2800,37,214.8,19.8,0.0070,,
0.2880,38,215.1,19.8,0.0065,,
0.2965,39,215.8,19.8,0.0070,,
0.3050,40,216.0,19.8,0.0075,,
0.3125,41,216.7,19.8,0.0070,,
0.3210,42,217.1,19.8,0.0075,,
0.3295,43,216.8,19.8,0.0070,,
0.3380,44,216.9,19.8,0.0070,,
0.3465,45,217.5,19.8,0.0070,,
0.3540,46,217.8,19.8,0.0070,,
0.3625,47,218.5,19.8,0.0075,,
0.3710,48,219.4,19.8,0.0075,,
0.3790,49,219.7,19.8,0.0065,,
0.3875,50,220.4,19.8,0.0070,,
0.3960,51,220.9,19.8,0.0070,,
0.4035,52,221.2,19.8,0.0070,,
0.4120,53,221.5,19.8,0.0075,,
0.4205,54,222.0,19.8,0.0070,,
0.4290,55,221.7,19.8,0.0070,,
0.4375,56,221.6,19.8,0.0070,,
0.4460,57,222.0,19.8,0.0075,,
0.4535,58,222.3,19.8,0.0070,,
0.4620,59,223.2,19.8,0.0075,,
0.4700,60,223.6,19.8,0.0065,,
0.4785,61,224.2,19.8,0.0070,,
0.4870,62,224.4,19.8,0.0070,,
0.4945,63,224.9,19.8,0.0070,,
0.5030,64,225.3,19.8,0.0075,,
0.5115,65,225.7,19.8,0.0075,,
0.5200,66,226.1,19.8,0.0070,,
0.5285,67,226.0,19.8,0.0070,,
0.5370,68,225.7,19.8,0.0070,,
0.5445,69,226.0,19.8,0.0070,,
0.5530,70,226.1,19.8,0.0075,,
0.5610,71,226.4,19.8,0.0065,,
0.5695,72,226.8,19.8,0.0070,,
0.5780,73,227.4,19.8,0.0070,,
0.5865,74,227.8,19.8,0.0075,,
0.5940,75,228.6,19.8,0.0070,,
0.6025,76,229.0,19.8,0.0075,,
0.6110,77,229.3,19.8,0.0070,,
0.6195,78,229.5,19.8,0.0070,,
0.6280,79,229.8,19.8,0.0070,,
0.6360,80,229.9,19.8,0.0075,,
0.6440,81,230.3,19.8,0.0075,,
0.6520,82,230.6,19.8,0.0075,,
0.6605,83,230.6,19.8,0.0070,,
0.6690,84,230.2,19.8,0.0070,,
0.6775,85,230.2,19.8,0.0070,,
0.6850,86,230.9,19.8,0.0070,,
0.6935,87,231.1,19.8,0.0075,,
0.7020,88,230.9,19.8,0.0075,,
0.7105,89,231.3,19.8,0.0070,,
0.7190,90,231.9,19.8,0.0070,,
0.7270,91,232.5,19.8,0.0065,,
0.7350,92,232.7,19.8,0.0075,,
0.7430,93,233.1,19.8,0.0075,,
0.7515,94,233.4,19.8,0.0070,,
0.7600,95,233.7,19.8,0.0070,,
0.7685,96,234.0,19.8,0.0070,,
0.7770,97,234.2,19.8,0.0075,,
0.7845,98,233.9,19.8,0.0070,,
0.7930,99,233.5,19.8,0.0075,,
0.8015,100,233.7,19.8,0.0070,,
0.8100,101,234.2,19.8,0.0070,,
0.8185,102,234.9,19.8,0.0070,,
0.8260,103,235.0,19.8,0.0070,,
0.8345,104,235.5,19.8,0.0075,,
0.8425,105,235.9,19.8,0.0065,,
0.8510,106,236.0,19.8,0.0070,,
0.8595,107,235.8,19.8,0.0070,,
0.8680,108,236.1,19.8,0.0075,,
0.8755,109,236.4,19.8,0.0070,,
0.8840,110,235.8,19.8,0.0075,,
0.8925,111,236.1,19.8,0.0070,,
0.9010,112,236.8,19.8,0.0070,,
0.9095,113,237.4,19.8,0.0070,,
0.9170,114,237.6,19.8,0.0070,,
0.9255,115,237.9,19.8,0.0075,,
0.9340,116,237.9,19.8,0.0070,,
0.9420,117,238.2,19.8,0.0065,,
0.9495,118,237.7,19.8,0.0060,,
0.9580,119,237.8,19.8,0.0070,,
0.9655,120,237.9,19.8,0.0070,,
0.9735,121,238.0,19.8,0.0075,,
0.9800,122,238.9,19.8,0.0055,,
0.9820,123,239.3,19.8,0.0015,,
0.9825,124,239.4,19.8,0.0005,,
0.9835,125,239.4,19.8,0.0010,,
0.9840,126,239.4,19.8,0.0005,,
0.9855,127,239.4,19.8,0.0015,,
0.9870,128,239.0,19.8,0.0010,,
0.9885,129,238.4,19.8,0.0010,,
0.9895,130,238.6,19.8,0.0010,,
0.9900,131,238.9,19.8,0.0005,,
0.9905,132,238.8,19.8,0.0005,,
0.9920,133,239.0,19.8,0.0010,,
0.9925,134,239.6,19.8,0.0005,,
0.9930,135,239.6,19.8,0.0005,,
0.9940,136,239.6,19.8,0.0010,,
0.9960,137,239.6,19.8,0.0020,,
0.9985,138,239.1,19.8,0.0025,,
1.0025,139,238.8,19.8,0.0035,,
1.0075,140,239.1,19.8,0.0040,,
1.0080,141,238.9,19.8,0.0005,,
1.0085,142,238.9,19.8,0.0005,,
1.0100,143,240.0,19.8,0.0015,,
Scope 1/1, Sample 3/9 (8-Aug-16 Bin7)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-100.0,19.5,NaN,,
0.0005,1,-103.0,19.5,0.0005,,
0.0020,2,-103.3,19.5,0.0015,,
0.0050,3,-103.4,19.5,0.0025,,
0.0085,4,-103.6,19.5,0.0030,,
0.0150,5,-104.2,19.5,0.0055,,
0.0235,6,-104.3,19.4,0.0070,,
0.0310,7,-104.0,19.4,0.0070,,
0.0395,8,-103.2,19.4,0.0075,,
0.0480,9,-102.6,19.4,0.0070,,
0.0565,10,-101.8,19.4,0.0070,,
0.0645,11,-101.1,19.4,0.0065,,
0.0730,12,-100.6,19.4,0.0075,,
0.0810,13,-99.9,19.4,0.0075,,
0.0890,14,-99.3,19.4,0.0075,,
0.0975,15,-99.3,19.4,0.0070,,
0.1060,16,-99.0,19.4,0.0070,,
0.1145,17,-98.2,19.4,0.0070,,
0.1220,18,-97.7,19.4,0.0070,,
0.1305,19,-96.8,19.4,0.0075,,
0.1390,20,-96.1,19.4,0.0075,,
0.1475,21,-95.0,19.4,0.0070,,
0.1560,22,-93.8,19.4,0.0070,,
0.1640,23,-93.0,19.4,0.0075,,
0.1720,24,-92.1,19.5,0.0075,,
0.1800,25,-91.2,19.4,0.0075,,
0.1885,26,-90.4,19.4,0.0070,,
0.1970,27,-89.7,19.4,0.0070,,
0.2055,28,-89.4,19.4,0.0070,,
0.2140,29,-88.4,19.4,0.0075,,
0.2215,30,-87.9,19.4,0.0070,,
0.2300,31,-86.8,19.5,0.0075,,
0.2385,32,-85.5,19.4,0.0070,,
0.2470,33,-84.4,19.5,0.0070,,
0.2555,34,-82.8,19.4,0.0070,,
0.2630,35,-81.7,19.5,0.0070,,
0.2715,36,-80.5,19.4,0.0075,,
0.2795,37,-79.3,19.5,0.0075,,
0.2880,38,-78.2,19.5,0.0070,,
0.2965,39,-77.8,19.5,0.0070,,
0.3050,40,-76.6,19.5,0.0075,,
0.3125,41,-75.5,19.5,0.0070,,
0.3210,42,-74.0,19.5,0.0075,,
0.3295,43,-72.5,19.5,0.0070,,
0.3380,44,-70.7,19.5,0.0070,,
0.3465,45,-69.0,19.5,0.0070,,
0.3540,46,-67.2,19.5,0.0070,,
0.3625,47,-65.3,19.5,0.0075,,
0.3705,48,-63.4,19.5,0.0075,,
0.3790,49,-61.5,19.5,0.0070,,
0.3875,50,-59.5,19.5,0.0070,,
0.3960,51,-57.5,19.5,0.0070,,
0.4035,52,-55.6,19.5,0.0070,,
0.4120,53,-53.3,19.5,0.0075,,
0.4205,54,-51.4,19.5,0.0075,,
0.4290,55,-49.1,19.5,0.0070,,
0.4375,56,-46.2,19.5,0.0070,,
0.4455,57,-43.1,19.5,0.0065,,
0.4535,58,-39.9,19.5,0.0075,,
0.4615,59,-36.3,19.5,0.0075,,
0.4700,60,-33.0,19.5,0.0070,,
0.4785,61,-28.5,19.5,0.0070,,
0.4870,62,-24.2,19.5,0.0070,,
0.4955,63,-20.5,19.5,0.0075,,
0.5030,64,-15.9,19.5,0.0070,,
0.5115,65,-11.7,19.5,0.0075,,
0.5200,66,-8.3,19.5,0.0070,,
0.5285,67,-5.1,19.5,0.0070,,
0.5365,68,-2.5,19.5,0.0065,,
0.5445,69,0.1,19.5,0.0075,,
0.5530,70,1.3,19.5,0.0075,,
0.5610,71,3.7,19.5,0.0065,,
0.5695,72,5.3,19.5,0.0070,,
0.5780,73,7.4,19.5,0.0070,,
0.5865,74,9.1,19.5,0.0070,,
0.5940,75,10.4,19.5,0.0070,,
0.6025,76,11.8,19.5,0.0075,,
0.6110,77,13.2,19.5,0.0070,,
0.6195,78,14.3,19.5,0.0070,,
0.6280,79,14.7,19.5,0.0070,,
0.6355,80,16.3,19.5,0.0070,,
0.6440,81,17.5,19.5,0.0075,,
0.6520,82,18.0,19.5,0.0075,,
0.6605,83,18.8,19.5,0.0070,,
0.6690,84,19.8,19.5,0.0070,,
0.6775,85,21.3,19.5,0.0070,,
0.6850,86,22.2,19.5,0.0070,,
0.6935,87,23.6,19.5,0.0075,,
0.7020,88,24.6,19.5,0.0070,,
0.7105,89,25.5,19.5,0.0070,,
0.7190,90,26.2,19.5,0.0070,,
0.7270,91,27.2,19.5,0.0075,,
0.7350,92,27.8,19.5,0.0075,,
0.7435,93,28.4,19.5,0.0075,,
0.7515,94,29.5,19.5,0.0065,,
0.7600,95,30.9,19.5,0.0070,,
0.7685,96,31.6,19.5,0.0070,,
0.7760,97,32.4,19.5,0.0070,,
0.7845,98,32.7,19.5,0.0075,,
0.7930,99,33.8,19.5,0.0075,,
0.8015,100,35.0,19.5,0.0070,,
0.8100,101,36.2,19.5,0.0070,,
0.8180,102,37.0,19.5,0.0065,,
0.8260,103,37.6,19.5,0.0075,,
0.8340,104,38.5,19.5,0.0075,,
0.8425,105,39.2,19.5,0.0075,,
0.8510,106,39.5,19.5,0.0070,,
0.8595,107,40.2,19.5,0.0070,,
0.8680,108,40.7,19.5,0.0070,,
0.8755,109,41.7,19.5,0.0070,,
0.8840,110,43.2,19.5,0.0075,,
0.8925,111,44.3,19.5,0.0070,,
0.9010,112,45.1,19.5,0.0070,,
0.9095,113,46.1,19.5,0.0070,,
0.9175,114,46.8,19.5,0.0075,,
0.9255,115,47.7,19.5,0.0075,,
0.9335,116,48.6,19.5,0.0075,,
0.9420,117,48.9,19.5,0.0070,,
0.9505,118,49.2,19.5,0.0070,,
0.9590,119,50.1,19.5,0.0070,,
0.9665,120,51.2,19.5,0.0070,,
0.9750,121,51.7,19.5,0.0075,,
0.9835,122,52.7,19.5,0.0075,,
0.9920,123,53.7,19.5,0.0070,,
1.0005,124,55.4,19.5,0.0070,,
1.0085,125,56.1,19.5,0.0075,,
1.0165,126,57.2,19.5,0.0075,,
1.0250,127,57.9,19.5,0.0075,,
1.0330,128,58.9,19.5,0.0065,,
1.0415,129,59.7,19.5,0.0070,,
1.0500,130,60.7,19.5,0.0070,,
1.0575,131,61.5,19.5,0.0070,,
1.0660,132,61.7,19.5,0.0075,,
1.0745,133,62.5,19.5,0.0075,,
1.0830,134,63.7,19.5,0.0070,,
1.0915,135,64.7,19.5,0.0070,,
1.0995,136,65.7,19.5,0.0065,,
1.1075,137,66.7,19.5,0.0075,,
1.1155,138,68.1,19.5,0.0075,,
1.1240,139,69.4,19.5,0.0070,,
1.1325,140,70.8,19.5,0.0070,,
1.1410,141,71.8,19.5,0.0070,,
1.1495,142,73.1,19.5,0.0075,,
1.1570,143,74.4,19.5,0.0070,,
1.1655,144,75.1,19.5,0.0075,,
1.1740,145,76.6,19.5,0.0070,,
1.1825,146,78.3,19.5,0.0070,,
1.1910,147,79.2,19.5,0.0070,,
1.1990,148,80.5,19.5,0.0075,,
1.2070,149,81.7,19.5,0.0075,,
1.2150,150,83.8,19.5,0.0075,,
1.2235,151,85.5,19.5,0.0070,,
1.2320,152,88.0,19.5,0.0070,,
1.2405,153,90.0,19.5,0.0070,,
1.2480,154,91.0,19.5,0.0070,,
1.2565,155,93.2,19.5,0.0070,,
1.2650,156,94.8,19.5,0.0070,,
1.2735,157,96.3,19.5,0.0070,,
1.2820,158,98.5,19.5,0.0070,,
1.2900,159,100.9,19.5,0.0075,,
1.2980,160,103.4,19.5,0.0075,,
1.3060,161,105.8,19.5,0.0075,,
1.3145,162,109.7,19.5,0.0070,,
1.3230,163,113.4,19.5,0.0070,,
1.3315,164,117.4,19.5,0.0070,,
1.3390,165,121.0,19.5,0.0070,,
1.3475,166,124.5,19.5,0.0075,,
1.3560,167,129.0,19.5,0.0075,,
1.3645,168,133.5,19.5,0.0070,,
1.3730,169,137.2,19.5,0.0070,,
1.3815,170,141.4,19.5,0.0070,,
1.3890,171,145.7,19.5,0.0070,,
1.3975,172,149.6,19.5,0.0075,,
1.4055,173,153.6,19.5,0.0065,,
1.4140,174,157.7,19.5,0.0070,,
1.4225,175,161.1,19.5,0.0070,,
1.4310,176,164.1,19.5,0.0075,,
1.4385,177,167.4,19.5,0.0070,,
1.4470,178,170.2,19.5,0.0075,,
1.4555,179,173.3,19.5,0.0070,,
1.4640,180,175.5,19.5,0.0070,,
1.4725,181,177.4,19.5,0.0070,,
1.4800,182,179.4,19.5,0.0070,,
1.4885,183,181.3,19.5,0.0075,,
1.4965,184,183.0,19.5,0.0075,,
1.5045,185,184.5,19.5,0.0065,,
1.5115,186,185.6,19.5,0.0060,,
1.5160,187,186.8,19.5,0.0035,,
1.5175,188,187.7,19.5,0.0015,,
1.5185,189,187.6,19.5,0.0010,,
1.5190,190,187.5,19.5,0.0005,,
1.5200,191,187.6,19.5,0.0010,,
1.5220,192,188.3,19.5,0.0015,,
1.5240,193,188.3,19.5,0.0020,,
1.5250,194,188.6,19.5,0.0010,,
1.5260,195,189.3,19.5,0.0010,,
1.5260,196,189.8,19.5,0.0000,,
1.5270,197,189.6,19.5,0.0010,,
1.5275,198,190.0,19.5,0.0005,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.5,19.8,NaN,,
0.0005,1,190.3,19.8,0.0005,,
0.0020,2,190.3,19.8,0.0015,,
0.0050,3,190.2,19.8,0.0025,,
0.0085,4,189.9,19.8,0.0030,,
0.0150,5,190.1,19.8,0.0055,,
0.0235,6,191.1,19.8,0.0075,,
0.0310,7,192.7,19.8,0.0070,,
0.0395,8,193.7,19.8,0.0075,,
0.0475,9,195.2,19.8,0.0065,,
0.0560,10,196.4,19.8,0.0070,,
0.0645,11,197.4,19.8,0.0070,,
0.0720,12,198.2,19.8,0.0070,,
0.0805,13,198.9,19.8,0.0075,,
0.0890,14,199.3,19.8,0.0075,,
0.0975,15,199.7,19.8,0.0070,,
0.1060,16,200.6,19.8,0.0070,,
0.1145,17,201.6,19.8,0.0070,,
0.1220,18,202.3,19.8,0.0070,,
0.1305,19,203.6,19.8,0.0075,,
0.1390,20,204.7,19.8,0.0070,,
0.1470,21,205.4,19.8,0.0065,,
0.1555,22,205.5,19.8,0.0070,,
0.1635,23,206.4,19.8,0.0075,,
0.1715,24,207.2,19.8,0.0075,,
0.1800,25,207.3,19.8,0.0075,,
0.1885,26,207.9,19.8,0.0070,,
0.1970,27,208.4,19.8,0.0070,,
0.2055,28,209.0,19.8,0.0070,,
0.2130,29,209.8,19.8,0.0070,,
0.2215,30,210.9,19.8,0.0075,,
0.2300,31,211.6,19.8,0.0070,,
0.2385,32,212.2,19.8,0.0070,,
0.2465,33,212.6,19.8,0.0065,,
0.2550,34,213.2,19.8,0.0070,,
0.2625,35,213.7,19.8,0.0070,,
0.2710,36,214.3,19.8,0.0075,,
0.2795,37,214.7,19.8,0.0070,,
0.2880,38,214.7,19.8,0.0070,,
0.2965,39,215.2,19.8,0.0070,,
0.3050,40,215.8,19.8,0.0075,,
0.3125,41,215.9,19.8,0.0070,,
0.3210,42,216.0,19.8,0.0075,,
0.3295,43,216.6,19.8,0.0070,,
0.3375,44,217.5,19.8,0.0065,,
0.3460,45,218.4,19.8,0.0070,,
0.3535,46,218.9,19.8,0.0070,,
0.3620,47,219.3,19.8,0.0075,,
0.3705,48,219.7,19.8,0.0070,,
0.3790,49,220.0,19.8,0.0070,,
0.3875,50,220.5,19.8,0.0070,,
0.3960,51,220.8,19.8,0.0075,,
0.4035,52,220.7,19.8,0.0070,,
0.4120,53,220.6,19.8,0.0075,,
0.4205,54,220.8,19.8,0.0070,,
0.4285,55,221.2,19.8,0.0065,,
0.4370,56,221.9,19.8,0.0070,,
0.4450,57,222.1,19.8,0.0075,,
0.4530,58,222.7,19.8,0.0075,,
0.4615,59,223.1,19.8,0.0075,,
0.4700,60,224.0,19.8,0.0070,,
0.4785,61,224.4,19.8,0.0070,,
0.4870,62,224.5,19.8,0.0070,,
0.4945,63,225.0,19.8,0.0070,,
0.5030,64,224.9,19.8,0.0075,,
0.5115,65,225.1,19.8,0.0070,,
0.5200,66,224.9,19.8,0.0070,,
0.5280,67,225.2,19.8,0.0065,,
0.5360,68,225.6,19.8,0.0075,,
0.5445,69,226.4,19.8,0.0075,,
0.5525,70,226.6,19.8,0.0075,,
0.5610,71,227.0,19.8,0.0070,,
0.5695,72,227.6,19.8,0.0070,,
0.5780,73,227.6,19.8,0.0070,,
0.5855,74,227.5,19.8,0.0070,,
0.5940,75,227.7,19.8,0.0075,,
0.6025,76,228.6,19.8,0.0075,,
0.6110,77,229.2,19.8,0.0070,,
0.6190,78,229.4,19.8,0.0065,,
0.6275,79,229.8,19.8,0.0070,,
0.6350,80,230.0,19.8,0.0070,,
0.6435,81,230.1,19.8,0.0075,,
0.6520,82,230.3,19.8,0.0070,,
0.6605,83,230.0,19.8,0.0070,,
0.6690,84,230.2,19.8,0.0070,,
0.6775,85,230.2,19.8,0.0075,,
0.6850,86,230.5,19.8,0.0070,,
0.6935,87,230.9,19.8,0.0075,,
0.7020,88,231.3,19.8,0.0070,,
0.7100,89,231.5,19.8,0.0065,,
0.7185,90,232.1,19.8,0.0070,,
0.7260,91,232.4,19.8,0.0070,,
0.7345,92,232.9,19.8,0.0075,,
0.7430,93,233.3,19.8,0.0075,,
0.7515,94,233.4,19.8,0.0070,,
0.7600,95,233.7,19.8,0.0070,,
0.7685,96,233.9,19.8,0.0070,,
0.7760,97,234.2,19.8,0.0070,,
0.7845,98,234.3,19.8,0.0075,,
0.7930,99,234.5,19.8,0.0075,,
0.8010,100,234.4,19.8,0.0065,,
0.8095,101,234.1,19.8,0.0070,,
0.8180,102,234.1,19.8,0.0070,,
0.8255,103,234.3,19.8,0.0070,,
0.8340,104,234.5,19.8,0.0075,,
0.8425,105,234.8,19.8,0.0070,,
0.8510,106,235.1,19.8,0.0070,,
0.8595,107,235.8,19.8,0.0070,,
0.8680,108,236.3,19.8,0.0075,,
0.8755,109,236.7,19.8,0.0070,,
0.8840,110,236.9,19.8,0.0075,,
0.8920,111,237.1,19.8,0.0065,,
0.9005,112,237.0,19.8,0.0070,,
0.9090,113,237.5,19.8,0.0070,,
0.9165,114,237.6,19.8,0.0070,,
0.9245,115,237.3,19.8,0.0075,,
0.9330,116,237.0,19.8,0.0075,,
0.9415,117,237.2,19.8,0.0070,,
0.9500,118,237.4,19.8,0.0070,,
0.9585,119,237.9,19.8,0.0070,,
0.9660,120,238.3,19.8,0.0070,,
0.9740,121,238.6,19.8,0.0075,,
0.9790,122,238.9,19.8,0.0040,,
0.9800,123,239.2,19.8,0.0010,,
0.9800,124,239.0,19.8,0.0000,,
0.9820,125,239.1,19.8,0.0020,,
0.9835,126,238.7,19.8,0.0015,,
0.9855,127,238.6,19.8,0.0020,,
0.9880,128,238.4,19.8,0.0020,,
