Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin 10)
Method Function,Sample (S1)
0.2630,35,-81.6,21.9,0.0070,,
0.2710,36,-79.9,21.9,0.0065,,
0.2795,37,-79.0,21.9,0.0075,,
0.2870,38,-77.5,21.9,0.0070,,
0.2955,39,-76.5,21.9,0.0075,,
0.3040,40,-75.3,21.9,0.0070,,
0.3125,41,-74.2,21.9,0.0070,,
0.3210,42,-73.5,21.9,0.0070,,
0.3285,43,-72.2,21.9,0.0070,,
0.3370,44,-70.9,21.9,0.0075,,
0.3455,45,-69.6,21.9,0.0075,,
0.3535,46,-68.0,21.9,0.0065,,
0.3620,47,-66.1,21.9,0.0070,,
0.3705,48,-64.6,21.9,0.0070,,
0.3780,49,-63.2,21.9,0.0070,,
0.3865,50,-61.3,21.9,0.0075,,
0.3950,51,-59.1,21.9,0.0075,,
0.4035,52,-57.5,21.9,0.0070,,
0.4120,53,-55.1,21.9,0.0070,,
0.4200,54,-53.0,21.9,0.0065,,
0.4285,55,-50.4,21.9,0.0075,,
0.4360,56,-47.9,21.9,0.0070,,
0.4445,57,-45.6,21.9,0.0075,,
0.4530,58,-43.7,21.9,0.0070,,
0.4615,59,-41.0,21.9,0.0070,,
0.4700,60,-37.8,21.9,0.0070,,
0.4775,61,-34.3,21.9,0.0070,,
0.4860,62,-31.1,21.9,0.0075,,
0.4945,63,-27.3,21.9,0.0075,,
0.5030,64,-23.2,21.9,0.0070,,
0.5110,65,-19.5,21.9,0.0065,,
0.5195,66,-15.6,21.9,0.0070,,
0.5270,67,-11.9,21.9,0.0070,,
0.5355,68,-8.5,21.9,0.0075,,
0.5440,69,-5.8,21.9,0.0075,,
0.5525,70,-3.4,21.9,0.0070,,
0.5610,71,-0.6,21.9,0.0070,,
0.5695,72,1.2,21.9,0.0070,,
0.5770,73,2.9,21.9,0.0070,,
0.5855,74,4.4,21.9,0.0075,,
0.5935,75,6.1,21.9,0.0075,,
0.6020,76,7.9,21.9,0.0070,,
0.6105,77,9.5,21.9,0.0070,,
0.6190,78,10.2,21.9,0.0070,,
0.6265,79,11.2,21.9,0.0070,,
0.6350,80,12.6,21.9,0.0075,,
0.6435,81,14.0,21.9,0.0075,,
0.6520,82,15.4,21.9,0.0070,,
0.6605,83,17.0,21.9,0.0070,,
0.6685,84,18.3,21.9,0.0065,,
0.6765,85,19.3,21.9,0.0075,,
0.6845,86,20.4,21.9,0.0075,,
0.6930,87,21.2,21.9,0.0070,,
0.7015,88,22.1,21.9,0.0070,,
0.7100,89,22.9,21.9,0.0070,,
0.7185,90,23.8,21.9,0.0070,,
0.7260,91,24.8,21.9,0.0070,,
0.7345,92,25.8,21.9,0.0075,,
0.7430,93,26.8,21.9,0.0070,,
0.7510,94,27.6,21.9,0.0065,,
0.7595,95,28.4,21.9,0.0070,,
0.7680,96,29.4,21.9,0.0070,,
0.7755,97,30.3,21.9,0.0070,,
0.7840,98,30.6,21.9,0.0075,,
0.7925,99,31.1,21.9,0.0070,,
0.8010,100,31.7,21.9,0.0070,,
0.8095,101,32.6,21.9,0.0070,,
0.8180,102,33.3,21.9,0.0075,,
0.8255,103,34.5,21.9,0.0070,,
0.8340,104,34.9,21.9,0.0075,,
0.8420,105,35.8,21.9,0.0065,,
0.8505,106,36.6,21.9,0.0070,,
0.8590,107,37.5,21.9,0.0070,,
0.8675,108,38.3,21.9,0.0075,,
0.8750,109,39.3,21.9,0.0070,,
0.8835,110,40.7,21.9,0.0075,,
0.8920,111,40.9,21.9,0.0070,,
0.9005,112,41.3,21.9,0.0070,,
0.9085,113,42.3,21.9,0.0065,,
0.9170,114,42.9,21.9,0.0075,,
0.9245,115,43.8,22.0,0.0070,,
0.9330,116,44.4,21.9,0.0075,,
0.9415,117,45.5,21.9,0.0070,,
0.9500,118,47.0,21.9,0.0070,,
0.9585,119,47.9,21.9,0.0070,,
0.9670,120,47.8,21.9,0.0075,,
0.9745,121,48.5,21.9,0.0070,,
0.9830,122,49.2,21.9,0.0075,,
0.9910,123,50.3,21.9,0.0075,,
0.9995,124,51.3,21.9,0.0070,,
1.0080,125,52.1,21.9,0.0070,,
1.0165,126,52.7,21.9,0.0070,,
1.0240,127,53.6,21.9,0.0070,,
1.0325,128,54.2,21.9,0.0075,,
1.0410,129,55.3,21.9,0.0075,,
1.0495,130,56.1,21.9,0.0070,,
1.0575,131,57.0,21.9,0.0065,,
1.0660,132,57.9,21.9,0.0070,,
1.0735,133,59.2,21.9,0.0070,,
1.0820,134,60.0,22.0,0.0075,,
1.0905,135,60.8,21.9,0.0075,,
1.0990,136,61.8,22.0,0.0070,,
1.1075,137,62.9,21.9,0.0070,,
1.1155,138,64.2,21.9,0.0065,,
1.1240,139,64.3,22.0,0.0075,,
1.1315,140,65.2,22.0,0.0070,,
1.1400,141,66.3,22.0,0.0075,,
1.1485,142,67.7,22.0,0.0070,,
1.1570,143,69.4,22.0,0.0070,,
1.1655,144,70.5,21.9,0.0070,,
1.1730,145,71.7,22.0,0.0070,,
1.1815,146,73.0,21.9,0.0075,,
1.1900,147,74.2,22.0,0.0075,,
1.1980,148,75.0,21.9,0.0065,,
1.2065,149,76.1,22.0,0.0070,,
1.2150,150,77.2,22.0,0.0070,,
1.2235,151,78.5,22.0,0.0075,,
1.2310,152,80.0,22.0,0.0070,,
1.2395,153,81.9,22.0,0.0075,,
1.2480,154,83.8,22.0,0.0070,,
1.2565,155,85.7,22.0,0.0070,,
1.2650,156,87.3,22.0,0.0070,,
1.2725,157,88.8,22.0,0.0070,,
1.2810,158,90.2,22.0,0.0075,,
1.2890,159,91.5,22.0,0.0065,,
1.2975,160,94.0,22.0,0.0070,,
1.3060,161,96.8,22.0,0.0070,,
1.3145,162,99.3,22.0,0.0070,,
1.3220,163,101.7,22.0,0.0070,,
1.3305,164,104.9,22.0,0.0075,,
1.3390,165,107.6,22.0,0.0075,,
1.3475,166,111.4,22.0,0.0070,,
1.3555,167,115.2,22.0,0.0065,,
1.3640,168,119.2,22.0,0.0070,,
1.3715,169,122.9,22.0,0.0070,,
1.3800,170,126.7,22.0,0.0075,,
1.3885,171,131.5,22.0,0.0075,,
1.3970,172,135.5,22.0,0.0070,,
1.4055,173,141.0,22.0,0.0070,,
1.4140,174,146.7,22.0,0.0070,,
1.4220,175,151.5,22.0,0.0075,,
1.4300,176,155.1,22.0,0.0075,,
1.4380,177,158.8,22.0,0.0075,,
1.4465,178,162.3,22.0,0.0070,,
1.4550,179,165.7,22.0,0.0070,,
1.4635,180,169.1,22.0,0.0070,,
1.4710,181,170.8,22.0,0.0070,,
1.4795,182,173.8,22.0,0.0075,,
1.4880,183,176.4,22.0,0.0075,,
1.4965,184,178.4,22.0,0.0070,,
1.5050,185,180.6,22.0,0.0070,,
1.5130,186,182.6,22.0,0.0065,,
1.5190,187,183.6,22.0,0.0055,,
1.5230,188,185.2,22.0,0.0035,,
1.5265,189,186.0,22.0,0.0030,,
1.5285,190,186.6,22.0,0.0015,,
1.5290,191,187.2,22.0,0.0005,,
1.5305,192,187.7,22.0,0.0010,,
1.5320,193,187.6,22.0,0.0015,,
1.5345,194,187.8,22.0,0.0025,,
1.5370,195,188.6,22.0,0.0025,,
1.5390,196,189.3,22.0,0.0015,,
1.5395,197,189.3,22.0,0.0005,,
1.5400,198,189.4,22.0,0.0005,,
1.5400,199,188.8,22.0,0.0000,,
1.5410,200,188.8,22.0,0.0010,,
1.5420,201,190.0,22.0,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.8,22.2,NaN,,
0.0005,1,189.3,22.2,0.0005,,
0.0020,2,189.7,22.2,0.0015,,
0.0050,3,190.0,22.2,0.0025,,
0.0090,4,190.4,22.2,0.0035,,
0.0150,5,191.2,22.2,0.0050,,
0.0235,6,192.1,22.2,0.0075,,
0.0310,7,193.3,22.2,0.0070,,
0.0395,8,194.4,22.2,0.0075,,
0.0480,9,195.6,22.2,0.0070,,
0.0565,10,196.9,22.2,0.0070,,
0.0650,11,198.0,22.2,0.0070,,
0.0725,12,198.9,22.2,0.0070,,
0.0810,13,199.9,22.2,0.0075,,
0.0890,14,200.7,22.2,0.0075,,
0.0975,15,201.6,22.2,0.0070,,
0.1060,16,202.5,22.2,0.0070,,
0.1145,17,203.3,22.2,0.0070,,
0.1230,18,204.2,22.2,0.0075,,
0.1305,19,205.1,22.2,0.0070,,
0.1390,20,205.7,22.2,0.0075,,
0.1475,21,206.0,22.2,0.0070,,
0.1560,22,206.7,22.2,0.0070,,
0.1640,23,206.8,22.2,0.0065,,
0.1720,24,208.0,22.2,0.0075,,
0.1800,25,208.5,22.2,0.0075,,
0.1885,26,209.3,22.2,0.0075,,
0.1970,27,209.9,22.2,0.0070,,
0.2055,28,210.4,22.2,0.0070,,
0.2140,29,210.8,22.2,0.0070,,
0.2215,30,211.4,22.2,0.0070,,
0.2300,31,212.4,22.2,0.0075,,
0.2385,32,213.4,22.2,0.0075,,
0.2465,33,213.7,22.2,0.0065,,
0.2550,34,214.2,22.2,0.0070,,
0.2635,35,214.8,22.2,0.0070,,
0.2710,36,215.6,22.2,0.0070,,
0.2795,37,215.4,22.2,0.0075,,
0.2880,38,215.6,22.2,0.0075,,
0.2965,39,216.7,22.2,0.0070,,
0.3050,40,217.5,22.2,0.0070,,
0.3130,41,218.1,22.2,0.0065,,
0.3215,42,218.5,22.2,0.0075,,
0.3290,43,218.5,22.2,0.0070,,
0.3375,44,219.4,22.2,0.0075,,
0.3460,45,219.9,22.2,0.0070,,
0.3545,46,220.3,22.2,0.0070,,
0.3630,47,220.7,22.2,0.0070,,
0.3715,48,221.0,22.2,0.0075,,
0.3790,49,221.0,22.2,0.0070,,
0.3875,50,221.9,22.2,0.0075,,
0.3955,51,222.3,22.2,0.0065,,
0.4040,52,222.7,22.2,0.0070,,
0.4125,53,223.2,22.2,0.0070,,
0.4210,54,223.5,22.2,0.0075,,
0.4285,55,223.9,22.2,0.0070,,
0.4370,56,224.2,22.2,0.0075,,
0.4455,57,224.6,22.2,0.0070,,
0.4540,58,224.8,22.2,0.0070,,
0.4620,59,225.3,22.2,0.0065,,
0.4705,60,225.6,22.2,0.0075,,
0.4780,61,225.8,22.2,0.0070,,
0.4865,62,225.9,22.2,0.0075,,
0.4950,63,225.5,22.2,0.0070,,
0.5035,64,225.8,22.2,0.0070,,
0.5120,65,226.1,22.2,0.0070,,
0.5195,66,226.7,22.2,0.0070,,
0.5280,67,226.8,22.2,0.0075,,
0.5365,68,227.1,22.2,0.0075,,
0.5450,69,227.6,22.2,0.0070,,
0.5530,70,228.1,22.2,0.0065,,
0.5615,71,229.1,22.2,0.0070,,
0.5690,72,229.0,22.2,0.0070,,
0.5775,73,229.2,22.2,0.0075,,
0.5860,74,229.2,22.2,0.0070,,
0.5945,75,229.7,22.2,0.0070,,
0.6030,76,230.4,22.2,0.0070,,
0.6115,77,230.2,22.2,0.0070,,
0.6190,78,230.6,22.2,0.0070,,
0.6275,79,231.0,22.2,0.0075,,
0.6355,80,230.9,22.2,0.0075,,
0.6440,81,231.1,22.2,0.0070,,
0.6525,82,231.5,22.2,0.0070,,
0.6610,83,231.6,22.2,0.0070,,
0.6685,84,231.7,22.2,0.0070,,
0.6770,85,232.6,22.2,0.0075,,
0.6855,86,233.0,22.2,0.0070,,
0.6940,87,233.3,22.2,0.0070,,
0.7025,88,233.7,22.2,0.0070,,
0.7105,89,234.1,22.2,0.0065,,
0.7185,90,233.9,22.2,0.0075,,
0.7265,91,234.0,22.2,0.0075,,
0.7350,92,234.6,22.2,0.0075,,
0.7435,93,235.1,22.2,0.0070,,
0.7520,94,235.2,22.2,0.0070,,
0.7605,95,235.2,22.2,0.0075,,
0.7680,96,235.2,22.2,0.0070,,
0.7765,97,235.1,22.2,0.0075,,
0.7850,98,235.6,22.2,0.0070,,
0.7930,99,236.2,22.2,0.0065,,
0.8015,100,235.8,22.2,0.0070,,
0.8100,101,236.4,22.2,0.0075,,
0.8175,102,236.5,22.2,0.0070,,
0.8260,103,237.0,22.2,0.0075,,
0.8340,104,237.1,22.2,0.0065,,
0.8420,105,236.9,22.2,0.0065,,
0.8505,106,236.8,22.2,0.0070,,
0.8590,107,237.4,22.2,0.0070,,
0.8595,108,237.7,22.2,0.0005,,
0.8605,109,237.4,22.2,0.0010,,
0.8620,110,237.3,22.2,0.0010,,
0.8640,111,237.5,22.2,0.0015,,
0.8665,112,237.4,22.2,0.0020,,
0.8690,113,237.9,22.2,0.0025,,
0.8720,114,237.8,22.2,0.0025,,
0.8760,115,237.8,22.2,0.0035,,
0.8815,116,238.2,22.2,0.0050,,
0.8830,117,238.2,22.2,0.0010,,
0.8835,118,238.0,22.2,0.0005,,
0.8850,119,238.1,22.2,0.0015,,
0.8865,120,237.8,22.2,0.0015,,
0.8885,121,238.0,22.2,0.0020,,
0.8915,122,238.5,22.2,0.0025,,
0.8960,123,238.4,22.2,0.0035,,
0.9000,124,238.2,22.2,0.0035,,
0.9005,125,238.2,22.2,0.0005,,
0.9015,126,238.3,22.2,0.0010,,
0.9025,127,238.5,22.2,0.0010,,
0.9035,128,238.8,22.2,0.0010,,
0.9045,129,239.3,22.2,0.0010,,
0.9060,130,239.5,22.2,0.0010,,
0.9080,131,239.4,22.2,0.0020,,
0.9100,132,239.3,22.2,0.0020,,
0.9110,133,239.3,22.2,0.0010,,
0.9110,134,239.5,22.2,0.0000,,
0.9115,135,239.7,22.2,0.0005,,
0.9130,136,239.7,22.2,0.0010,,
0.9140,137,239.5,22.2,0.0010,,
0.9150,138,239.6,22.2,0.0010,,
0.9155,139,239.8,22.2,0.0005,,
0.9170,140,239.7,22.2,0.0010,,
0.9180,141,239.8,22.2,0.0010,,
0.9185,142,239.7,22.2,0.0005,,
0.9195,143,239.6,22.2,0.0010,,
0.9215,144,239.3,22.2,0.0020,,
0.9240,145,239.1,22.2,0.0025,,
0.9250,146,239.1,22.2,0.0010,,
0.9255,147,240.0,22.2,0.0005,,
Scope 1/1, Sample 3/9 (2-Aug-16 Bin 12)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-95.2,22.0,NaN,,
0.0005,1,-99.1,21.9,0.0005,,
0.0020,2,-99.4,21.9,0.0015,,
0.0050,3,-99.6,21.9,0.0025,,
0.0085,4,-99.6,21.9,0.0030,,
0.0150,5,-99.2,21.9,0.0055,,
0.0235,6,-98.7,21.9,0.0070,,
0.0310,7,-98.3,21.9,0.0070,,
0.0395,8,-97.9,21.9,0.0075,,
0.0480,9,-97.4,21.9,0.0075,,
0.0565,10,-96.9,21.8,0.0070,,
0.0645,11,-96.2,21.9,0.0065,,
0.0730,12,-95.7,21.9,0.0070,,
0.0805,13,-95.3,21.9,0.0070,,
0.0890,14,-94.5,21.9,0.0075,,
0.0975,15,-93.8,21.9,0.0075,,
0.1060,16,-93.1,21.9,0.0070,,
0.1145,17,-92.5,21.9,0.0070,,
0.1230,18,-91.8,21.9,0.0070,,
0.1305,19,-91.7,21.9,0.0070,,
0.1390,20,-90.4,21.9,0.0075,,
0.1470,21,-89.7,21.8,0.0075,,
0.1555,22,-88.6,21.9,0.0070,,
0.1640,23,-87.8,21.9,0.0070,,
0.1725,24,-86.9,21.9,0.0070,,
0.1800,25,-86.2,21.8,0.0070,,
0.1885,26,-85.5,21.9,0.0075,,
0.1970,27,-84.7,21.9,0.0075,,
0.2055,28,-83.5,21.9,0.0070,,
0.2135,29,-82.4,21.9,0.0065,,
0.2220,30,-81.3,21.9,0.0070,,
0.2295,31,-80.4,21.9,0.0070,,
0.2380,32,-79.3,21.9,0.0075,,
0.2465,33,-78.2,21.9,0.0075,,
0.2550,34,-77.0,21.9,0.0070,,
0.2635,35,-75.8,21.9,0.0070,,
0.2720,36,-74.6,21.9,0.0070,,
0.2795,37,-73.5,21.9,0.0070,,
0.2880,38,-72.4,21.9,0.0075,,
0.2960,39,-70.9,21.9,0.0075,,
0.3045,40,-69.4,21.9,0.0070,,
0.3130,41,-68.0,21.9,0.0070,,
0.3215,42,-66.6,21.9,0.0070,,
0.3290,43,-65.0,21.9,0.0070,,
0.3375,44,-63.5,21.9,0.0075,,
0.3460,45,-62.1,21.9,0.0075,,
0.3545,46,-60.2,21.9,0.0070,,
0.3630,47,-58.3,21.9,0.0070,,
0.3710,48,-56.1,21.9,0.0065,,
0.3790,49,-54.0,21.9,0.0075,,
0.3870,50,-52.4,21.9,0.0075,,
0.3955,51,-50.3,21.9,0.0075,,
0.4040,52,-48.1,21.9,0.0070,,
0.4125,53,-45.6,21.9,0.0070,,
0.4210,54,-42.6,21.9,0.0070,,
0.4285,55,-39.9,21.9,0.0070,,
0.4370,56,-36.6,21.9,0.0075,,
0.4455,57,-33.3,21.9,0.0075,,
0.4535,58,-29.3,21.9,0.0065,,
0.4620,59,-25.3,21.9,0.0070,,
0.4705,60,-21.8,21.9,0.0070,,
0.4780,61,-18.6,21.9,0.0070,,
0.4865,62,-14.7,21.9,0.0075,,
0.4950,63,-11.0,21.9,0.0070,,
0.5035,64,-7.4,21.9,0.0070,,
0.5120,65,-4.6,21.9,0.0070,,
0.5205,66,-2.2,21.9,0.0075,,
0.5280,67,0.8,21.9,0.0070,,
0.5365,68,2.5,21.9,0.0075,,
0.5445,69,3.9,21.9,0.0065,,
0.5530,70,5.6,21.9,0.0070,,
0.5615,71,7.0,21.9,0.0070,,
0.5700,72,8.7,21.9,0.0070,,
0.5775,73,9.3,21.9,0.0070,,
0.5860,74,10.9,21.9,0.0075,,
0.5945,75,12.5,21.9,0.0070,,
0.6030,76,13.7,21.9,0.0070,,
0.6110,77,14.7,21.9,0.0065,,
0.6195,78,15.5,21.9,0.0075,,
0.6270,79,16.6,21.9,0.0070,,
0.6355,80,17.6,21.9,0.0075,,
0.6440,81,18.7,21.9,0.0070,,
0.6525,82,19.8,21.9,0.0070,,
0.6610,83,20.7,21.9,0.0070,,
0.6695,84,21.7,21.9,0.0070,,
0.6770,85,22.3,21.9,0.0070,,
0.6855,86,23.1,21.9,0.0075,,
0.6935,87,23.6,21.9,0.0075,,
0.7020,88,24.2,21.9,0.0070,,
0.7105,89,25.0,21.9,0.0070,,
0.7190,90,26.0,21.9,0.0070,,
0.7265,91,26.7,21.9,0.0070,,
0.7350,92,27.7,21.9,0.0075,,
0.7435,93,28.4,21.9,0.0075,,
0.7520,94,29.1,21.9,0.0070,,
0.7600,95,30.3,21.9,0.0065,,
0.7685,96,31.3,21.9,0.0070,,
0.7760,97,32.5,21.9,0.0070,,
0.7845,98,33.6,21.9,0.0075,,
0.7930,99,34.5,21.9,0.0075,,
0.8015,100,35.2,21.9,0.0070,,
0.8100,101,35.9,21.9,0.0070,,
0.8185,102,36.6,21.9,0.0070,,
0.8260,103,37.4,21.9,0.0070,,
0.8345,104,38.1,21.9,0.0075,,
0.8425,105,38.8,21.9,0.0075,,
0.8510,106,39.8,21.9,0.0070,,
0.8595,107,40.5,21.9,0.0070,,
0.8680,108,41.0,21.9,0.0070,,
0.8755,109,41.5,21.9,0.0070,,
0.8840,110,42.4,21.9,0.0075,,
0.8925,111,43.4,21.9,0.0075,,
0.9010,112,44.1,21.9,0.0070,,
0.9090,113,45.1,21.9,0.0065,,
0.9175,114,45.9,21.9,0.0070,,
0.9250,115,46.6,21.9,0.0070,,
0.9335,116,47.4,21.9,0.0075,,
0.9420,117,47.7,21.9,0.0070,,
0.9505,118,48.5,21.9,0.0070,,
0.9590,119,49.3,21.9,0.0070,,
0.9675,120,50.3,21.9,0.0070,,
0.9750,121,51.2,21.9,0.0070,,
0.9835,122,52.0,21.9,0.0075,,
0.9920,123,52.3,21.9,0.0070,,
1.0000,124,53.1,21.9,0.0065,,
1.0085,125,53.6,21.9,0.0070,,
1.0170,126,54.6,21.9,0.0075,,
1.0245,127,55.2,21.9,0.0070,,
1.0330,128,56.5,21.9,0.0075,,
1.0415,129,57.1,21.9,0.0070,,
1.0500,130,57.9,21.9,0.0070,,
1.0585,131,58.7,21.9,0.0070,,
1.0660,132,59.4,21.9,0.0070,,
1.0745,133,60.3,21.9,0.0075,,
1.0830,134,61.3,21.9,0.0075,,
1.0910,135,62.5,21.9,0.0065,,
1.0995,136,63.4,21.9,0.0070,,
1.1080,137,64.5,21.9,0.0070,,
1.1155,138,65.3,21.9,0.0070,,
1.1240,139,66.5,21.9,0.0075,,
1.1325,140,67.7,21.9,0.0075,,
1.1410,141,68.8,21.9,0.0070,,
1.1495,142,70.0,21.9,0.0070,,
1.1575,143,71.1,21.9,0.0065,,
1.1655,144,72.7,21.9,0.0075,,
1.1735,145,74.0,21.9,0.0075,,
1.1820,146,75.4,21.9,0.0075,,
1.1905,147,76.8,21.9,0.0070,,
1.1990,148,78.2,21.9,0.0070,,
1.2075,149,79.5,21.9,0.0070,,
1.2150,150,81.0,21.9,0.0070,,
1.2235,151,82.7,21.9,0.0075,,
1.2320,152,84.1,21.9,0.0075,,
1.2405,153,86.0,21.9,0.0070,,
1.2485,154,88.2,21.9,0.0065,,
1.2570,155,90.4,21.9,0.0070,,
1.2655,156,93.0,21.9,0.0075,,
1.2730,157,95.1,21.9,0.0070,,
1.2815,158,97.5,21.9,0.0075,,
1.2900,159,100.1,21.9,0.0070,,
1.2985,160,102.3,21.9,0.0070,,
1.3070,161,105.4,21.9,0.0070,,
1.3150,162,109.0,21.9,0.0075,,
1.3225,163,112.6,21.9,0.0070,,
1.3310,164,116.7,21.9,0.0075,,
1.3395,165,121.0,21.9,0.0070,,
1.3480,166,125.3,21.9,0.0070,,
1.3565,167,130.8,21.9,0.0070,,
1.3650,168,134.8,21.9,0.0075,,
1.3725,169,139.9,21.9,0.0070,,
1.3810,170,144.8,21.9,0.0075,,
1.3895,171,149.7,21.9,0.0070,,
1.3975,172,154.1,21.9,0.0065,,
1.4060,173,158.1,21.9,0.0070,,
1.4135,174,162.0,21.9,0.0070,,
1.4220,175,165.3,21.9,0.0075,,
1.4305,176,168.2,21.9,0.0075,,
1.4390,177,170.8,21.9,0.0070,,
1.4475,178,173.3,21.9,0.0070,,
1.4560,179,175.9,21.9,0.0070,,
1.4635,180,178.3,21.9,0.0070,,
1.4720,181,180.3,21.9,0.0075,,
1.4800,182,182.3,21.9,0.0075,,
1.4875,183,184.0,21.9,0.0060,,
1.4935,184,185.6,21.9,0.0050,,
1.4970,185,186.6,21.9,0.0030,,
1.4995,186,187.4,21.9,0.0025,,
1.5015,187,187.9,21.9,0.0020,,
1.5025,188,188.2,21.9,0.0010,,
1.5040,189,188.5,21.9,0.0010,,
1.5050,190,188.8,21.9,0.0010,,
1.5055,191,188.8,21.9,0.0005,,
1.5065,192,189.0,21.9,0.0010,,
1.5070,193,189.2,21.9,0.0005,,
1.5085,194,189.4,21.9,0.0015,,
1.5095,195,189.5,21.9,0.0010,,
1.5100,196,189.8,21.9,0.0005,,
1.5110,197,189.9,21.9,0.0010,,
1.5115,198,190.0,21.9,0.0005,,
1.5115,198,190.1,21.9,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,22.3,NaN,,
0.0005,1,189.4,22.2,0.0005,,
0.0020,2,189.3,22.3,0.0015,,
0.0050,3,189.4,22.2,0.0025,,
0.0085,4,189.6,22.2,0.0030,,
0.0145,5,190.3,22.2,0.0050,,
0.0225,6,191.9,22.2,0.0065,,
0.0305,7,192.2,22.3,0.0075,,
0.0385,8,194.0,22.2,0.0075,,
0.0470,9,195.4,22.2,0.0075,,
0.0555,10,196.6,22.2,0.0070,,
0.0640,11,197.6,22.2,0.0070,,
0.0725,12,198.7,22.2,0.0070,,
0.0800,13,199.7,22.2,0.0070,,
0.0885,14,200.6,22.2,0.0075,,
0.0970,15,201.3,22.2,0.0075,,
0.1050,16,202.2,22.2,0.0065,,
0.1135,17,202.8,22.2,0.0070,,
0.1220,18,203.5,22.2,0.0070,,
0.1295,19,204.1,22.2,0.0070,,
0.1380,20,204.8,22.2,0.0075,,
0.1465,21,205.4,22.2,0.0075,,
0.1550,22,206.2,22.2,0.0070,,
0.1635,23,207.2,22.2,0.0070,,
0.1715,24,207.8,22.2,0.0065,,
0.1800,25,208.0,22.2,0.0075,,
0.1875,26,209.0,22.2,0.0070,,
0.1960,27,209.9,22.2,0.0075,,
0.2045,28,210.2,22.2,0.0070,,
0.2130,29,211.3,22.2,0.0070,,
0.2215,30,212.3,22.2,0.0070,,
0.2290,31,212.9,22.2,0.0070,,
0.2375,32,213.2,22.2,0.0075,,
0.2460,33,214.0,22.2,0.0075,,
0.2545,34,214.5,22.2,0.0070,,
0.2625,35,214.9,22.2,0.0065,,
0.2710,36,215.3,22.2,0.0070,,
0.2785,37,216.0,22.2,0.0070,,
0.2870,38,216.3,22.2,0.0075,,
0.2955,39,216.4,22.2,0.0070,,
0.3040,40,216.6,22.2,0.0070,,
0.3125,41,217.4,22.2,0.0070,,
0.3210,42,217.7,22.2,0.0070,,
0.3285,43,218.4,22.2,0.0070,,
0.3370,44,218.8,22.2,0.0075,,
0.3455,45,218.7,22.2,0.0075,,
0.3535,46,219.1,22.2,0.0065,,
0.3620,47,219.6,22.2,0.0070,,
0.3705,48,220.0,22.2,0.0070,,
0.3780,49,220.5,22.2,0.0070,,
0.3865,50,221.6,22.2,0.0075,,
0.3950,51,221.9,22.2,0.0075,,
0.4035,52,221.7,22.2,0.0070,,
0.4115,53,221.9,22.2,0.0065,,
0.4200,54,222.2,22.2,0.0070,,
0.4280,55,222.7,22.2,0.0075,,
0.4360,56,223.3,22.2,0.0075,,
0.4445,57,224.1,22.2,0.0075,,
0.4530,58,224.3,22.2,0.0070,,
0.4615,59,224.8,22.2,0.0070,,
0.4700,60,225.5,22.2,0.0070,,
0.4775,61,225.5,22.2,0.0070,,
0.4860,62,226.2,22.2,0.0075,,
0.4945,63,226.6,22.2,0.0070,,
0.5025,64,226.8,22.2,0.0065,,
0.5110,65,226.8,22.2,0.0070,,
0.5195,66,227.4,22.2,0.0075,,
0.5270,67,227.9,22.2,0.0070,,
0.5355,68,228.3,22.2,0.0075,,
0.5440,69,228.3,22.2,0.0070,,
0.5525,70,228.2,22.2,0.0070,,
0.5610,71,228.8,22.2,0.0070,,
0.5690,72,229.2,22.2,0.0065,,
0.5770,73,229.6,22.2,0.0075,,
0.5850,74,229.8,22.2,0.0075,,
0.5935,75,230.2,22.2,0.0070,,
0.6020,76,230.5,22.2,0.0070,,
0.6105,77,230.7,22.2,0.0070,,
0.6190,78,231.0,22.2,0.0070,,
0.6265,79,231.3,22.2,0.0070,,
0.6350,80,231.3,22.2,0.0075,,
0.6435,81,230.8,22.2,0.0070,,
0.6520,82,231.0,22.2,0.0070,,
0.6600,83,231.4,22.2,0.0065,,
0.6685,84,231.9,22.2,0.0070,,
0.6760,85,232.8,22.2,0.0070,,
0.6845,86,232.8,22.2,0.0075,,
0.6930,87,232.9,22.3,0.0075,,
0.7015,88,232.9,22.3,0.0070,,
0.7100,89,232.9,22.2,0.0070,,
0.7185,90,233.1,22.3,0.0070,,
0.7260,91,233.4,22.2,0.0070,,
0.7345,92,233.9,22.2,0.0075,,
0.7425,93,234.0,22.2,0.0075,,
0.7510,94,234.4,22.3,0.0070,,
0.7595,95,234.4,22.2,0.0070,,
0.7680,96,234.7,22.2,0.0070,,
0.7755,97,235.5,22.2,0.0070,,
0.7840,98,235.6,22.3,0.0075,,
0.7925,99,235.3,22.2,0.0070,,
0.8010,100,235.8,22.3,0.0070,,
0.8090,101,236.4,22.2,0.0065,,
0.8175,102,236.9,22.3,0.0070,,
0.8250,103,237.3,22.2,0.0070,,
0.8330,104,237.5,22.2,0.0075,,
0.8415,105,237.7,22.2,0.0075,,
0.8495,106,237.9,22.3,0.0065,,
