Raw Data
Scope 1/1, Sample 1/9 (129)
Method Function,Sample (S1)
0.3715,48,-61.4,21.6,0.0070,,
0.3790,49,-59.4,21.6,0.0070,,
0.3875,50,-57.3,21.6,0.0075,,
0.3955,51,-55.4,21.6,0.0065,,
0.4040,52,-53.3,21.6,0.0070,,
0.4125,53,-50.7,21.6,0.0070,,
0.4210,54,-48.5,21.6,0.0075,,
0.4285,55,-46.0,21.6,0.0070,,
0.4370,56,-43.0,21.6,0.0075,,
0.4455,57,-39.9,21.6,0.0070,,
0.4540,58,-36.7,21.6,0.0070,,
0.4625,59,-33.5,21.6,0.0070,,
0.4705,60,-30.6,21.6,0.0075,,
0.4780,61,-26.5,21.6,0.0070,,
0.4865,62,-22.4,21.6,0.0075,,
0.4950,63,-18.4,21.6,0.0070,,
0.5035,64,-14.2,21.6,0.0070,,
0.5120,65,-10.5,21.6,0.0070,,
0.5195,66,-7.4,21.6,0.0070,,
0.5280,67,-4.1,21.6,0.0075,,
0.5365,68,-1.6,21.6,0.0075,,
0.5450,69,0.9,21.6,0.0070,,
0.5530,70,2.7,21.6,0.0065,,
0.5615,71,4.0,21.6,0.0070,,
0.5690,72,5.5,21.6,0.0070,,
0.5775,73,6.6,21.6,0.0075,,
0.5860,74,7.5,21.6,0.0075,,
0.5945,75,8.9,21.6,0.0070,,
0.6030,76,10.7,21.6,0.0070,,
0.6115,77,12.0,21.6,0.0070,,
0.6190,78,13.4,21.6,0.0070,,
0.6275,79,14.4,21.6,0.0075,,
0.6355,80,15.1,21.6,0.0075,,
0.6440,81,16.1,21.6,0.0070,,
0.6525,82,17.5,21.6,0.0070,,
0.6610,83,18.7,21.6,0.0070,,
0.6685,84,19.5,21.6,0.0070,,
0.6770,85,20.2,21.6,0.0075,,
0.6855,86,21.3,21.6,0.0075,,
0.6940,87,22.3,21.6,0.0070,,
0.7020,88,23.0,21.6,0.0065,,
0.7105,89,23.8,21.6,0.0070,,
0.7190,90,24.5,21.6,0.0075,,
0.7265,91,25.3,21.6,0.0070,,
0.7350,92,26.3,21.6,0.0075,,
0.7435,93,27.3,21.6,0.0070,,
0.7520,94,27.8,21.6,0.0070,,
0.7605,95,28.2,21.6,0.0070,,
0.7685,96,29.2,21.6,0.0065,,
0.7765,97,29.7,21.6,0.0075,,
0.7845,98,30.4,21.6,0.0075,,
0.7930,99,31.1,21.6,0.0070,,
0.8015,100,32.2,21.6,0.0070,,
0.8100,101,32.9,21.6,0.0070,,
0.8185,102,33.9,21.6,0.0070,,
0.8260,103,34.1,21.6,0.0070,,
0.8345,104,34.9,21.6,0.0075,,
0.8430,105,35.7,21.6,0.0075,,
0.8510,106,36.5,21.6,0.0065,,
0.8595,107,37.3,21.6,0.0070,,
0.8680,108,38.3,21.6,0.0070,,
0.8755,109,38.8,21.6,0.0070,,
0.8840,110,39.7,21.6,0.0075,,
0.8925,111,40.5,21.6,0.0075,,
0.9010,112,41.0,21.6,0.0070,,
0.9095,113,41.9,21.6,0.0070,,
0.9175,114,42.8,21.6,0.0065,,
0.9255,115,43.6,21.6,0.0075,,
0.9335,116,44.5,21.6,0.0075,,
0.9420,117,45.6,21.6,0.0070,,
0.9505,118,46.1,21.6,0.0070,,
0.9590,119,47.5,21.6,0.0070,,
0.9675,120,48.1,21.6,0.0070,,
0.9750,121,48.3,21.6,0.0070,,
0.9835,122,49.5,21.6,0.0075,,
0.9920,123,50.4,21.6,0.0070,,
1.0005,124,51.1,21.6,0.0070,,
1.0085,125,51.4,21.6,0.0065,,
1.0165,126,52.4,21.6,0.0075,,
1.0245,127,53.2,21.6,0.0075,,
1.0330,128,54.3,21.6,0.0075,,
1.0415,129,55.1,21.6,0.0070,,
1.0500,130,55.8,21.6,0.0070,,
1.0585,131,56.2,21.6,0.0070,,
1.0660,132,57.2,21.6,0.0070,,
1.0745,133,57.6,21.6,0.0075,,
1.0830,134,58.1,21.6,0.0075,,
1.0915,135,58.9,21.6,0.0070,,
1.0995,136,59.9,21.6,0.0065,,
1.1080,137,60.4,21.6,0.0070,,
1.1155,138,61.8,21.6,0.0070,,
1.1240,139,62.3,21.6,0.0075,,
1.1325,140,63.8,21.6,0.0075,,
1.1410,141,65.0,21.6,0.0070,,
1.1495,142,65.9,21.6,0.0070,,
1.1580,143,66.5,21.6,0.0070,,
1.1655,144,67.8,21.6,0.0070,,
1.1735,145,68.9,21.6,0.0075,,
1.1820,146,70.3,21.6,0.0075,,
1.1905,147,71.3,21.6,0.0070,,
1.1990,148,72.3,21.6,0.0070,,
1.2075,149,73.1,21.6,0.0070,,
1.2160,150,74.4,21.6,0.0075,,
1.2235,151,75.4,21.6,0.0070,,
1.2320,152,75.9,21.6,0.0075,,
1.2405,153,77.4,21.6,0.0070,,
1.2485,154,79.2,21.6,0.0065,,
1.2570,155,80.9,21.6,0.0070,,
1.2655,156,82.3,21.6,0.0075,,
1.2730,157,83.5,21.6,0.0070,,
1.2815,158,85.0,21.6,0.0075,,
1.2900,159,86.4,21.6,0.0070,,
1.2985,160,87.4,21.6,0.0070,,
1.3070,161,89.1,21.6,0.0070,,
1.3145,162,91.4,21.6,0.0070,,
1.3230,163,93.6,21.6,0.0075,,
1.3310,164,95.5,21.6,0.0075,,
1.3395,165,98.0,21.6,0.0070,,
1.3480,166,100.1,21.6,0.0070,,
1.3565,167,102.3,21.6,0.0070,,
1.3650,168,104.8,21.6,0.0075,,
1.3725,169,107.5,21.6,0.0070,,
1.3810,170,110.3,21.6,0.0075,,
1.3895,171,113.8,21.6,0.0070,,
1.3975,172,117.1,21.6,0.0065,,
1.4060,173,120.0,21.6,0.0070,,
1.4145,174,123.6,21.6,0.0075,,
1.4220,175,128.2,21.6,0.0070,,
1.4305,176,132.6,21.6,0.0075,,
1.4390,177,137.6,21.6,0.0070,,
1.4475,178,142.1,21.6,0.0070,,
1.4560,179,146.5,21.6,0.0070,,
1.4640,180,150.4,21.6,0.0075,,
1.4720,181,154.6,21.6,0.0075,,
1.4805,182,158.7,21.6,0.0075,,
1.4885,183,162.3,21.6,0.0065,,
1.4970,184,165.3,21.6,0.0070,,
1.5055,185,168.2,21.6,0.0070,,
1.5130,186,171.2,21.6,0.0070,,
1.5215,187,173.7,21.6,0.0075,,
1.5300,188,176.1,21.6,0.0075,,
1.5385,189,178.2,21.6,0.0070,,
1.5470,190,180.3,21.6,0.0070,,
1.5550,191,182.0,21.6,0.0065,,
1.5625,192,183.4,21.6,0.0070,,
1.5710,193,185.1,21.6,0.0075,,
1.5750,194,186.4,21.6,0.0035,,
1.5760,195,187.2,21.6,0.0010,,
1.5765,196,187.8,21.6,0.0005,,
1.5770,197,188.0,21.6,0.0005,,
1.5780,198,188.2,21.6,0.0010,,
1.5790,199,188.1,21.6,0.0010,,
1.5800,200,187.8,21.6,0.0010,,
1.5800,201,187.8,21.6,0.0000,,
1.5810,202,188.0,21.6,0.0010,,
1.5825,203,188.6,21.6,0.0010,,
1.5845,204,188.8,21.6,0.0020,,
1.5860,205,188.8,21.6,0.0015,,
1.5870,206,189.3,21.6,0.0010,,
1.5870,207,189.6,21.6,0.0000,,
1.5880,208,189.7,21.6,0.0010,,
1.5880,208,190.1,21.6,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.0,21.9,NaN,,
0.0005,1,189.9,21.9,0.0005,,
0.0020,2,189.8,21.9,0.0015,,
0.0050,3,189.8,21.9,0.0025,,
0.0085,4,190.3,21.9,0.0030,,
0.0150,5,191.2,21.9,0.0055,,
0.0235,6,192.1,21.9,0.0070,,
0.0310,7,193.3,21.9,0.0070,,
0.0395,8,194.1,21.9,0.0075,,
0.0480,9,195.3,21.9,0.0075,,
0.0560,10,196.5,21.9,0.0065,,
0.0645,11,197.8,21.9,0.0070,,
0.0730,12,198.7,21.9,0.0070,,
0.0815,13,199.6,21.9,0.0075,,
0.0890,14,200.5,21.9,0.0070,,
0.0975,15,201.5,21.9,0.0075,,
0.1060,16,201.8,21.9,0.0070,,
0.1145,17,202.1,21.9,0.0070,,
0.1230,18,202.9,21.9,0.0070,,
0.1305,19,203.9,21.9,0.0070,,
0.1390,20,204.4,21.9,0.0075,,
0.1470,21,205.2,21.9,0.0075,,
0.1555,22,206.7,21.9,0.0070,,
0.1640,23,206.9,21.9,0.0070,,
0.1725,24,207.2,21.9,0.0070,,
0.1800,25,207.8,21.9,0.0070,,
0.1885,26,208.6,21.9,0.0075,,
0.1970,27,209.2,21.9,0.0075,,
0.2055,28,210.0,21.9,0.0070,,
0.2135,29,210.6,21.9,0.0065,,
0.2220,30,211.1,21.9,0.0070,,
0.2295,31,211.4,21.9,0.0070,,
0.2380,32,212.2,21.9,0.0075,,
0.2465,33,213.2,21.9,0.0075,,
0.2550,34,213.6,21.9,0.0070,,
0.2635,35,214.4,21.9,0.0070,,
0.2720,36,214.8,21.9,0.0070,,
0.2795,37,215.1,21.9,0.0070,,
0.2880,38,215.6,21.9,0.0075,,
0.2965,39,216.6,21.9,0.0075,,
0.3045,40,217.3,21.9,0.0065,,
0.3130,41,217.6,21.9,0.0070,,
0.3215,42,218.0,21.9,0.0075,,
0.3290,43,218.7,21.9,0.0070,,
0.3375,44,219.0,21.9,0.0075,,
0.3460,45,219.4,21.9,0.0070,,
0.3545,46,220.0,21.9,0.0070,,
0.3630,47,220.5,21.9,0.0070,,
0.3710,48,220.9,21.9,0.0075,,
0.3790,49,221.3,21.9,0.0075,,
0.3870,50,221.7,21.9,0.0075,,
0.3955,51,222.1,21.9,0.0070,,
0.4040,52,222.5,21.9,0.0070,,
0.4125,53,222.8,21.9,0.0070,,
0.4210,54,222.9,21.9,0.0075,,
0.4285,55,223.2,21.9,0.0070,,
0.4370,56,223.3,21.9,0.0075,,
0.4455,57,223.4,21.9,0.0070,,
0.4540,58,223.8,21.9,0.0070,,
0.4625,59,224.3,21.9,0.0070,,
0.4705,60,225.3,21.9,0.0075,,
0.4780,61,225.7,21.9,0.0070,,
0.4865,62,225.9,21.9,0.0075,,
0.4950,63,226.2,21.9,0.0070,,
0.5035,64,226.7,21.9,0.0070,,
0.5120,65,227.0,21.9,0.0070,,
0.5205,66,227.3,21.9,0.0075,,
0.5280,67,227.3,21.9,0.0070,,
0.5365,68,227.4,21.9,0.0075,,
0.5450,69,227.6,21.9,0.0070,,
0.5530,70,228.3,21.9,0.0065,,
0.5615,71,228.6,21.9,0.0070,,
0.5700,72,229.2,21.9,0.0075,,
0.5775,73,229.4,21.9,0.0070,,
0.5860,74,229.6,21.9,0.0075,,
0.5945,75,229.6,21.9,0.0070,,
0.6030,76,229.7,21.9,0.0070,,
0.6115,77,230.4,21.9,0.0070,,
0.6190,78,230.4,21.9,0.0070,,
0.6275,79,231.0,21.9,0.0075,,
0.6355,80,231.1,21.9,0.0075,,
0.6440,81,231.0,21.9,0.0070,,
0.6525,82,231.7,21.9,0.0070,,
0.6610,83,231.6,21.9,0.0070,,
0.6685,84,232.1,21.9,0.0070,,
0.6770,85,232.2,21.9,0.0075,,
0.6855,86,232.6,21.9,0.0075,,
0.6940,87,232.9,21.9,0.0070,,
0.7020,88,233.5,21.9,0.0065,,
0.7105,89,233.6,21.9,0.0070,,
0.7190,90,234.0,21.9,0.0075,,
0.7265,91,234.1,21.9,0.0070,,
0.7350,92,233.8,21.9,0.0075,,
0.7435,93,234.0,21.9,0.0070,,
0.7520,94,234.6,21.9,0.0070,,
0.7605,95,235.0,21.9,0.0070,,
0.7680,96,235.3,21.9,0.0070,,
0.7765,97,235.6,21.9,0.0075,,
0.7845,98,235.2,21.9,0.0075,,
0.7930,99,235.0,21.9,0.0070,,
0.8015,100,235.2,21.9,0.0070,,
0.8100,101,235.7,21.9,0.0070,,
0.8175,102,235.6,21.9,0.0070,,
0.8260,103,235.9,21.9,0.0075,,
0.8345,104,236.0,21.9,0.0075,,
0.8430,105,236.2,21.9,0.0070,,
0.8510,106,236.4,21.9,0.0065,,
0.8595,107,236.6,21.9,0.0070,,
0.8670,108,236.9,21.9,0.0070,,
0.8755,109,237.0,21.9,0.0075,,
0.8840,110,237.4,21.9,0.0075,,
0.8905,111,237.7,21.9,0.0055,,
0.8915,112,237.6,21.9,0.0010,,
0.8920,113,237.7,21.9,0.0005,,
0.8930,114,237.7,21.9,0.0010,,
0.8945,115,237.7,21.9,0.0015,,
0.8965,116,238.1,21.9,0.0020,,
0.9000,117,238.6,21.9,0.0030,,
0.9055,118,238.9,21.9,0.0045,,
0.9120,119,239.0,21.9,0.0055,,
0.9155,120,238.7,21.9,0.0030,,
0.9165,121,238.8,21.9,0.0010,,
0.9175,122,238.9,21.9,0.0010,,
0.9180,123,239.2,21.9,0.0005,,
0.9190,124,239.2,21.9,0.0010,,
0.9195,125,239.4,21.9,0.0005,,
0.9205,126,239.5,21.9,0.0010,,
0.9225,127,239.3,21.9,0.0020,,
0.9235,128,238.8,21.9,0.0010,,
0.9240,129,238.7,21.9,0.0005,,
0.9250,130,238.6,21.9,0.0010,,
0.9255,131,238.6,21.9,0.0005,,
0.9260,132,238.5,21.9,0.0005,,
0.9270,133,238.5,21.9,0.0010,,
0.9275,134,238.6,21.9,0.0005,,
0.9280,135,238.6,21.9,0.0005,,
0.9290,136,238.7,21.9,0.0010,,
0.9300,137,239.0,21.9,0.0010,,
0.9310,138,239.2,21.9,0.0010,,
0.9310,139,239.6,21.9,0.0000,,
0.9325,140,239.6,21.9,0.0015,,
0.9330,141,239.6,21.9,0.0005,,
0.9335,142,239.7,21.9,0.0005,,
0.9345,143,239.6,21.9,0.0010,,
0.9350,144,239.8,21.9,0.0005,,
0.9360,145,239.7,21.9,0.0010,,
0.9365,146,239.0,21.9,0.0005,,
0.9375,147,238.9,21.9,0.0010,,
0.9380,148,238.9,21.9,0.0005,,
0.9395,149,239.1,21.9,0.0010,,
0.9395,150,239.2,21.9,0.0000,,
0.9405,151,239.0,21.9,0.0010,,
0.9410,152,240.0,21.9,0.0010,,
Scope 1/1, Sample 3/9 (135)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.4,21.7,NaN,,
0.0005,1,-99.4,21.6,0.0005,,
0.0020,2,-99.3,21.6,0.0015,,
0.0050,3,-99.5,21.6,0.0025,,
0.0085,4,-99.6,21.6,0.0030,,
0.0150,5,-99.7,21.6,0.0055,,
0.0235,6,-99.6,21.6,0.0070,,
0.0310,7,-99.2,21.6,0.0070,,
0.0395,8,-99.1,21.6,0.0075,,
0.0480,9,-98.9,21.6,0.0075,,
0.0565,10,-98.6,21.6,0.0070,,
0.0645,11,-98.2,21.6,0.0065,,
0.0730,12,-97.5,21.6,0.0070,,
0.0810,13,-96.6,21.6,0.0065,,
0.0890,14,-96.3,21.6,0.0075,,
0.0975,15,-95.4,21.6,0.0070,,
0.1060,16,-94.6,21.6,0.0070,,
0.1145,17,-93.6,21.6,0.0070,,
0.1230,18,-93.4,21.6,0.0070,,
0.1305,19,-92.8,21.6,0.0070,,
0.1390,20,-91.8,21.6,0.0075,,
0.1475,21,-91.1,21.6,0.0075,,
0.1555,22,-90.4,21.6,0.0065,,
0.1640,23,-89.3,21.6,0.0070,,
0.1725,24,-88.2,21.6,0.0070,,
0.1800,25,-87.2,21.6,0.0070,,
0.1885,26,-86.4,21.6,0.0075,,
0.1970,27,-85.9,21.6,0.0070,,
0.2055,28,-85.0,21.6,0.0070,,
0.2140,29,-84.1,21.6,0.0070,,
0.2220,30,-83.0,21.6,0.0065,,
0.2300,31,-82.1,21.6,0.0075,,
0.2380,32,-80.8,21.6,0.0075,,
0.2465,33,-79.5,21.6,0.0070,,
0.2550,34,-78.3,21.6,0.0070,,
0.2635,35,-77.4,21.6,0.0070,,
0.2720,36,-75.7,21.6,0.0070,,
0.2795,37,-73.8,21.6,0.0070,,
0.2880,38,-72.5,21.6,0.0075,,
0.2960,39,-71.1,21.6,0.0075,,
0.3045,40,-70.1,21.6,0.0070,,
0.3130,41,-68.5,21.6,0.0070,,
0.3215,42,-67.2,21.6,0.0070,,
0.3290,43,-65.4,21.6,0.0070,,
0.3375,44,-63.7,21.6,0.0075,,
0.3460,45,-62.1,21.6,0.0075,,
0.3545,46,-60.6,21.6,0.0070,,
0.3630,47,-58.6,21.6,0.0070,,
0.3710,48,-56.7,21.6,0.0065,,
0.3790,49,-54.4,21.6,0.0075,,
0.3870,50,-52.1,21.6,0.0075,,
0.3955,51,-50.1,21.6,0.0075,,
0.4040,52,-47.0,21.6,0.0070,,
0.4125,53,-43.5,21.6,0.0070,,
0.4210,54,-40.9,21.6,0.0070,,
0.4285,55,-38.0,21.6,0.0070,,
0.4370,56,-34.7,21.6,0.0075,,
0.4455,57,-30.7,21.6,0.0075,,
0.4535,58,-27.2,21.6,0.0065,,
0.4620,59,-22.7,21.6,0.0070,,
0.4705,60,-18.7,21.6,0.0070,,
0.4780,61,-14.4,21.6,0.0070,,
0.4865,62,-10.4,21.6,0.0075,,
0.4950,63,-7.5,21.6,0.0075,,
0.5035,64,-4.7,21.6,0.0070,,
0.5120,65,-2.4,21.6,0.0070,,
0.5205,66,0.1,21.6,0.0070,,
0.5280,67,1.9,21.6,0.0070,,
0.5365,68,3.4,21.6,0.0075,,
0.5445,69,5.0,21.6,0.0075,,
0.5530,70,6.5,21.6,0.0070,,
0.5615,71,7.9,21.6,0.0070,,
0.5700,72,9.5,21.6,0.0070,,
0.5775,73,11.8,21.6,0.0070,,
0.5860,74,13.0,21.6,0.0075,,
0.5945,75,14.3,21.6,0.0075,,
0.6025,76,15.5,21.6,0.0065,,
0.6110,77,16.6,21.6,0.0070,,
0.6195,78,17.6,21.6,0.0070,,
0.6270,79,18.5,21.6,0.0070,,
0.6355,80,19.5,21.6,0.0075,,
0.6440,81,20.5,21.6,0.0075,,
0.6525,82,21.4,21.6,0.0070,,
0.6610,83,22.3,21.6,0.0070,,
0.6695,84,23.1,21.6,0.0070,,
0.6770,85,24.0,21.6,0.0070,,
0.6855,86,24.9,21.6,0.0075,,
0.6935,87,25.8,21.6,0.0075,,
0.7020,88,26.6,21.6,0.0070,,
0.7105,89,27.6,21.6,0.0070,,
0.7190,90,28.5,21.6,0.0070,,
0.7275,91,29.0,21.6,0.0075,,
0.7350,92,30.1,21.6,0.0070,,
0.7435,93,31.1,21.6,0.0075,,
0.7520,94,31.7,21.6,0.0070,,
0.7600,95,32.9,21.6,0.0065,,
0.7685,96,33.6,21.6,0.0070,,
0.7770,97,34.1,21.6,0.0075,,
0.7845,98,34.8,21.6,0.0070,,
0.7930,99,35.6,21.6,0.0075,,
0.8015,100,36.6,21.6,0.0070,,
0.8100,101,37.5,21.6,0.0070,,
0.8185,102,38.1,21.6,0.0070,,
0.8260,103,38.5,21.6,0.0070,,
0.8345,104,39.3,21.6,0.0075,,
0.8425,105,40.3,21.6,0.0075,,
0.8510,106,41.5,21.6,0.0070,,
0.8595,107,42.3,21.6,0.0070,,
0.8680,108,43.0,21.6,0.0070,,
0.8765,109,43.7,21.6,0.0070,,
0.8840,110,44.3,21.6,0.0070,,
0.8925,111,45.2,21.6,0.0075,,
0.9010,112,45.9,21.6,0.0070,,
0.9090,113,46.8,21.6,0.0065,,
0.9175,114,46.9,21.6,0.0070,,
0.9250,115,47.8,21.6,0.0070,,
0.9335,116,48.3,21.6,0.0075,,
0.9420,117,49.1,21.6,0.0075,,
0.9505,118,50.0,21.6,0.0070,,
0.9590,119,51.2,21.6,0.0070,,
0.9675,120,52.1,21.6,0.0070,,
0.9750,121,52.4,21.6,0.0070,,
0.9835,122,53.2,21.6,0.0075,,
0.9920,123,54.1,21.6,0.0075,,
1.0000,124,55.0,21.6,0.0065,,
1.0085,125,56.0,21.6,0.0070,,
1.0170,126,56.9,21.6,0.0070,,
1.0245,127,57.7,21.6,0.0070,,
1.0330,128,59.2,21.6,0.0075,,
1.0415,129,60.1,21.6,0.0075,,
1.0500,130,61.2,21.6,0.0070,,
1.0585,131,62.1,21.6,0.0070,,
1.0665,132,63.4,21.6,0.0065,,
1.0745,133,63.8,21.7,0.0075,,
1.0825,134,65.1,21.7,0.0075,,
1.0910,135,66.2,21.6,0.0070,,
1.0995,136,67.4,21.7,0.0070,,
1.1080,137,68.2,21.6,0.0070,,
1.1165,138,69.2,21.7,0.0070,,
1.1240,139,70.5,21.6,0.0070,,
1.1325,140,71.6,21.7,0.0075,,
1.1410,141,72.4,21.7,0.0075,,
1.1490,142,73.9,21.7,0.0065,,
1.1575,143,75.5,21.6,0.0070,,
1.1660,144,76.5,21.7,0.0070,,
1.1735,145,77.4,21.7,0.0070,,
1.1820,146,79.1,21.6,0.0075,,
1.1905,147,80.2,21.6,0.0075,,
1.1990,148,82.0,21.7,0.0070,,
1.2075,149,83.6,21.7,0.0070,,
1.2155,150,85.3,21.7,0.0065,,
1.2235,151,87.0,21.7,0.0075,,
1.2315,152,89.2,21.7,0.0075,,
1.2400,153,91.7,21.7,0.0075,,
1.2485,154,93.9,21.6,0.0070,,
1.2570,155,96.4,21.7,0.0070,,
1.2655,156,98.9,21.7,0.0070,,
1.2730,157,100.7,21.7,0.0070,,
1.2815,158,103.4,21.7,0.0075,,
1.2900,159,107.2,21.7,0.0075,,
1.2985,160,111.2,21.7,0.0070,,
1.3065,161,114.8,21.7,0.0065,,
1.3150,162,118.4,21.7,0.0070,,
1.3225,163,121.6,21.7,0.0070,,
1.3310,164,126.8,21.7,0.0075,,
1.3395,165,131.8,21.7,0.0075,,
1.3480,166,136.5,21.7,0.0070,,
1.3565,167,141.9,21.7,0.0070,,
1.3650,168,146.7,21.7,0.0070,,
1.3725,169,151.2,21.7,0.0070,,
1.3810,170,155.0,21.7,0.0075,,
1.3890,171,158.9,21.7,0.0065,,
1.3975,172,162.5,21.7,0.0070,,
1.4060,173,165.9,21.7,0.0070,,
1.4145,174,168.5,21.7,0.0075,,
1.4220,175,171.3,21.7,0.0070,,
1.4305,176,173.9,21.7,0.0075,,
1.4390,177,176.3,21.7,0.0070,,
1.4475,178,178.0,21.7,0.0070,,
1.4560,179,179.6,21.7,0.0070,,
1.4640,180,181.9,21.7,0.0075,,
1.4710,181,184.0,21.7,0.0065,,
1.4755,182,185.5,21.7,0.0040,,
1.4780,183,186.4,21.7,0.0020,,
1.4800,184,187.0,21.7,0.0015,,
1.4820,185,187.4,21.7,0.0015,,
1.4845,186,187.8,21.7,0.0020,,
1.4875,187,188.1,21.7,0.0025,,
1.4905,188,188.6,21.7,0.0025,,
1.4920,189,189.1,21.7,0.0010,,
1.4925,190,189.4,21.7,0.0005,,
1.4930,191,189.6,21.7,0.0005,,
1.4940,192,189.7,21.7,0.0010,,
1.4950,193,189.5,21.7,0.0010,,
1.4955,194,189.6,21.7,0.0005,,
1.4960,194,190.1,21.7,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.5,21.9,NaN,,
0.0005,1,190.1,21.9,0.0005,,
0.0020,2,190.1,21.9,0.0015,,
0.0050,3,190.2,21.9,0.0025,,
0.0090,4,190.6,21.9,0.0035,,
0.0150,5,191.2,21.9,0.0050,,
0.0235,6,192.2,21.9,0.0070,,
0.0310,7,193.0,21.9,0.0070,,
0.0395,8,194.4,21.9,0.0075,,
0.0480,9,195.4,21.9,0.0070,,
0.0565,10,196.6,21.9,0.0070,,
0.0650,11,197.2,21.9,0.0070,,
0.0730,12,198.7,21.9,0.0065,,
0.0810,13,199.1,21.9,0.0075,,
0.0890,14,200.1,21.9,0.0075,,
0.0975,15,200.9,21.9,0.0075,,
0.1060,16,201.8,21.9,0.0070,,
0.1145,17,203.0,21.9,0.0070,,
0.1230,18,204.1,21.9,0.0070,,
0.1305,19,204.6,21.9,0.0070,,
0.1390,20,204.9,21.9,0.0075,,
0.1470,21,205.6,21.9,0.0075,,
0.1555,22,206.1,21.9,0.0070,,
0.1640,23,206.7,21.9,0.0070,,
0.1725,24,207.3,21.9,0.0070,,
0.1800,25,208.0,21.9,0.0070,,
0.1885,26,208.9,21.9,0.0075,,
0.1970,27,209.6,21.9,0.0075,,
0.2055,28,210.0,21.9,0.0070,,
0.2135,29,210.4,21.9,0.0065,,
0.2220,30,211.2,21.9,0.0070,,
0.2305,31,211.8,21.9,0.0075,,
0.2380,32,212.8,21.9,0.0070,,
0.2465,33,213.2,21.9,0.0075,,
0.2550,34,213.8,21.9,0.0070,,
0.2635,35,214.0,21.9,0.0070,,
0.2720,36,214.3,21.9,0.0070,,
0.2795,37,214.7,21.9,0.0070,,
0.2880,38,215.3,21.9,0.0075,,
0.2960,39,215.8,21.9,0.0075,,
0.3045,40,216.3,21.9,0.0070,,
0.3130,41,217.0,21.9,0.0070,,
0.3215,42,217.1,21.9,0.0070,,
0.3300,43,217.6,21.9,0.0075,,
0.3375,44,218.2,21.9,0.0070,,
0.3460,45,218.5,21.9,0.0075,,
0.3545,46,219.0,21.9,0.0070,,
0.3625,47,219.4,21.9,0.0065,,
0.3710,48,219.8,21.9,0.0070,,
0.3795,49,220.2,21.9,0.0075,,
0.3870,50,220.6,21.9,0.0070,,
0.3955,51,221.0,21.9,0.0075,,
0.4040,52,221.6,21.9,0.0070,,
0.4125,53,222.5,21.9,0.0070,,
0.4210,54,223.1,21.9,0.0070,,
0.4290,55,222.8,21.9,0.0075,,
0.4370,56,223.7,21.9,0.0075,,
0.4455,57,224.5,21.9,0.0075,,
0.4535,58,224.2,21.9,0.0065,,
0.4620,59,224.0,21.9,0.0070,,
0.4705,60,224.6,21.9,0.0070,,
0.4780,61,224.8,21.9,0.0070,,
0.4865,62,225.3,21.9,0.0075,,
0.4950,63,225.3,21.9,0.0075,,
0.5035,64,225.9,21.9,0.0070,,
0.5120,65,226.0,21.9,0.0070,,
0.5200,66,226.3,21.9,0.0065,,
0.5280,67,227.1,21.9,0.0075,,
0.5360,68,227.2,21.9,0.0075,,
0.5445,69,227.4,21.9,0.0075,,
0.5530,70,227.6,21.9,0.0070,,
0.5615,71,228.1,21.9,0.0070,,
0.5700,72,228.3,21.9,0.0070,,
0.5775,73,228.6,21.9,0.0070,,
0.5860,74,228.8,21.9,0.0075,,
0.5945,75,229.0,21.9,0.0075,,
0.6030,76,229.6,21.9,0.0070,,
0.6110,77,230.2,21.9,0.0065,,
0.6195,78,230.8,21.9,0.0070,,
0.6270,79,230.5,21.9,0.0070,,
0.6355,80,230.6,21.9,0.0075,,
0.6440,81,230.6,21.9,0.0075,,
0.6525,82,230.9,21.9,0.0070,,
0.6610,83,231.2,21.9,0.0070,,
0.6690,84,231.6,21.9,0.0065,,
0.6770,85,231.8,21.9,0.0075,,
0.6850,86,232.2,21.9,0.0075,,
0.6935,87,232.9,21.9,0.0075,,
0.7020,88,233.5,21.9,0.0070,,
0.7105,89,233.6,21.9,0.0070,,
0.7190,90,234.1,21.9,0.0070,,
0.7265,91,234.2,21.9,0.0070,,
0.7350,92,234.3,21.9,0.0075,,
0.7435,93,234.3,21.9,0.0070,,
0.7520,94,234.8,21.9,0.0070,,
0.7600,95,235.1,21.9,0.0065,,
0.7685,96,235.5,21.9,0.0070,,
0.7760,97,235.6,21.9,0.0070,,
0.7845,98,235.6,21.9,0.0075,,
0.7930,99,236.2,21.9,0.0075,,
0.8015,100,236.1,21.9,0.0070,,
0.8095,101,236.5,21.9,0.0065,,
0.8180,102,236.9,21.9,0.0070,,
0.8265,103,237.1,21.9,0.0075,,
0.8340,104,237.3,21.9,0.0070,,
0.8425,105,237.5,21.9,0.0075,,
0.8510,106,237.7,21.9,0.0070,,
0.8570,107,237.7,21.9,0.0050,,
0.8620,108,237.9,21.9,0.0040,,
0.8695,109,238.1,21.9,0.0060,,
0.8770,110,238.0,21.9,0.0070,,
0.8840,111,238.6,21.9,0.0065,,
0.8910,112,238.6,21.9,0.0060,,
