Raw Data
Scope 1/1, Sample 1/9 (217)
Method Function,Sample (S1)
0.3370,44,-69.9,22.1,0.0070,,
0.3455,45,-68.2,22.1,0.0070,,
0.3540,46,-66.4,22.1,0.0065,,
0.3620,47,-64.4,22.1,0.0060,,
0.3705,48,-62.5,22.1,0.0065,,
0.3780,49,-60.5,22.1,0.0060,,
0.3865,50,-57.9,22.0,0.0070,,
0.3950,51,-55.5,22.1,0.0070,,
0.4035,52,-53.5,22.1,0.0065,,
0.4120,53,-50.7,22.1,0.0065,,
0.4205,54,-48.1,22.1,0.0065,,
0.4285,55,-46.2,22.1,0.0065,,
0.4365,56,-43.2,22.1,0.0060,,
0.4445,57,-39.5,22.1,0.0065,,
0.4530,58,-35.9,22.1,0.0065,,
0.4615,59,-32.2,22.1,0.0065,,
0.4700,60,-28.1,22.1,0.0065,,
0.4785,61,-24.7,22.1,0.0070,,
0.4860,62,-20.4,22.1,0.0060,,
0.4945,63,-16.1,22.1,0.0070,,
0.5030,64,-12.1,22.1,0.0065,,
0.5110,65,-8.4,22.1,0.0060,,
0.5195,66,-5.6,22.1,0.0065,,
0.5275,67,-3.2,22.1,0.0065,,
0.5355,68,-1.0,22.1,0.0065,,
0.5440,69,1.5,22.1,0.0070,,
0.5525,70,3.3,22.1,0.0065,,
0.5610,71,4.4,22.1,0.0065,,
0.5695,72,6.2,22.1,0.0065,,
0.5780,73,7.6,22.1,0.0070,,
0.5855,74,8.4,22.1,0.0060,,
0.5940,75,9.5,22.1,0.0070,,
0.6020,76,11.2,22.1,0.0060,,
0.6105,77,12.3,22.1,0.0065,,
0.6190,78,13.3,22.1,0.0065,,
0.6275,79,14.6,22.1,0.0070,,
0.6350,80,16.0,22.1,0.0060,,
0.6435,81,16.9,22.1,0.0070,,
0.6520,82,17.6,22.1,0.0065,,
0.6605,83,18.8,22.1,0.0065,,
0.6685,84,20.3,22.1,0.0060,,
0.6765,85,21.2,22.1,0.0065,,
0.6845,86,22.1,22.1,0.0065,,
0.6930,87,23.6,22.1,0.0070,,
0.7015,88,24.5,22.1,0.0065,,
0.7100,89,25.2,22.1,0.0065,,
0.7185,90,25.2,22.1,0.0065,,
0.7260,91,26.2,22.1,0.0060,,
0.7345,92,26.8,22.1,0.0070,,
0.7430,93,27.8,22.1,0.0065,,
0.7515,94,29.2,22.1,0.0065,,
0.7595,95,30.4,22.1,0.0060,,
0.7680,96,31.3,22.1,0.0065,,
0.7755,97,32.1,22.1,0.0060,,
0.7840,98,32.5,22.1,0.0070,,
0.7925,99,33.2,22.1,0.0070,,
0.8010,100,33.7,22.1,0.0065,,
0.8095,101,34.5,22.1,0.0065,,
0.8180,102,35.4,22.1,0.0065,,
0.8255,103,36.1,22.1,0.0060,,
0.8340,104,36.8,22.1,0.0070,,
0.8420,105,37.7,22.1,0.0065,,
0.8505,106,38.7,22.1,0.0065,,
0.8590,107,40.0,22.1,0.0065,,
0.8675,108,40.6,22.1,0.0070,,
0.8750,109,42.0,22.1,0.0060,,
0.8835,110,43.3,22.1,0.0070,,
0.8920,111,44.1,22.1,0.0065,,
0.9005,112,44.9,22.1,0.0065,,
0.9090,113,45.6,22.1,0.0065,,
0.9170,114,46.3,22.1,0.0065,,
0.9250,115,47.0,22.1,0.0065,,
0.9330,116,47.9,22.1,0.0065,,
0.9415,117,48.6,22.1,0.0065,,
0.9500,118,49.5,22.1,0.0065,,
0.9585,119,50.6,22.1,0.0065,,
0.9670,120,51.3,22.1,0.0065,,
0.9745,121,52.0,22.1,0.0060,,
0.9830,122,53.0,22.1,0.0070,,
0.9915,123,54.0,22.1,0.0065,,
0.9995,124,54.2,22.1,0.0060,,
1.0080,125,54.5,22.1,0.0065,,
1.0165,126,55.2,22.1,0.0070,,
1.0240,127,56.1,22.1,0.0060,,
1.0325,128,57.6,22.1,0.0070,,
1.0410,129,59.0,22.1,0.0065,,
1.0495,130,59.5,22.1,0.0065,,
1.0580,131,60.3,22.1,0.0065,,
1.0660,132,61.3,22.1,0.0065,,
1.0740,133,61.7,22.1,0.0065,,
1.0825,134,62.9,22.1,0.0070,,
1.0905,135,64.6,22.1,0.0060,,
1.0990,136,66.0,22.1,0.0065,,
1.1075,137,66.9,22.1,0.0065,,
1.1150,138,68.2,22.1,0.0060,,
1.1235,139,69.0,22.1,0.0070,,
1.1320,140,70.2,22.1,0.0070,,
1.1405,141,70.5,22.1,0.0065,,
1.1490,142,71.9,22.1,0.0065,,
1.1570,143,73.3,22.1,0.0060,,
1.1650,144,74.1,22.1,0.0065,,
1.1730,145,75.1,22.1,0.0065,,
1.1815,146,77.0,22.1,0.0070,,
1.1900,147,78.6,22.1,0.0065,,
1.1985,148,79.7,22.1,0.0065,,
1.2070,149,80.9,22.1,0.0065,,
1.2155,150,82.0,22.1,0.0070,,
1.2230,151,83.7,22.1,0.0060,,
1.2315,152,85.6,22.1,0.0070,,
1.2395,153,87.1,22.1,0.0060,,
1.2480,154,88.9,22.1,0.0065,,
1.2565,155,90.7,22.1,0.0065,,
1.2650,156,92.7,22.1,0.0065,,
1.2725,157,94.7,22.1,0.0065,,
1.2810,158,97.9,22.1,0.0070,,
1.2895,159,99.9,22.1,0.0065,,
1.2980,160,102.8,22.1,0.0065,,
1.3060,161,105.4,22.1,0.0060,,
1.3145,162,108.6,22.1,0.0065,,
1.3220,163,111.9,22.1,0.0060,,
1.3305,164,115.9,22.1,0.0070,,
1.3390,165,120.7,22.1,0.0065,,
1.3475,166,124.1,22.1,0.0065,,
1.3560,167,128.2,22.1,0.0065,,
1.3645,168,132.1,22.1,0.0070,,
1.3720,169,136.5,22.1,0.0060,,
1.3805,170,141.2,22.1,0.0070,,
1.3885,171,146.5,22.1,0.0060,,
1.3970,172,150.4,22.1,0.0065,,
1.4055,173,155.6,22.1,0.0065,,
1.4140,174,159.4,22.1,0.0070,,
1.4215,175,162.3,22.1,0.0060,,
1.4300,176,165.6,22.1,0.0070,,
1.4385,177,168.0,22.1,0.0065,,
1.4470,178,170.9,22.1,0.0065,,
1.4555,179,173.5,22.1,0.0065,,
1.4635,180,176.1,22.1,0.0060,,
1.4710,181,178.4,22.1,0.0060,,
1.4795,182,180.0,22.1,0.0070,,
1.4880,183,181.6,22.1,0.0065,,
1.4960,184,183.1,22.1,0.0060,,
1.5025,185,184.9,22.1,0.0050,,
1.5070,186,186.4,22.1,0.0035,,
1.5085,187,187.2,22.1,0.0010,,
1.5085,188,187.5,22.1,0.0000,,
1.5095,189,187.4,22.1,0.0010,,
1.5105,190,187.5,22.1,0.0010,,
1.5110,191,187.8,22.1,0.0005,,
1.5120,192,187.7,22.1,0.0010,,
1.5125,193,188.0,22.1,0.0005,,
1.5140,194,188.5,22.1,0.0010,,
1.5165,195,189.3,22.1,0.0020,,
1.5175,196,189.7,22.1,0.0010,,
1.5180,197,189.5,22.1,0.0005,,
1.5190,198,189.9,22.1,0.0010,,
1.5195,199,189.8,22.1,0.0005,,
1.5200,200,190.1,22.1,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.2,22.3,NaN,,
0.0005,1,190.2,22.3,0.0005,,
0.0020,2,190.2,22.3,0.0015,,
0.0050,3,189.8,22.3,0.0025,,
0.0085,4,189.9,22.3,0.0030,,
0.0150,5,190.5,22.3,0.0055,,
0.0235,6,191.3,22.3,0.0070,,
0.0310,7,192.6,22.3,0.0070,,
0.0395,8,193.5,22.3,0.0075,,
0.0480,9,194.7,22.3,0.0075,,
0.0565,10,195.8,22.3,0.0070,,
0.0645,11,196.9,22.3,0.0065,,
0.0730,12,198.3,22.3,0.0070,,
0.0805,13,198.8,22.3,0.0070,,
0.0890,14,199.9,22.3,0.0075,,
0.0975,15,200.5,22.3,0.0075,,
0.1060,16,201.9,22.3,0.0070,,
0.1145,17,202.7,22.3,0.0070,,
0.1230,18,203.9,22.3,0.0070,,
0.1305,19,204.5,22.3,0.0070,,
0.1390,20,205.0,22.3,0.0075,,
0.1470,21,205.7,22.3,0.0065,,
0.1555,22,206.7,22.3,0.0070,,
0.1640,23,207.4,22.3,0.0070,,
0.1725,24,207.9,22.3,0.0070,,
0.1800,25,208.4,22.3,0.0070,,
0.1885,26,209.5,22.3,0.0075,,
0.1970,27,210.0,22.3,0.0075,,
0.2055,28,211.0,22.3,0.0070,,
0.2140,29,211.6,22.3,0.0070,,
0.2220,30,212.2,22.3,0.0075,,
0.2300,31,212.8,22.3,0.0075,,
0.2380,32,213.3,22.3,0.0075,,
0.2465,33,213.9,22.3,0.0070,,
0.2550,34,214.5,22.3,0.0070,,
0.2635,35,214.8,22.3,0.0070,,
0.2720,36,215.4,22.3,0.0070,,
0.2795,37,215.8,22.3,0.0070,,
0.2880,38,216.5,22.3,0.0075,,
0.2965,39,217.0,22.3,0.0070,,
0.3045,40,217.3,22.3,0.0065,,
0.3130,41,217.8,22.3,0.0070,,
0.3215,42,218.2,22.3,0.0070,,
0.3290,43,218.9,22.3,0.0070,,
0.3375,44,219.2,22.3,0.0075,,
0.3460,45,219.6,22.3,0.0075,,
0.3545,46,220.1,22.3,0.0070,,
0.3630,47,220.3,22.3,0.0070,,
0.3710,48,220.5,22.3,0.0065,,
0.3790,49,221.4,22.3,0.0075,,
0.3870,50,221.8,22.3,0.0075,,
0.3955,51,222.2,22.3,0.0075,,
0.4040,52,222.5,22.3,0.0070,,
0.4125,53,222.2,22.3,0.0070,,
0.4210,54,222.2,22.3,0.0070,,
0.4285,55,222.7,22.3,0.0070,,
0.4370,56,223.3,22.3,0.0075,,
0.4455,57,223.4,22.3,0.0070,,
0.4535,58,223.6,22.3,0.0065,,
0.4620,59,224.3,22.3,0.0070,,
0.4705,60,224.6,22.3,0.0070,,
0.4780,61,224.6,22.3,0.0070,,
0.4865,62,225.2,22.3,0.0075,,
0.4950,63,225.9,22.3,0.0070,,
0.5035,64,226.6,22.3,0.0070,,
0.5120,65,227.2,22.3,0.0070,,
0.5200,66,227.4,22.3,0.0065,,
0.5280,67,227.8,22.3,0.0075,,
0.5365,68,228.1,22.3,0.0075,,
0.5445,69,228.1,22.3,0.0065,,
0.5530,70,228.4,22.3,0.0070,,
0.5615,71,228.5,22.3,0.0070,,
0.5700,72,228.6,22.3,0.0075,,
0.5775,73,228.7,22.3,0.0070,,
0.5860,74,229.5,22.3,0.0075,,
0.5945,75,230.0,22.3,0.0070,,
0.6030,76,230.3,22.3,0.0070,,
0.6110,77,230.6,22.3,0.0065,,
0.6195,78,230.7,22.3,0.0070,,
0.6270,79,231.3,22.3,0.0070,,
0.6355,80,231.5,22.3,0.0075,,
0.6440,81,231.4,22.3,0.0070,,
0.6525,82,231.4,22.3,0.0070,,
0.6610,83,232.1,22.3,0.0070,,
0.6690,84,232.5,22.3,0.0065,,
0.6770,85,232.9,22.3,0.0075,,
0.6850,86,233.2,22.3,0.0075,,
0.6935,87,233.1,22.3,0.0075,,
0.7020,88,233.4,22.3,0.0070,,
0.7105,89,233.0,22.3,0.0070,,
0.7190,90,233.1,22.3,0.0070,,
0.7265,91,233.2,22.3,0.0070,,
0.7350,92,233.5,22.3,0.0075,,
0.7435,93,233.7,22.3,0.0070,,
0.7520,94,233.9,22.3,0.0070,,
0.7600,95,234.3,22.3,0.0065,,
0.7685,96,234.5,22.3,0.0070,,
0.7760,97,234.7,22.3,0.0070,,
0.7845,98,234.9,22.3,0.0075,,
0.7930,99,235.2,22.3,0.0075,,
0.8015,100,235.5,22.3,0.0070,,
0.8095,101,235.5,22.3,0.0065,,
0.8180,102,235.8,22.3,0.0070,,
0.8255,103,235.9,22.3,0.0070,,
0.8340,104,236.4,22.3,0.0075,,
0.8425,105,236.6,22.3,0.0075,,
0.8505,106,236.7,22.3,0.0065,,
0.8590,107,236.8,22.3,0.0070,,
0.8675,108,237.1,22.3,0.0070,,
0.8750,109,237.2,22.3,0.0070,,
0.8825,110,237.4,22.3,0.0070,,
0.8835,111,237.7,22.3,0.0010,,
0.8845,112,237.7,22.3,0.0010,,
0.8860,113,238.1,22.3,0.0010,,
0.8880,114,238.1,22.3,0.0015,,
0.8890,115,238.2,22.3,0.0010,,
0.8910,116,238.1,22.3,0.0020,,
0.8930,117,238.3,22.3,0.0020,,
0.8960,118,238.0,22.3,0.0025,,
0.8980,119,237.9,22.3,0.0015,,
0.8985,120,238.0,22.3,0.0005,,
0.8990,121,238.0,22.3,0.0005,,
0.9000,122,238.0,22.3,0.0010,,
0.9015,123,238.2,22.3,0.0015,,
0.9040,124,238.8,22.3,0.0020,,
0.9070,125,239.0,22.3,0.0025,,
0.9115,126,239.1,22.3,0.0035,,
0.9145,127,239.0,22.3,0.0025,,
0.9150,128,239.1,22.3,0.0005,,
0.9160,129,239.4,22.3,0.0010,,
0.9175,130,239.5,22.3,0.0010,,
0.9185,131,239.6,22.3,0.0010,,
0.9195,132,239.5,22.3,0.0010,,
0.9200,133,239.6,22.3,0.0005,,
0.9210,134,239.7,22.3,0.0010,,
0.9215,135,239.7,22.3,0.0005,,
0.9220,136,239.7,22.3,0.0005,,
0.9225,137,239.7,22.3,0.0005,,
0.9235,138,239.3,22.3,0.0010,,
0.9240,139,239.3,22.3,0.0005,,
0.9255,140,238.9,22.3,0.0015,,
0.9270,141,238.8,22.3,0.0015,,
0.9280,142,238.7,22.3,0.0010,,
0.9285,143,238.8,22.3,0.0005,,
0.9295,144,238.8,22.3,0.0010,,
0.9305,145,239.4,22.3,0.0010,,
0.9310,146,239.9,22.3,0.0005,,
0.9320,147,239.8,22.3,0.0010,,
0.9330,148,239.8,22.3,0.0010,,
0.9340,149,239.6,22.3,0.0010,,
0.9345,150,239.0,22.3,0.0005,,
0.9355,151,240.0,22.3,0.0010,,
Scope 1/1, Sample 3/9 (221)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-99.8,22.2,NaN,,
0.0005,1,-103.8,22.1,0.0005,,
0.0020,2,-104.1,22.1,0.0015,,
0.0050,3,-104.4,22.1,0.0025,,
0.0085,4,-104.5,22.1,0.0030,,
0.0150,5,-104.5,22.1,0.0055,,
0.0235,6,-104.0,22.0,0.0070,,
0.0310,7,-103.3,22.0,0.0070,,
0.0395,8,-102.9,22.0,0.0075,,
0.0480,9,-102.5,22.0,0.0075,,
0.0565,10,-102.0,22.0,0.0070,,
0.0645,11,-101.2,22.0,0.0065,,
0.0730,12,-100.7,22.0,0.0070,,
0.0805,13,-100.4,22.0,0.0070,,
0.0890,14,-99.4,22.0,0.0075,,
0.0975,15,-98.3,22.0,0.0075,,
0.1060,16,-97.3,22.0,0.0070,,
0.1145,17,-96.6,22.0,0.0070,,
0.1230,18,-95.9,22.0,0.0070,,
0.1305,19,-95.2,22.0,0.0070,,
0.1390,20,-94.6,22.0,0.0075,,
0.1470,21,-93.4,22.0,0.0075,,
0.1555,22,-92.5,22.0,0.0070,,
0.1640,23,-91.7,22.0,0.0070,,
0.1725,24,-90.8,22.0,0.0070,,
0.1800,25,-90.0,22.0,0.0070,,
0.1885,26,-89.4,22.0,0.0075,,
0.1970,27,-88.2,22.0,0.0075,,
0.2055,28,-87.0,22.0,0.0070,,
0.2135,29,-86.1,22.0,0.0065,,
0.2220,30,-85.6,22.0,0.0070,,
0.2300,31,-84.7,22.0,0.0075,,
0.2380,32,-83.9,22.0,0.0075,,
0.2465,33,-82.7,22.1,0.0070,,
0.2550,34,-81.4,22.0,0.0070,,
0.2635,35,-80.1,22.0,0.0070,,
0.2720,36,-78.8,22.1,0.0070,,
0.2795,37,-77.4,22.0,0.0070,,
0.2880,38,-76.1,22.1,0.0075,,
0.2965,39,-74.8,22.1,0.0070,,
0.3045,40,-73.0,22.1,0.0065,,
0.3130,41,-70.9,22.1,0.0070,,
0.3215,42,-69.7,22.0,0.0075,,
0.3290,43,-68.1,22.1,0.0070,,
0.3375,44,-66.2,22.1,0.0075,,
0.3460,45,-64.1,22.1,0.0070,,
0.3545,46,-62.2,22.1,0.0070,,
0.3630,47,-59.6,22.1,0.0070,,
0.3715,48,-57.8,22.1,0.0075,,
0.3790,49,-55.1,22.1,0.0070,,
0.3875,50,-52.6,22.1,0.0075,,
0.3955,51,-50.1,22.1,0.0065,,
0.4040,52,-47.1,22.1,0.0070,,
0.4125,53,-44.0,22.1,0.0070,,
0.4210,54,-41.0,22.1,0.0070,,
0.4285,55,-37.8,22.1,0.0070,,
0.4370,56,-33.7,22.1,0.0075,,
0.4455,57,-29.4,22.1,0.0070,,
0.4540,58,-25.1,22.1,0.0070,,
0.4620,59,-20.7,22.1,0.0065,,
0.4705,60,-16.3,22.1,0.0070,,
0.4780,61,-13.1,22.1,0.0070,,
0.4865,62,-9.4,22.1,0.0075,,
0.4950,63,-5.9,22.1,0.0075,,
0.5035,64,-3.1,22.1,0.0070,,
0.5120,65,-0.2,22.1,0.0070,,
0.5205,66,1.8,22.1,0.0075,,
0.5280,67,3.4,22.1,0.0070,,
0.5365,68,5.2,22.1,0.0075,,
0.5445,69,6.3,22.1,0.0065,,
0.5530,70,7.9,22.1,0.0070,,
0.5615,71,9.8,22.1,0.0070,,
0.5700,72,10.9,22.1,0.0070,,
0.5775,73,12.1,22.1,0.0070,,
0.5860,74,13.2,22.1,0.0075,,
0.5945,75,14.8,22.1,0.0070,,
0.6030,76,16.0,22.1,0.0070,,
0.6110,77,17.1,22.1,0.0065,,
0.6195,78,17.9,22.1,0.0070,,
0.6270,79,19.0,22.1,0.0070,,
0.6355,80,20.4,22.1,0.0075,,
0.6440,81,21.2,22.1,0.0075,,
0.6525,82,21.8,22.1,0.0070,,
0.6610,83,22.8,22.1,0.0070,,
0.6695,84,24.0,22.1,0.0070,,
0.6770,85,25.2,22.1,0.0070,,
0.6855,86,26.2,22.1,0.0075,,
0.6935,87,26.8,22.1,0.0075,,
0.7020,88,27.9,22.1,0.0070,,
0.7105,89,28.4,22.1,0.0070,,
0.7190,90,29.6,22.1,0.0070,,
0.7265,91,30.9,22.1,0.0070,,
0.7350,92,32.3,22.1,0.0075,,
0.7435,93,33.2,22.1,0.0070,,
0.7520,94,33.8,22.1,0.0070,,
0.7605,95,35.1,22.1,0.0070,,
0.7685,96,35.5,22.1,0.0075,,
0.7765,97,36.5,22.1,0.0075,,
0.7845,98,37.6,22.1,0.0075,,
0.7930,99,38.2,22.1,0.0070,,
0.8015,100,38.8,22.1,0.0070,,
0.8100,101,39.5,22.1,0.0070,,
0.8185,102,40.7,22.1,0.0075,,
0.8260,103,41.2,22.1,0.0070,,
0.8345,104,41.7,22.1,0.0075,,
0.8430,105,42.6,22.1,0.0070,,
0.8515,106,44.2,22.1,0.0070,,
0.8595,107,45.4,22.1,0.0065,,
0.8675,108,45.3,22.1,0.0075,,
0.8755,109,46.3,22.1,0.0075,,
0.8840,110,46.7,22.1,0.0075,,
0.8925,111,47.9,22.1,0.0070,,
0.9010,112,48.9,22.1,0.0070,,
0.9095,113,49.7,22.1,0.0070,,
0.9175,114,50.9,22.1,0.0075,,
0.9255,115,51.8,22.1,0.0075,,
0.9335,116,52.2,22.1,0.0075,,
0.9420,117,53.0,22.1,0.0070,,
0.9505,118,54.1,22.1,0.0070,,
0.9590,119,55.1,22.1,0.0070,,
0.9675,120,56.5,22.1,0.0070,,
0.9750,121,58.0,22.1,0.0070,,
0.9835,122,59.2,22.1,0.0075,,
0.9920,123,60.0,22.1,0.0075,,
1.0000,124,60.9,22.1,0.0065,,
1.0085,125,61.8,22.1,0.0070,,
1.0170,126,62.2,22.1,0.0070,,
1.0245,127,63.1,22.1,0.0070,,
1.0330,128,64.6,22.1,0.0075,,
1.0415,129,65.5,22.1,0.0075,,
1.0500,130,66.5,22.1,0.0070,,
1.0585,131,68.1,22.1,0.0070,,
1.0665,132,68.8,22.1,0.0065,,
1.0745,133,69.8,22.1,0.0075,,
1.0825,134,71.0,22.1,0.0075,,
1.0910,135,71.9,22.1,0.0075,,
1.0995,136,73.1,22.1,0.0070,,
1.1080,137,74.6,22.1,0.0070,,
1.1165,138,76.0,22.1,0.0070,,
1.1240,139,77.5,22.1,0.0070,,
1.1325,140,78.4,22.1,0.0075,,
1.1410,141,79.5,22.1,0.0075,,
1.1490,142,81.6,22.1,0.0065,,
1.1575,143,83.6,22.1,0.0070,,
1.1660,144,85.3,22.1,0.0070,,
1.1735,145,86.1,22.1,0.0070,,
1.1820,146,88.3,22.1,0.0075,,
1.1905,147,89.8,22.1,0.0075,,
1.1990,148,92.3,22.1,0.0070,,
1.2075,149,94.2,22.1,0.0070,,
1.2160,150,97.9,22.1,0.0070,,
1.2235,151,99.9,22.1,0.0070,,
1.2320,152,102.4,22.1,0.0075,,
1.2400,153,105.8,22.1,0.0075,,
1.2485,154,109.0,22.1,0.0070,,
1.2570,155,112.1,22.1,0.0070,,
1.2655,156,115.5,22.1,0.0070,,
1.2730,157,119.2,22.1,0.0070,,
1.2815,158,123.0,22.1,0.0075,,
1.2900,159,127.4,22.1,0.0075,,
1.2980,160,132.1,22.1,0.0065,,
1.3065,161,137.6,22.1,0.0070,,
1.3150,162,143.1,22.1,0.0070,,
1.3225,163,147.2,22.1,0.0070,,
1.3310,164,151.8,22.1,0.0075,,
1.3395,165,156.4,22.1,0.0075,,
1.3480,166,160.3,22.1,0.0070,,
1.3565,167,163.9,22.1,0.0070,,
1.3645,168,167.6,22.1,0.0065,,
1.3725,169,170.1,22.1,0.0075,,
1.3805,170,172.6,22.1,0.0075,,
1.3890,171,175.1,22.1,0.0075,,
1.3975,172,177.3,22.1,0.0070,,
1.4060,173,179.3,22.1,0.0070,,
1.4145,174,181.4,22.1,0.0070,,
1.4220,175,183.1,22.1,0.0070,,
1.4280,176,184.5,22.1,0.0055,,
1.4335,177,185.3,22.1,0.0050,,
1.4370,178,186.0,22.1,0.0030,,
1.4390,179,186.6,22.1,0.0015,,
1.4405,180,187.2,22.1,0.0010,,
1.4410,181,187.5,22.1,0.0005,,
1.4425,182,188.2,22.1,0.0015,,
1.4430,183,188.3,22.1,0.0005,,
1.4435,184,187.9,22.1,0.0005,,
1.4450,185,187.9,22.1,0.0010,,
1.4470,186,188.2,22.1,0.0015,,
1.4485,187,188.3,22.1,0.0015,,
1.4490,188,188.9,22.1,0.0005,,
1.4495,189,188.8,22.1,0.0005,,
1.4500,190,190.0,22.1,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.5,22.3,NaN,,
0.0005,1,189.1,22.3,0.0005,,
0.0020,2,189.1,22.3,0.0015,,
0.0050,3,189.2,22.3,0.0025,,
0.0085,4,189.6,22.3,0.0030,,
0.0150,5,190.7,22.3,0.0055,,
0.0235,6,192.1,22.3,0.0070,,
0.0310,7,193.4,22.3,0.0070,,
0.0395,8,194.0,22.3,0.0075,,
0.0480,9,194.8,22.3,0.0075,,
0.0565,10,196.0,22.3,0.0070,,
0.0645,11,196.9,22.3,0.0065,,
0.0730,12,198.0,22.3,0.0070,,
0.0805,13,198.8,22.3,0.0070,,
0.0890,14,200.4,22.3,0.0075,,
0.0975,15,201.5,22.3,0.0075,,
0.1060,16,202.4,22.3,0.0070,,
0.1145,17,202.8,22.3,0.0070,,
0.1230,18,203.6,22.3,0.0070,,
0.1305,19,204.1,22.3,0.0070,,
0.1390,20,204.9,22.3,0.0075,,
0.1470,21,205.3,22.3,0.0075,,
0.1555,22,206.2,22.3,0.0070,,
0.1640,23,207.0,22.3,0.0070,,
0.1725,24,207.6,22.3,0.0070,,
0.1800,25,208.1,22.3,0.0070,,
0.1885,26,209.3,22.3,0.0075,,
0.1970,27,209.9,22.3,0.0075,,
0.2050,28,210.6,22.3,0.0065,,
0.2135,29,210.7,22.3,0.0070,,
0.2220,30,211.1,22.3,0.0070,,
0.2295,31,211.9,22.3,0.0070,,
0.2380,32,213.0,22.3,0.0075,,
0.2465,33,213.7,22.3,0.0075,,
0.2550,34,213.9,22.3,0.0070,,
0.2635,35,214.7,22.3,0.0070,,
0.2720,36,215.5,22.3,0.0070,,
0.2795,37,215.7,22.3,0.0070,,
0.2880,38,216.3,22.3,0.0075,,
0.2960,39,217.1,22.3,0.0075,,
0.3045,40,217.6,22.3,0.0070,,
0.3130,41,217.7,22.3,0.0070,,
0.3215,42,218.5,22.3,0.0070,,
0.3290,43,219.0,22.3,0.0070,,
0.3375,44,219.5,22.3,0.0075,,
0.3460,45,219.8,22.3,0.0075,,
0.3545,46,220.2,22.3,0.0070,,
0.3625,47,220.7,22.3,0.0065,,
0.3710,48,221.2,22.3,0.0070,,
0.3785,49,221.5,22.3,0.0070,,
0.3870,50,221.9,22.3,0.0075,,
0.3955,51,222.2,22.3,0.0075,,
0.4040,52,222.4,22.3,0.0070,,
0.4125,53,222.9,22.3,0.0070,,
0.4210,54,223.3,22.3,0.0070,,
0.4290,55,223.3,22.3,0.0075,,
0.4370,56,224.0,22.3,0.0075,,
0.4450,57,224.5,22.3,0.0075,,
0.4535,58,225.0,22.3,0.0070,,
0.4620,59,225.3,22.3,0.0070,,
0.4705,60,225.6,22.3,0.0070,,
0.4790,61,225.5,22.3,0.0075,,
0.4865,62,225.8,22.3,0.0070,,
0.4950,63,226.4,22.3,0.0075,,
0.5035,64,226.9,22.3,0.0070,,
0.5115,65,227.1,22.3,0.0065,,
0.5200,66,227.6,22.3,0.0070,,
0.5285,67,227.7,22.3,0.0075,,
0.5360,68,228.1,22.3,0.0070,,
0.5445,69,228.6,22.3,0.0075,,
0.5530,70,228.8,22.3,0.0070,,
0.5615,71,229.1,22.3,0.0070,,
0.5700,72,229.4,22.3,0.0070,,
0.5780,73,229.8,22.3,0.0065,,
0.5860,74,230.0,22.3,0.0075,,
0.5940,75,230.0,22.3,0.0075,,
0.6025,76,230.3,22.3,0.0070,,
0.6110,77,230.4,22.3,0.0070,,
0.6195,78,230.3,22.3,0.0070,,
0.6280,79,230.7,22.3,0.0075,,
0.6355,80,230.9,22.3,0.0070,,
0.6440,81,231.3,22.3,0.0075,,
0.6525,82,231.4,22.3,0.0070,,
0.6605,83,231.7,22.3,0.0065,,
0.6690,84,232.3,22.3,0.0070,,
0.6775,85,232.1,22.3,0.0070,,
0.6850,86,233.0,22.3,0.0070,,
0.6935,87,233.0,22.3,0.0075,,
0.7020,88,232.8,22.3,0.0075,,
0.7105,89,232.9,22.3,0.0070,,
0.7190,90,233.7,22.3,0.0070,,
0.7270,91,233.4,22.3,0.0065,,
0.7350,92,233.5,22.3,0.0075,,
0.7435,93,233.9,22.3,0.0075,,
0.7515,94,234.1,22.3,0.0065,,
0.7600,95,234.3,22.3,0.0070,,
0.7685,96,234.5,22.3,0.0070,,
0.7770,97,235.0,22.3,0.0070,,
0.7845,98,235.5,22.3,0.0070,,
0.7930,99,235.6,22.3,0.0075,,
0.8010,100,235.4,22.3,0.0065,,
0.8095,101,235.7,22.3,0.0070,,
0.8180,102,236.1,22.3,0.0070,,
0.8265,103,236.0,22.3,0.0070,,
0.8340,104,236.4,22.3,0.0070,,
0.8420,105,236.5,22.3,0.0075,,
0.8505,106,236.7,22.3,0.0075,,
0.8590,107,236.9,22.3,0.0070,,
0.8670,108,237.5,22.3,0.0065,,
0.8755,109,237.9,22.3,0.0070,,
0.8830,110,237.9,22.3,0.0070,,
0.8915,111,238.3,22.3,0.0075,,
0.8965,112,238.5,22.3,0.0040,,
0.8975,113,238.8,22.3,0.0010,,
0.8985,114,239.1,22.3,0.0010,,
0.9005,115,239.1,22.3,0.0020,,
0.9020,116,239.0,22.3,0.0015,,
0.9030,117,238.9,22.3,0.0010,,
0.9040,118,239.2,22.3,0.0010,,
0.9050,119,238.9,22.3,0.0010,,
0.9055,120,239.0,22.3,0.0005,,
0.9065,121,239.1,22.3,0.0010,,
0.9070,122,238.7,22.3,0.0005,,
