Raw Data
Scope 1/1, Sample 1/9 (165)
Method Function,Sample (S1)
0.2210,30,-88.1,21.4,0.0070,,
0.2295,31,-87.0,21.4,0.0075,,
0.2380,32,-85.5,21.4,0.0075,,
0.2460,33,-84.5,21.4,0.0065,,
0.2545,34,-83.6,21.4,0.0070,,
0.2630,35,-82.3,21.4,0.0070,,
0.2705,36,-80.7,21.4,0.0070,,
0.2790,37,-79.6,21.4,0.0075,,
0.2875,38,-78.4,21.4,0.0075,,
0.2960,39,-77.5,21.4,0.0070,,
0.3045,40,-76.0,21.4,0.0070,,
0.3125,41,-74.6,21.4,0.0065,,
0.3205,42,-73.3,21.4,0.0075,,
0.3285,43,-72.0,21.4,0.0075,,
0.3370,44,-70.5,21.4,0.0070,,
0.3455,45,-68.9,21.4,0.0070,,
0.3540,46,-67.2,21.4,0.0070,,
0.3625,47,-65.5,21.4,0.0070,,
0.3700,48,-64.2,21.4,0.0070,,
0.3785,49,-62.6,21.4,0.0075,,
0.3870,50,-60.9,21.4,0.0075,,
0.3950,51,-59.0,21.4,0.0065,,
0.4035,52,-57.0,21.4,0.0070,,
0.4120,53,-54.7,21.4,0.0070,,
0.4195,54,-52.5,21.4,0.0070,,
0.4280,55,-49.8,21.4,0.0075,,
0.4365,56,-46.9,21.4,0.0070,,
0.4450,57,-44.1,21.4,0.0070,,
0.4535,58,-40.9,21.4,0.0070,,
0.4615,59,-37.3,21.4,0.0065,,
0.4695,60,-33.7,21.4,0.0075,,
0.4775,61,-29.8,21.4,0.0075,,
0.4860,62,-25.2,21.4,0.0075,,
0.4945,63,-21.0,21.4,0.0070,,
0.5030,64,-16.6,21.4,0.0070,,
0.5115,65,-12.7,21.4,0.0070,,
0.5190,66,-9.3,21.4,0.0070,,
0.5275,67,-6.0,21.4,0.0075,,
0.5360,68,-2.7,21.4,0.0075,,
0.5445,69,0.3,21.4,0.0070,,
0.5525,70,1.9,21.4,0.0065,,
0.5610,71,3.5,21.4,0.0070,,
0.5685,72,5.1,21.4,0.0070,,
0.5770,73,6.7,21.4,0.0075,,
0.5855,74,8.2,21.4,0.0075,,
0.5940,75,10.3,21.4,0.0070,,
0.6025,76,11.7,21.4,0.0070,,
0.6110,77,12.5,21.4,0.0070,,
0.6185,78,14.0,21.4,0.0070,,
0.6270,79,14.7,21.4,0.0075,,
0.6355,80,15.6,21.4,0.0070,,
0.6435,81,16.7,21.5,0.0065,,
0.6520,82,18.2,21.4,0.0070,,
0.6605,83,19.6,21.5,0.0070,,
0.6680,84,20.5,21.5,0.0070,,
0.6765,85,21.3,21.5,0.0075,,
0.6850,86,21.9,21.5,0.0075,,
0.6935,87,23.2,21.5,0.0070,,
0.7015,88,24.6,21.5,0.0065,,
0.7100,89,25.9,21.5,0.0070,,
0.7180,90,26.7,21.5,0.0075,,
0.7260,91,27.5,21.5,0.0075,,
0.7345,92,27.9,21.5,0.0075,,
0.7430,93,29.1,21.5,0.0070,,
0.7515,94,30.2,21.5,0.0070,,
0.7600,95,31.0,21.5,0.0070,,
0.7675,96,31.8,21.5,0.0070,,
0.7760,97,32.8,21.5,0.0075,,
0.7845,98,33.6,21.5,0.0070,,
0.7925,99,34.5,21.5,0.0065,,
0.8010,100,35.3,21.5,0.0070,,
0.8095,101,36.0,21.5,0.0075,,
0.8170,102,36.6,21.5,0.0070,,
0.8255,103,37.3,21.5,0.0075,,
0.8340,104,38.0,21.5,0.0070,,
0.8425,105,39.1,21.5,0.0070,,
0.8510,106,40.0,21.5,0.0070,,
0.8590,107,41.0,21.5,0.0065,,
0.8670,108,41.1,21.5,0.0075,,
0.8750,109,41.7,21.5,0.0075,,
0.8835,110,42.7,21.5,0.0075,,
0.8920,111,43.6,21.5,0.0070,,
0.9005,112,44.3,21.5,0.0070,,
0.9090,113,45.4,21.5,0.0070,,
0.9165,114,46.2,21.5,0.0070,,
0.9250,115,46.7,21.5,0.0075,,
0.9335,116,47.8,21.5,0.0075,,
0.9415,117,49.1,21.5,0.0065,,
0.9500,118,50.4,21.5,0.0070,,
0.9585,119,51.4,21.5,0.0070,,
0.9660,120,52.1,21.5,0.0070,,
0.9745,121,53.1,21.5,0.0075,,
0.9830,122,54.1,21.5,0.0075,,
0.9915,123,54.9,21.5,0.0070,,
1.0000,124,55.6,21.5,0.0070,,
1.0080,125,56.4,21.5,0.0065,,
1.0160,126,57.2,21.5,0.0075,,
1.0240,127,58.2,21.5,0.0075,,
1.0325,128,59.2,21.5,0.0075,,
1.0410,129,60.2,21.5,0.0070,,
1.0495,130,61.0,21.5,0.0070,,
1.0580,131,62.1,21.5,0.0070,,
1.0655,132,62.5,21.5,0.0070,,
1.0740,133,63.1,21.5,0.0075,,
1.0825,134,64.2,21.5,0.0075,,
1.0905,135,65.2,21.5,0.0065,,
1.0990,136,66.9,21.5,0.0070,,
1.1075,137,67.9,21.5,0.0070,,
1.1150,138,69.0,21.5,0.0070,,
1.1235,139,70.2,21.5,0.0075,,
1.1320,140,71.5,21.5,0.0075,,
1.1405,141,72.6,21.5,0.0070,,
1.1490,142,73.6,21.5,0.0070,,
1.1575,143,74.9,21.5,0.0070,,
1.1650,144,76.1,21.5,0.0070,,
1.1735,145,77.9,21.5,0.0075,,
1.1815,146,79.3,21.5,0.0075,,
1.1900,147,80.7,21.5,0.0070,,
1.1985,148,82.3,21.5,0.0070,,
1.2070,149,83.2,21.5,0.0070,,
1.2145,150,84.5,21.5,0.0070,,
1.2230,151,86.5,21.5,0.0075,,
1.2315,152,88.7,21.5,0.0070,,
1.2400,153,90.9,21.5,0.0070,,
1.2480,154,93.1,21.5,0.0065,,
1.2565,155,95.5,21.5,0.0070,,
1.2640,156,97.7,21.5,0.0070,,
1.2725,157,100.2,21.5,0.0075,,
1.2810,158,102.8,21.5,0.0070,,
1.2895,159,105.5,21.5,0.0070,,
1.2980,160,108.5,21.5,0.0070,,
1.3065,161,110.6,21.5,0.0070,,
1.3140,162,113.8,21.5,0.0070,,
1.3225,163,117.7,21.5,0.0075,,
1.3310,164,122.1,21.5,0.0070,,
1.3390,165,126.8,21.5,0.0065,,
1.3475,166,131.3,21.5,0.0070,,
1.3560,167,134.9,21.5,0.0070,,
1.3635,168,139.5,21.5,0.0070,,
1.3720,169,144.5,21.5,0.0075,,
1.3805,170,149.3,21.5,0.0075,,
1.3890,171,154.1,21.5,0.0070,,
1.3975,172,157.8,21.5,0.0070,,
1.4055,173,161.7,21.5,0.0065,,
1.4135,174,164.9,21.5,0.0075,,
1.4215,175,167.6,21.5,0.0075,,
1.4300,176,170.2,21.5,0.0070,,
1.4385,177,173.2,21.5,0.0070,,
1.4470,178,175.8,21.5,0.0070,,
1.4555,179,177.9,21.5,0.0070,,
1.4630,180,179.3,21.5,0.0070,,
1.4715,181,180.6,21.5,0.0075,,
1.4790,182,182.7,21.5,0.0070,,
1.4845,183,184.3,21.5,0.0045,,
1.4885,184,185.8,21.5,0.0035,,
1.4930,185,186.6,21.5,0.0040,,
1.4965,186,187.2,21.5,0.0030,,
1.4995,187,188.1,21.5,0.0025,,
1.5010,188,188.7,21.5,0.0010,,
1.5015,189,188.8,21.5,0.0005,,
1.5020,190,189.1,21.5,0.0005,,
1.5025,191,189.1,21.5,0.0005,,
1.5035,192,189.3,21.5,0.0010,,
1.5045,193,189.4,21.5,0.0010,,
1.5050,194,189.2,21.5,0.0005,,
1.5060,195,189.1,21.5,0.0010,,
1.5060,196,189.2,21.5,0.0000,,
1.5070,197,190.0,21.5,0.0015,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,21.8,NaN,,
0.0005,1,189.3,21.8,0.0005,,
0.0020,2,189.5,21.8,0.0015,,
0.0050,3,190.2,21.8,0.0025,,
0.0085,4,190.2,21.8,0.0030,,
0.0145,5,190.3,21.8,0.0050,,
0.0230,6,191.3,21.8,0.0070,,
0.0305,7,192.3,21.8,0.0070,,
0.0390,8,193.6,21.8,0.0075,,
0.0475,9,194.8,21.8,0.0075,,
0.0560,10,196.3,21.8,0.0070,,
0.0645,11,197.7,21.8,0.0070,,
0.0725,12,198.1,21.8,0.0065,,
0.0800,13,198.5,21.8,0.0070,,
0.0885,14,199.9,21.8,0.0075,,
0.0970,15,200.4,21.8,0.0075,,
0.1055,16,201.2,21.8,0.0070,,
0.1140,17,202.3,21.8,0.0070,,
0.1225,18,203.0,21.8,0.0070,,
0.1300,19,203.6,21.8,0.0070,,
0.1385,20,204.4,21.8,0.0075,,
0.1470,21,205.2,21.8,0.0075,,
0.1550,22,205.9,21.8,0.0065,,
0.1635,23,206.6,21.8,0.0070,,
0.1720,24,207.3,21.8,0.0070,,
0.1795,25,208.2,21.8,0.0070,,
0.1880,26,208.9,21.8,0.0075,,
0.1965,27,209.3,21.8,0.0075,,
0.2050,28,209.9,21.8,0.0070,,
0.2135,29,210.8,21.8,0.0070,,
0.2215,30,212.1,21.8,0.0065,,
0.2295,31,212.7,21.8,0.0075,,
0.2375,32,213.3,21.8,0.0075,,
0.2460,33,213.7,21.8,0.0075,,
0.2545,34,214.0,21.8,0.0070,,
0.2630,35,214.6,21.8,0.0070,,
0.2715,36,215.2,21.8,0.0070,,
0.2790,37,215.9,21.8,0.0070,,
0.2875,38,216.4,21.8,0.0075,,
0.2960,39,216.9,21.8,0.0075,,
0.3040,40,217.4,21.8,0.0065,,
0.3125,41,217.8,21.8,0.0070,,
0.3210,42,218.3,21.8,0.0070,,
0.3285,43,218.7,21.8,0.0070,,
0.3370,44,219.3,21.8,0.0075,,
0.3455,45,219.5,21.8,0.0070,,
0.3540,46,220.1,21.8,0.0070,,
0.3625,47,220.4,21.8,0.0070,,
0.3705,48,220.7,21.8,0.0065,,
0.3785,49,220.4,21.8,0.0075,,
0.3865,50,220.7,21.8,0.0075,,
0.3950,51,221.0,21.8,0.0075,,
0.4035,52,221.6,21.8,0.0070,,
0.4120,53,222.2,21.8,0.0070,,
0.4205,54,222.8,21.8,0.0070,,
0.4280,55,223.0,21.8,0.0070,,
0.4365,56,223.0,21.8,0.0075,,
0.4450,57,223.4,21.8,0.0075,,
0.4535,58,223.7,21.8,0.0070,,
0.4615,59,224.3,21.8,0.0065,,
0.4700,60,224.7,21.8,0.0070,,
0.4775,61,224.9,21.8,0.0070,,
0.4860,62,225.4,21.8,0.0075,,
0.4945,63,225.4,21.8,0.0070,,
0.5030,64,225.7,21.8,0.0070,,
0.5115,65,226.5,21.8,0.0070,,
0.5195,66,227.3,21.8,0.0065,,
0.5275,67,227.7,21.8,0.0075,,
0.5355,68,228.0,21.8,0.0075,,
0.5440,69,228.2,21.8,0.0075,,
0.5525,70,228.5,21.8,0.0070,,
0.5610,71,228.8,21.8,0.0070,,
0.5695,72,229.2,21.8,0.0070,,
0.5770,73,229.1,21.8,0.0070,,
0.5855,74,229.2,21.8,0.0075,,
0.5940,75,229.3,21.8,0.0075,,
0.6020,76,229.8,21.8,0.0065,,
0.6105,77,229.7,21.8,0.0070,,
0.6190,78,229.9,21.8,0.0070,,
0.6275,79,230.2,21.8,0.0075,,
0.6350,80,230.8,21.8,0.0070,,
0.6435,81,231.2,21.8,0.0075,,
0.6520,82,231.2,21.8,0.0070,,
0.6605,83,231.7,21.8,0.0070,,
0.6690,84,232.1,21.8,0.0070,,
0.6765,85,232.0,21.8,0.0070,,
0.6850,86,232.1,21.8,0.0075,,
0.6930,87,232.8,21.8,0.0075,,
0.7015,88,232.8,21.8,0.0070,,
0.7100,89,232.7,21.8,0.0070,,
0.7185,90,233.0,21.8,0.0070,,
0.7260,91,233.2,21.8,0.0070,,
0.7345,92,233.4,21.8,0.0075,,
0.7430,93,233.6,21.8,0.0075,,
0.7515,94,234.0,21.8,0.0070,,
0.7595,95,234.2,21.8,0.0065,,
0.7680,96,234.5,21.8,0.0070,,
0.7760,97,234.8,21.8,0.0075,,
0.7840,98,234.8,21.8,0.0075,,
0.7925,99,235.0,21.8,0.0075,,
0.8010,100,235.2,21.8,0.0070,,
0.8095,101,235.4,21.8,0.0070,,
0.8180,102,235.6,21.8,0.0070,,
0.8255,103,235.9,21.8,0.0070,,
0.8340,104,236.1,21.8,0.0075,,
0.8420,105,236.3,21.8,0.0065,,
0.8505,106,236.5,21.8,0.0070,,
0.8590,107,236.8,21.8,0.0070,,
0.8670,108,237.0,21.8,0.0065,,
0.8735,109,237.7,21.8,0.0060,,
0.8820,110,238.1,21.8,0.0075,,
0.8835,111,238.2,21.8,0.0015,,
0.8840,112,238.2,21.8,0.0005,,
0.8855,113,238.2,21.8,0.0010,,
0.8870,114,238.0,21.8,0.0010,,
0.8890,115,238.7,21.8,0.0020,,
0.8905,116,238.8,21.8,0.0015,,
0.8910,117,238.6,21.8,0.0005,,
0.8925,118,238.0,21.8,0.0010,,
0.8945,119,237.8,21.8,0.0015,,
0.8970,120,238.5,21.8,0.0025,,
0.8980,121,238.6,21.8,0.0010,,
0.8985,122,238.8,21.8,0.0005,,
0.8990,123,239.0,21.8,0.0005,,
0.8995,124,239.0,21.8,0.0005,,
0.9000,125,239.1,21.8,0.0005,,
0.9005,126,239.1,21.8,0.0005,,
0.9015,127,239.0,21.8,0.0010,,
0.9030,128,239.0,21.8,0.0015,,
0.9040,129,239.1,21.8,0.0010,,
0.9050,130,239.0,21.8,0.0010,,
0.9060,131,239.2,21.8,0.0010,,
0.9065,132,239.1,21.8,0.0005,,
0.9075,133,238.4,21.8,0.0010,,
0.9085,134,238.2,21.8,0.0010,,
0.9085,135,238.2,21.8,0.0000,,
0.9090,136,238.1,21.8,0.0005,,
0.9095,137,238.4,21.8,0.0005,,
0.9100,138,238.4,21.8,0.0005,,
0.9105,139,238.7,21.8,0.0005,,
0.9115,140,239.0,21.8,0.0010,,
0.9120,141,239.0,21.8,0.0005,,
0.9125,142,239.3,21.8,0.0005,,
0.9130,143,239.4,21.8,0.0005,,
0.9140,144,239.2,21.8,0.0010,,
0.9150,145,238.9,21.8,0.0010,,
0.9160,146,238.4,21.8,0.0010,,
0.9165,147,238.3,21.8,0.0005,,
0.9175,148,238.4,21.8,0.0010,,
0.9185,149,238.5,21.8,0.0010,,
0.9190,150,238.4,21.8,0.0005,,
0.9195,151,238.5,21.8,0.0005,,
0.9200,152,238.9,21.8,0.0005,,
0.9205,153,238.7,21.8,0.0005,,
0.9215,154,238.4,21.8,0.0010,,
0.9215,155,238.4,21.8,0.0000,,
0.9235,156,238.5,21.8,0.0015,,
0.9245,157,238.5,21.8,0.0010,,
0.9250,158,239.0,21.8,0.0005,,
0.9255,159,239.5,21.8,0.0005,,
0.9260,160,239.6,21.8,0.0005,,
0.9270,161,239.5,21.8,0.0010,,
0.9275,162,239.5,21.8,0.0005,,
0.9280,163,239.3,21.8,0.0005,,
0.9285,164,239.4,21.8,0.0005,,
0.9300,165,238.9,21.8,0.0015,,
0.9315,166,238.7,21.8,0.0010,,
0.9315,167,239.0,21.8,0.0000,,
0.9330,168,239.5,21.8,0.0010,,
0.9335,169,239.8,21.8,0.0005,,
0.9345,170,239.9,21.8,0.0010,,
0.9355,171,239.8,21.8,0.0010,,
0.9360,172,239.9,21.8,0.0005,,
0.9370,173,239.9,21.8,0.0010,,
0.9380,174,240.0,21.8,0.0010,,
Scope 1/1, Sample 3/9 (204)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-93.9,21.5,NaN,,
0.0005,1,-97.3,21.4,0.0005,,
0.0020,2,-97.7,21.4,0.0015,,
0.0050,3,-98.1,21.4,0.0025,,
0.0085,4,-98.1,21.4,0.0030,,
0.0150,5,-98.4,21.4,0.0055,,
0.0235,6,-98.2,21.4,0.0075,,
0.0310,7,-98.1,21.4,0.0070,,
0.0395,8,-97.5,21.4,0.0075,,
0.0480,9,-97.1,21.4,0.0070,,
0.0565,10,-96.7,21.4,0.0070,,
0.0645,11,-96.2,21.4,0.0065,,
0.0730,12,-95.8,21.4,0.0075,,
0.0805,13,-95.3,21.4,0.0070,,
0.0890,14,-94.7,21.4,0.0075,,
0.0975,15,-94.2,21.4,0.0070,,
0.1060,16,-94.1,21.4,0.0070,,
0.1145,17,-93.1,21.4,0.0070,,
0.1230,18,-92.0,21.4,0.0075,,
0.1305,19,-91.5,21.4,0.0070,,
0.1390,20,-90.9,21.4,0.0075,,
0.1470,21,-90.1,21.4,0.0065,,
0.1555,22,-88.9,21.4,0.0070,,
0.1640,23,-88.2,21.4,0.0070,,
0.1725,24,-87.6,21.4,0.0075,,
0.1800,25,-86.6,21.4,0.0070,,
0.1885,26,-85.8,21.4,0.0075,,
0.1970,27,-84.7,21.4,0.0070,,
0.2055,28,-83.8,21.4,0.0070,,
0.2135,29,-83.0,21.4,0.0065,,
0.2220,30,-82.4,21.4,0.0075,,
0.2295,31,-81.8,21.4,0.0070,,
0.2380,32,-80.7,21.4,0.0075,,
0.2465,33,-79.6,21.4,0.0075,,
0.2550,34,-78.6,21.4,0.0070,,
0.2635,35,-77.4,21.4,0.0070,,
0.2720,36,-76.3,21.4,0.0070,,
0.2795,37,-75.1,21.4,0.0070,,
0.2880,38,-73.9,21.4,0.0075,,
0.2960,39,-72.5,21.4,0.0075,,
0.3045,40,-71.2,21.4,0.0070,,
0.3130,41,-69.7,21.4,0.0070,,
0.3215,42,-68.2,21.4,0.0070,,
0.3290,43,-66.5,21.4,0.0070,,
0.3375,44,-64.6,21.4,0.0075,,
0.3460,45,-63.1,21.4,0.0075,,
0.3545,46,-60.8,21.4,0.0070,,
0.3625,47,-58.9,21.4,0.0065,,
0.3710,48,-57.0,21.4,0.0070,,
0.3785,49,-54.9,21.4,0.0070,,
0.3870,50,-53.1,21.4,0.0075,,
0.3955,51,-50.6,21.4,0.0075,,
0.4040,52,-47.5,21.4,0.0070,,
0.4125,53,-44.9,21.4,0.0070,,
0.4210,54,-42.1,21.4,0.0070,,
0.4285,55,-39.6,21.4,0.0070,,
0.4370,56,-35.9,21.4,0.0075,,
0.4455,57,-32.6,21.4,0.0070,,
0.4535,58,-29.1,21.4,0.0065,,
0.4620,59,-25.8,21.4,0.0070,,
0.4705,60,-21.5,21.4,0.0075,,
0.4780,61,-17.3,21.4,0.0070,,
0.4865,62,-12.9,21.4,0.0075,,
0.4950,63,-9.6,21.4,0.0070,,
0.5035,64,-6.1,21.4,0.0070,,
0.5120,65,-3.2,21.4,0.0070,,
0.5200,66,0.2,21.4,0.0065,,
0.5280,67,1.3,21.4,0.0075,,
0.5360,68,3.1,21.4,0.0075,,
0.5445,69,4.9,21.4,0.0075,,
0.5530,70,6.4,21.4,0.0070,,
0.5615,71,7.9,21.4,0.0070,,
0.5700,72,9.3,21.4,0.0070,,
0.5775,73,10.7,21.4,0.0070,,
0.5860,74,11.7,21.4,0.0075,,
0.5945,75,12.7,21.4,0.0070,,
0.6025,76,14.3,21.4,0.0065,,
0.6110,77,15.3,21.4,0.0070,,
0.6195,78,16.0,21.4,0.0070,,
0.6270,79,16.5,21.4,0.0070,,
0.6355,80,17.2,21.4,0.0075,,
0.6440,81,18.3,21.4,0.0075,,
0.6525,82,19.2,21.4,0.0070,,
0.6610,83,20.6,21.4,0.0070,,
0.6690,84,21.9,21.4,0.0065,,
0.6770,85,22.5,21.4,0.0075,,
0.6850,86,23.4,21.4,0.0075,,
0.6935,87,24.3,21.4,0.0070,,
0.7020,88,25.0,21.4,0.0070,,
0.7105,89,25.6,21.4,0.0070,,
0.7190,90,26.2,21.4,0.0070,,
0.7265,91,27.3,21.4,0.0070,,
0.7350,92,28.3,21.4,0.0075,,
0.7435,93,29.3,21.4,0.0075,,
0.7515,94,29.9,21.4,0.0065,,
0.7600,95,30.9,21.4,0.0070,,
0.7685,96,32.1,21.4,0.0070,,
0.7760,97,32.9,21.4,0.0070,,
0.7845,98,33.7,21.4,0.0075,,
0.7930,99,34.2,21.4,0.0075,,
0.8015,100,35.3,21.4,0.0070,,
0.8100,101,36.1,21.4,0.0070,,
0.8180,102,36.9,21.4,0.0065,,
0.8260,103,37.6,21.4,0.0075,,
0.8340,104,38.2,21.4,0.0075,,
0.8425,105,38.3,21.4,0.0075,,
0.8510,106,39.6,21.4,0.0070,,
0.8595,107,40.7,21.4,0.0070,,
0.8680,108,41.4,21.4,0.0070,,
0.8755,109,42.2,21.4,0.0070,,
0.8840,110,42.6,21.4,0.0075,,
0.8925,111,43.3,21.4,0.0075,,
0.9005,112,44.5,21.4,0.0065,,
0.9090,113,45.4,21.4,0.0070,,
0.9175,114,46.1,21.4,0.0070,,
0.9250,115,46.8,21.4,0.0070,,
0.9335,116,47.4,21.4,0.0075,,
0.9420,117,48.4,21.4,0.0075,,
0.9505,118,49.3,21.4,0.0070,,
0.9590,119,49.8,21.4,0.0070,,
0.9675,120,50.4,21.4,0.0070,,
0.9750,121,50.8,21.4,0.0070,,
0.9835,122,51.7,21.4,0.0075,,
0.9915,123,52.2,21.4,0.0075,,
1.0000,124,53.2,21.4,0.0070,,
1.0085,125,53.8,21.4,0.0070,,
1.0170,126,54.6,21.4,0.0070,,
1.0245,127,55.8,21.4,0.0070,,
1.0330,128,56.6,21.4,0.0075,,
1.0415,129,57.8,21.4,0.0075,,
1.0500,130,58.4,21.4,0.0070,,
1.0585,131,58.9,21.4,0.0070,,
1.0665,132,60.4,21.4,0.0065,,
1.0740,133,61.3,21.5,0.0070,,
1.0825,134,62.0,21.5,0.0075,,
1.0910,135,63.2,21.5,0.0075,,
1.0995,136,64.2,21.5,0.0070,,
1.1080,137,65.1,21.5,0.0070,,
1.1165,138,65.8,21.5,0.0070,,
1.1240,139,66.2,21.5,0.0070,,
1.1325,140,67.2,21.5,0.0075,,
1.1405,141,68.2,21.5,0.0075,,
1.1490,142,69.4,21.5,0.0070,,
1.1575,143,70.9,21.5,0.0070,,
1.1660,144,72.0,21.5,0.0070,,
1.1735,145,72.5,21.5,0.0070,,
1.1820,146,73.4,21.5,0.0075,,
1.1905,147,74.8,21.5,0.0075,,
1.1990,148,76.0,21.5,0.0070,,
1.2070,149,77.1,21.5,0.0065,,
1.2155,150,78.2,21.5,0.0070,,
1.2230,151,79.4,21.5,0.0070,,
1.2315,152,81.3,21.5,0.0075,,
1.2400,153,83.1,21.5,0.0075,,
1.2485,154,84.6,21.5,0.0070,,
1.2570,155,86.0,21.5,0.0070,,
1.2655,156,87.8,21.5,0.0070,,
1.2730,157,89.3,21.5,0.0070,,
1.2815,158,91.0,21.5,0.0075,,
1.2900,159,92.8,21.5,0.0075,,
1.2980,160,94.9,21.5,0.0065,,
1.3065,161,97.8,21.5,0.0070,,
1.3150,162,100.3,21.5,0.0070,,
1.3225,163,102.6,21.5,0.0070,,
1.3310,164,105.9,21.5,0.0075,,
1.3395,165,109.0,21.5,0.0075,,
1.3480,166,112.2,21.5,0.0070,,
1.3565,167,115.2,21.5,0.0070,,
1.3645,168,118.6,21.5,0.0065,,
1.3725,169,122.7,21.5,0.0075,,
1.3805,170,126.2,21.5,0.0075,,
1.3890,171,130.8,21.5,0.0075,,
1.3975,172,135.1,21.5,0.0070,,
1.4060,173,139.5,21.5,0.0070,,
1.4145,174,144.2,21.5,0.0070,,
1.4225,175,148.0,21.5,0.0075,,
1.4305,176,152.6,21.5,0.0075,,
1.4390,177,157.1,21.5,0.0075,,
1.4470,178,161.5,21.5,0.0065,,
1.4555,179,164.7,21.5,0.0070,,
1.4640,180,168.0,21.5,0.0070,,
1.4715,181,170.3,21.5,0.0070,,
1.4800,182,173.0,21.5,0.0075,,
1.4885,183,175.3,21.5,0.0075,,
1.4970,184,177.5,21.5,0.0070,,
1.5055,185,179.7,21.5,0.0070,,
1.5135,186,181.6,21.5,0.0065,,
1.5215,187,183.3,21.5,0.0075,,
1.5280,188,184.8,21.5,0.0060,,
1.5330,189,186.1,21.5,0.0045,,
1.5350,190,187.0,21.5,0.0015,,
1.5360,191,187.5,21.5,0.0010,,
1.5370,192,187.6,21.5,0.0010,,
1.5380,193,187.4,21.5,0.0010,,
1.5395,194,187.3,21.5,0.0015,,
1.5400,195,187.9,21.5,0.0005,,
1.5415,196,187.9,21.5,0.0010,,
1.5430,197,188.4,21.5,0.0010,,
1.5440,198,188.3,21.5,0.0010,,
1.5445,199,188.1,21.5,0.0005,,
1.5450,200,188.3,21.5,0.0005,,
1.5455,201,188.5,21.5,0.0005,,
1.5460,202,188.5,21.5,0.0005,,
1.5465,203,188.6,21.5,0.0005,,
1.5470,204,188.7,21.5,0.0005,,
1.5480,205,188.8,21.5,0.0010,,
1.5485,206,190.0,21.5,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.0,21.8,NaN,,
0.0005,1,190.0,21.8,0.0005,,
0.0020,2,189.9,21.8,0.0015,,
0.0050,3,189.9,21.8,0.0025,,
0.0085,4,189.8,21.8,0.0030,,
0.0150,5,190.3,21.8,0.0055,,
0.0235,6,191.4,21.8,0.0070,,
0.0310,7,193.0,21.8,0.0070,,
0.0395,8,193.9,21.8,0.0075,,
0.0480,9,194.6,21.8,0.0075,,
0.0565,10,195.7,21.8,0.0070,,
0.0645,11,196.9,21.8,0.0065,,
0.0730,12,197.7,21.8,0.0075,,
0.0805,13,198.8,21.8,0.0070,,
0.0890,14,199.8,21.8,0.0075,,
0.0975,15,200.5,21.8,0.0075,,
0.1060,16,201.5,21.8,0.0070,,
0.1145,17,202.5,21.8,0.0070,,
0.1230,18,202.9,21.8,0.0070,,
0.1305,19,203.7,21.8,0.0070,,
0.1390,20,204.5,21.8,0.0075,,
0.1470,21,205.8,21.8,0.0065,,
0.1555,22,207.0,21.8,0.0070,,
0.1640,23,207.2,21.8,0.0070,,
0.1725,24,207.9,21.8,0.0070,,
0.1800,25,208.4,21.8,0.0070,,
0.1885,26,208.7,21.8,0.0075,,
0.1970,27,209.5,21.8,0.0075,,
0.2055,28,210.4,21.8,0.0070,,
0.2135,29,211.6,21.8,0.0065,,
0.2220,30,212.3,21.8,0.0070,,
0.2295,31,212.7,21.8,0.0070,,
0.2380,32,213.1,21.8,0.0075,,
0.2465,33,213.8,21.8,0.0070,,
0.2550,34,214.4,21.8,0.0070,,
0.2635,35,215.0,21.8,0.0070,,
0.2720,36,215.5,21.8,0.0070,,
0.2795,37,215.7,21.8,0.0070,,
0.2880,38,216.2,21.8,0.0075,,
0.2960,39,216.8,21.8,0.0065,,
0.3045,40,217.3,21.8,0.0070,,
0.3130,41,217.7,21.8,0.0070,,
0.3215,42,218.4,21.8,0.0070,,
0.3290,43,218.8,21.8,0.0070,,
0.3375,44,219.3,21.8,0.0075,,
0.3460,45,219.7,21.8,0.0070,,
0.3545,46,219.6,21.8,0.0070,,
0.3630,47,219.7,21.8,0.0070,,
0.3710,48,220.5,21.8,0.0075,,
0.3790,49,221.4,21.8,0.0075,,
0.3870,50,221.8,21.8,0.0075,,
0.3955,51,221.5,21.8,0.0070,,
0.4040,52,222.0,21.8,0.0070,,
0.4125,53,222.6,21.8,0.0070,,
0.4210,54,223.1,21.8,0.0075,,
0.4285,55,223.2,21.8,0.0070,,
0.4370,56,223.1,21.8,0.0075,,
0.4455,57,223.8,21.8,0.0070,,
0.4540,58,224.6,21.8,0.0070,,
0.4620,59,224.4,21.8,0.0065,,
0.4705,60,225.3,21.8,0.0075,,
0.4780,61,225.7,21.8,0.0070,,
0.4865,62,226.0,21.8,0.0075,,
0.4950,63,226.3,21.8,0.0070,,
0.5035,64,226.3,21.8,0.0070,,
0.5120,65,226.4,21.8,0.0070,,
0.5205,66,227.4,21.8,0.0075,,
0.5280,67,227.7,21.8,0.0070,,
0.5360,68,228.0,21.8,0.0075,,
0.5445,69,228.0,21.8,0.0070,,
0.5530,70,228.6,21.8,0.0070,,
0.5615,71,228.9,21.8,0.0070,,
0.5700,72,229.2,21.8,0.0075,,
