Raw Data
Scope 1/1, Sample 1/9 (2-Aug-16 Bin1)
Method Function,Sample (S1)
0.2140,29,-87.6,21.6,0.0070,,
0.2215,30,-86.8,21.5,0.0070,,
0.2300,31,-85.7,21.6,0.0075,,
0.2380,32,-84.6,21.6,0.0075,,
0.2465,33,-83.5,21.5,0.0070,,
0.2550,34,-82.3,21.6,0.0070,,
0.2635,35,-80.7,21.6,0.0070,,
0.2720,36,-80.1,21.6,0.0075,,
0.2795,37,-78.7,21.6,0.0070,,
0.2880,38,-77.3,21.6,0.0075,,
0.2965,39,-76.0,21.6,0.0070,,
0.3045,40,-74.5,21.6,0.0065,,
0.3130,41,-73.3,21.6,0.0070,,
0.3215,42,-72.1,21.6,0.0075,,
0.3290,43,-70.2,21.6,0.0070,,
0.3375,44,-68.5,21.6,0.0075,,
0.3460,45,-66.9,21.6,0.0070,,
0.3545,46,-64.7,21.6,0.0070,,
0.3630,47,-62.8,21.6,0.0070,,
0.3710,48,-61.8,21.6,0.0075,,
0.3790,49,-59.4,21.6,0.0075,,
0.3870,50,-57.2,21.6,0.0075,,
0.3955,51,-54.6,21.6,0.0070,,
0.4040,52,-52.0,21.6,0.0070,,
0.4125,53,-49.9,21.6,0.0070,,
0.4210,54,-47.9,21.6,0.0075,,
0.4285,55,-45.0,21.6,0.0070,,
0.4370,56,-42.1,21.6,0.0075,,
0.4455,57,-38.2,21.6,0.0070,,
0.4540,58,-34.2,21.6,0.0070,,
0.4620,59,-30.3,21.6,0.0065,,
0.4705,60,-26.7,21.6,0.0075,,
0.4780,61,-22.5,21.5,0.0070,,
0.4865,62,-18.4,21.6,0.0075,,
0.4950,63,-14.1,21.6,0.0070,,
0.5035,64,-10.3,21.6,0.0070,,
0.5120,65,-6.8,21.6,0.0070,,
0.5205,66,-3.8,21.6,0.0075,,
0.5280,67,-0.7,21.6,0.0070,,
0.5365,68,1.0,21.6,0.0075,,
0.5445,69,2.1,21.6,0.0065,,
0.5530,70,4.2,21.6,0.0070,,
0.5615,71,6.0,21.6,0.0070,,
0.5690,72,7.9,21.6,0.0070,,
0.5775,73,9.5,21.6,0.0075,,
0.5860,74,11.2,21.6,0.0075,,
0.5945,75,12.7,21.6,0.0070,,
0.6030,76,13.4,21.6,0.0070,,
0.6115,77,15.0,21.6,0.0070,,
0.6190,78,16.6,21.6,0.0070,,
0.6275,79,17.8,21.6,0.0075,,
0.6355,80,18.7,21.6,0.0075,,
0.6440,81,19.6,21.6,0.0070,,
0.6525,82,20.4,21.6,0.0070,,
0.6610,83,21.5,21.6,0.0070,,
0.6685,84,22.6,21.6,0.0070,,
0.6770,85,23.5,21.6,0.0075,,
0.6855,86,24.5,21.6,0.0075,,
0.6940,87,26.0,21.6,0.0070,,
0.7020,88,27.3,21.6,0.0065,,
0.7105,89,28.2,21.6,0.0070,,
0.7180,90,28.7,21.6,0.0070,,
0.7265,91,29.7,21.6,0.0075,,
0.7350,92,30.6,21.6,0.0075,,
0.7435,93,31.2,21.6,0.0070,,
0.7520,94,32.1,21.6,0.0070,,
0.7605,95,33.1,21.6,0.0070,,
0.7680,96,34.8,21.6,0.0070,,
0.7765,97,35.9,21.6,0.0075,,
0.7845,98,36.8,21.6,0.0075,,
0.7930,99,37.6,21.6,0.0070,,
0.8015,100,38.6,21.6,0.0070,,
0.8100,101,39.5,21.6,0.0070,,
0.8185,102,40.3,21.6,0.0075,,
0.8260,103,40.9,21.6,0.0070,,
0.8345,104,41.2,21.6,0.0075,,
0.8430,105,42.3,21.6,0.0070,,
0.8510,106,42.8,21.6,0.0065,,
0.8595,107,43.7,21.6,0.0070,,
0.8670,108,44.5,21.6,0.0070,,
0.8755,109,45.4,21.6,0.0075,,
0.8840,110,46.3,21.6,0.0070,,
0.8925,111,47.3,21.6,0.0070,,
0.9010,112,48.4,21.6,0.0070,,
0.9095,113,49.1,21.6,0.0070,,
0.9175,114,49.9,21.6,0.0075,,
0.9255,115,50.7,21.6,0.0075,,
0.9335,116,51.9,21.6,0.0075,,
0.9420,117,53.0,21.6,0.0070,,
0.9505,118,54.1,21.6,0.0070,,
0.9590,119,55.4,21.6,0.0070,,
0.9675,120,56.2,21.6,0.0075,,
0.9750,121,57.2,21.6,0.0070,,
0.9835,122,57.9,21.6,0.0075,,
0.9920,123,58.8,21.6,0.0070,,
1.0000,124,60.0,21.6,0.0065,,
1.0085,125,60.4,21.6,0.0070,,
1.0170,126,61.5,21.6,0.0070,,
1.0245,127,62.5,21.6,0.0070,,
1.0330,128,64.4,21.6,0.0075,,
1.0415,129,65.9,21.6,0.0070,,
1.0500,130,67.0,21.6,0.0070,,
1.0585,131,68.2,21.6,0.0070,,
1.0665,132,69.4,21.6,0.0065,,
1.0745,133,70.2,21.6,0.0075,,
1.0825,134,71.4,21.6,0.0075,,
1.0910,135,72.3,21.6,0.0070,,
1.0995,136,73.2,21.6,0.0070,,
1.1080,137,74.1,21.6,0.0070,,
1.1165,138,75.3,21.6,0.0075,,
1.1240,139,76.9,21.6,0.0070,,
1.1325,140,78.3,21.6,0.0075,,
1.1410,141,80.1,21.6,0.0070,,
1.1495,142,81.7,21.6,0.0070,,
1.1575,143,83.5,21.6,0.0065,,
1.1660,144,85.0,21.6,0.0075,,
1.1735,145,87.3,21.6,0.0070,,
1.1820,146,89.6,21.6,0.0075,,
1.1905,147,91.5,21.6,0.0070,,
1.1990,148,93.5,21.6,0.0070,,
1.2075,149,96.4,21.6,0.0070,,
1.2150,150,98.5,21.6,0.0070,,
1.2235,151,101.0,21.6,0.0075,,
1.2320,152,104.2,21.6,0.0075,,
1.2400,153,107.9,21.6,0.0065,,
1.2485,154,111.0,21.6,0.0070,,
1.2570,155,114.4,21.6,0.0070,,
1.2645,156,118.1,21.6,0.0070,,
1.2730,157,122.2,21.6,0.0075,,
1.2815,158,126.5,21.6,0.0075,,
1.2900,159,130.7,21.6,0.0070,,
1.2985,160,136.2,21.6,0.0070,,
1.3070,161,140.3,21.6,0.0070,,
1.3145,162,144.6,21.6,0.0070,,
1.3230,163,149.0,21.6,0.0075,,
1.3310,164,154.0,21.6,0.0075,,
1.3395,165,158.0,21.6,0.0070,,
1.3480,166,161.6,21.6,0.0070,,
1.3565,167,164.7,21.6,0.0070,,
1.3650,168,168.2,21.6,0.0075,,
1.3725,169,170.9,21.6,0.0070,,
1.3810,170,173.3,21.6,0.0075,,
1.3890,171,175.5,21.6,0.0065,,
1.3975,172,177.4,21.6,0.0070,,
1.4060,173,179.4,21.6,0.0070,,
1.4145,174,181.7,21.6,0.0070,,
1.4205,175,183.8,21.6,0.0055,,
1.4250,176,184.8,21.6,0.0040,,
1.4285,177,185.2,21.6,0.0030,,
1.4315,178,186.0,21.6,0.0025,,
1.4345,179,187.0,21.6,0.0025,,
1.4385,180,187.5,21.6,0.0035,,
1.4410,181,187.7,21.6,0.0025,,
1.4415,182,188.3,21.6,0.0005,,
1.4420,183,188.5,21.6,0.0005,,
1.4425,184,188.6,21.6,0.0005,,
1.4440,185,188.8,21.6,0.0010,,
1.4450,186,189.5,21.6,0.0010,,
1.4450,186,190.1,21.6,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.6,21.8,NaN,,
0.0005,1,189.5,21.8,0.0005,,
0.0020,2,190.0,21.8,0.0015,,
0.0045,3,190.4,21.8,0.0020,,
0.0085,4,190.7,21.8,0.0035,,
0.0145,5,191.0,21.8,0.0050,,
0.0230,6,191.8,21.8,0.0070,,
0.0305,7,193.0,21.8,0.0070,,
0.0390,8,194.0,21.8,0.0075,,
0.0475,9,195.2,21.7,0.0075,,
0.0560,10,196.6,21.8,0.0070,,
0.0640,11,197.5,21.7,0.0065,,
0.0725,12,198.5,21.8,0.0075,,
0.0800,13,199.5,21.8,0.0070,,
0.0885,14,200.6,21.8,0.0075,,
0.0970,15,201.4,21.7,0.0070,,
0.1055,16,202.4,21.8,0.0070,,
0.1140,17,203.1,21.8,0.0070,,
0.1225,18,203.8,21.8,0.0075,,
0.1300,19,204.5,21.8,0.0070,,
0.1385,20,205.3,21.8,0.0075,,
0.1465,21,205.9,21.7,0.0065,,
0.1550,22,206.9,21.8,0.0070,,
0.1635,23,207.7,21.8,0.0070,,
0.1720,24,208.5,21.8,0.0070,,
0.1795,25,208.9,21.7,0.0070,,
0.1880,26,209.6,21.8,0.0075,,
0.1965,27,210.4,21.8,0.0070,,
0.2050,28,210.9,21.8,0.0070,,
0.2130,29,211.5,21.8,0.0065,,
0.2215,30,212.1,21.8,0.0070,,
0.2290,31,212.3,21.8,0.0070,,
0.2375,32,213.0,21.7,0.0075,,
0.2460,33,213.8,21.8,0.0075,,
0.2545,34,214.4,21.7,0.0070,,
0.2630,35,214.8,21.7,0.0070,,
0.2715,36,214.7,21.7,0.0070,,
0.2790,37,215.0,21.7,0.0070,,
0.2875,38,215.4,21.7,0.0075,,
0.2955,39,216.4,21.8,0.0065,,
0.3040,40,216.7,21.7,0.0070,,
0.3125,41,217.3,21.8,0.0070,,
0.3210,42,217.8,21.7,0.0070,,
0.3285,43,218.7,21.8,0.0070,,
0.3370,44,219.0,21.7,0.0075,,
0.3455,45,219.4,21.8,0.0075,,
0.3540,46,219.6,21.8,0.0070,,
0.3620,47,219.4,21.7,0.0065,,
0.3705,48,220.0,21.8,0.0070,,
0.3780,49,220.5,21.8,0.0070,,
0.3865,50,221.4,21.7,0.0075,,
0.3950,51,221.9,21.7,0.0075,,
0.4035,52,222.5,21.7,0.0070,,
0.4120,53,222.5,21.8,0.0070,,
0.4205,54,222.3,21.8,0.0070,,
0.4280,55,222.9,21.8,0.0070,,
0.4365,56,223.7,21.7,0.0075,,
0.4445,57,224.3,21.7,0.0075,,
0.4530,58,224.7,21.7,0.0070,,
0.4615,59,224.9,21.8,0.0070,,
0.4700,60,225.2,21.7,0.0070,,
0.4785,61,225.5,21.8,0.0075,,
0.4860,62,226.1,21.8,0.0070,,
0.4945,63,226.4,21.7,0.0075,,
0.5030,64,226.7,21.7,0.0070,,
0.5110,65,226.8,21.7,0.0065,,
0.5195,66,227.1,21.8,0.0070,,
0.5280,67,227.1,21.7,0.0075,,
0.5355,68,227.3,21.8,0.0070,,
0.5440,69,227.8,21.7,0.0075,,
0.5525,70,228.2,21.7,0.0070,,
0.5610,71,228.9,21.8,0.0070,,
0.5695,72,229.2,21.7,0.0070,,
0.5775,73,229.5,21.7,0.0075,,
0.5855,74,229.7,21.8,0.0075,,
0.5935,75,229.6,21.7,0.0075,,
0.6020,76,229.5,21.7,0.0070,,
0.6105,77,230.0,21.7,0.0070,,
0.6190,78,230.5,21.8,0.0070,,
0.6275,79,230.8,21.8,0.0070,,
0.6350,80,230.9,21.7,0.0070,,
0.6435,81,231.6,21.7,0.0075,,
0.6520,82,231.9,21.7,0.0070,,
0.6600,83,232.1,21.8,0.0065,,
0.6685,84,232.5,21.8,0.0070,,
0.6770,85,232.8,21.7,0.0075,,
0.6845,86,233.0,21.8,0.0070,,
0.6930,87,233.1,21.8,0.0070,,
0.7015,88,233.5,21.7,0.0070,,
0.7100,89,233.6,21.8,0.0070,,
0.7185,90,233.8,21.7,0.0070,,
0.7265,91,234.2,21.7,0.0075,,
0.7345,92,234.4,21.8,0.0075,,
0.7425,93,234.6,21.8,0.0075,,
0.7510,94,235.0,21.7,0.0070,,
0.7595,95,235.1,21.8,0.0070,,
0.7680,96,235.4,21.7,0.0070,,
0.7765,97,235.7,21.7,0.0070,,
0.7840,98,235.9,21.8,0.0070,,
0.7925,99,236.0,21.7,0.0075,,
0.8010,100,236.2,21.8,0.0075,,
0.8090,101,236.1,21.7,0.0065,,
0.8170,102,235.9,21.8,0.0065,,
0.8255,103,236.0,21.8,0.0070,,
0.8330,104,236.0,21.7,0.0070,,
0.8415,105,236.2,21.8,0.0075,,
0.8500,106,236.5,21.8,0.0075,,
0.8585,107,237.0,21.8,0.0070,,
0.8665,108,237.1,21.7,0.0065,,
0.8745,109,237.6,21.8,0.0065,,
0.8805,110,237.3,21.7,0.0055,,
0.8810,111,237.4,21.8,0.0005,,
0.8815,112,237.5,21.8,0.0005,,
0.8830,113,237.6,21.7,0.0010,,
0.8840,114,238.1,21.8,0.0010,,
0.8865,115,238.5,21.8,0.0020,,
0.8895,116,238.3,21.8,0.0025,,
0.8945,117,238.8,21.8,0.0045,,
0.9015,118,238.9,21.8,0.0065,,
0.9055,119,239.1,21.8,0.0035,,
0.9065,120,239.2,21.7,0.0010,,
0.9075,121,239.3,21.8,0.0010,,
0.9080,122,239.3,21.8,0.0005,,
0.9090,123,239.2,21.8,0.0010,,
0.9110,124,239.2,21.8,0.0020,,
0.9120,125,239.2,21.7,0.0010,,
0.9135,126,239.3,21.8,0.0010,,
0.9150,127,239.3,21.8,0.0010,,
0.9160,128,239.1,21.8,0.0010,,
0.9165,129,238.5,21.7,0.0005,,
0.9175,130,238.6,21.8,0.0010,,
0.9180,131,238.9,21.8,0.0005,,
0.9190,132,239.2,21.8,0.0010,,
0.9205,133,239.3,21.8,0.0010,,
0.9220,134,238.9,21.8,0.0015,,
0.9225,135,239.0,21.8,0.0005,,
0.9225,136,238.4,21.8,0.0000,,
0.9235,137,238.5,21.8,0.0010,,
0.9245,138,238.6,21.8,0.0010,,
0.9250,139,238.5,21.8,0.0005,,
0.9260,140,238.5,21.8,0.0010,,
0.9270,141,238.7,21.8,0.0010,,
0.9280,142,238.8,21.8,0.0010,,
0.9295,143,238.9,21.7,0.0010,,
0.9300,144,238.8,21.7,0.0005,,
0.9305,145,238.7,21.8,0.0005,,
0.9310,146,238.6,21.7,0.0005,,
0.9320,147,238.7,21.8,0.0010,,
0.9330,148,238.7,21.7,0.0010,,
0.9335,149,239.0,21.8,0.0005,,
0.9345,150,239.0,21.8,0.0010,,
0.9350,151,239.1,21.8,0.0005,,
0.9360,152,238.8,21.8,0.0010,,
0.9360,153,239.6,21.8,0.0000,,
0.9370,154,239.9,21.8,0.0010,,
0.9380,155,239.5,21.7,0.0010,,
0.9385,156,239.4,21.8,0.0005,,
0.9395,157,240.0,21.8,0.0010,,
Scope 1/1, Sample 3/9 (2-Aug-16 Bin3)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-98.3,21.6,NaN,,
0.0005,1,-101.0,21.5,0.0005,,
0.0020,2,-101.4,21.5,0.0015,,
0.0050,3,-101.2,21.5,0.0025,,
0.0085,4,-101.6,21.5,0.0030,,
0.0145,5,-101.7,21.5,0.0050,,
0.0230,6,-101.6,21.5,0.0070,,
0.0305,7,-101.4,21.5,0.0070,,
0.0390,8,-100.5,21.5,0.0075,,
0.0475,9,-99.7,21.5,0.0075,,
0.0560,10,-99.1,21.5,0.0070,,
0.0640,11,-98.6,21.5,0.0065,,
0.0725,12,-98.5,21.5,0.0070,,
0.0810,13,-98.2,21.5,0.0075,,
0.0885,14,-97.5,21.5,0.0070,,
0.0970,15,-96.6,21.5,0.0075,,
0.1055,16,-95.7,21.5,0.0070,,
0.1140,17,-94.8,21.5,0.0070,,
0.1225,18,-93.8,21.5,0.0070,,
0.1300,19,-93.1,21.5,0.0070,,
0.1385,20,-92.1,21.5,0.0075,,
0.1470,21,-90.9,21.5,0.0075,,
0.1550,22,-90.1,21.5,0.0065,,
0.1635,23,-89.3,21.5,0.0070,,
0.1720,24,-88.3,21.5,0.0070,,
0.1795,25,-87.4,21.5,0.0070,,
0.1880,26,-86.4,21.5,0.0075,,
0.1965,27,-85.5,21.5,0.0075,,
0.2050,28,-84.4,21.5,0.0070,,
0.2135,29,-83.3,21.5,0.0070,,
0.2215,30,-82.5,21.5,0.0065,,
0.2295,31,-81.2,21.5,0.0075,,
0.2375,32,-80.0,21.5,0.0075,,
0.2460,33,-78.8,21.5,0.0075,,
0.2545,34,-77.5,21.5,0.0070,,
0.2630,35,-76.9,21.5,0.0070,,
0.2715,36,-75.6,21.5,0.0070,,
0.2790,37,-73.8,21.5,0.0070,,
0.2875,38,-72.4,21.5,0.0075,,
0.2960,39,-71.0,21.5,0.0070,,
0.3045,40,-69.5,21.5,0.0070,,
0.3125,41,-68.2,21.5,0.0065,,
0.3210,42,-66.4,21.5,0.0075,,
0.3285,43,-64.7,21.5,0.0070,,
0.3370,44,-63.3,21.5,0.0075,,
0.3455,45,-61.3,21.5,0.0070,,
0.3540,46,-59.3,21.5,0.0070,,
0.3625,47,-57.0,21.5,0.0070,,
0.3710,48,-54.8,21.5,0.0070,,
0.3785,49,-52.5,21.5,0.0070,,
0.3870,50,-50.0,21.5,0.0075,,
0.3950,51,-47.5,21.5,0.0065,,
0.4035,52,-44.5,21.5,0.0070,,
0.4120,53,-41.5,21.5,0.0070,,
0.4205,54,-38.2,21.5,0.0070,,
0.4280,55,-34.6,21.5,0.0070,,
0.4365,56,-31.0,21.5,0.0075,,
0.4450,57,-26.9,21.5,0.0070,,
0.4535,58,-22.8,21.5,0.0070,,
0.4615,59,-18.6,21.5,0.0065,,
0.4700,60,-14.5,21.5,0.0070,,
0.4775,61,-10.7,21.5,0.0070,,
0.4860,62,-8.0,21.5,0.0075,,
0.4945,63,-4.5,21.5,0.0075,,
0.5030,64,-1.1,21.5,0.0070,,
0.5115,65,1.5,21.5,0.0070,,
0.5200,66,2.8,21.5,0.0070,,
0.5275,67,4.1,21.5,0.0070,,
0.5360,68,5.8,21.5,0.0075,,
0.5440,69,7.7,21.5,0.0065,,
0.5525,70,9.6,21.5,0.0070,,
0.5610,71,11.0,21.5,0.0070,,
0.5695,72,12.3,21.5,0.0070,,
0.5770,73,13.3,21.5,0.0070,,
0.5855,74,14.7,21.5,0.0075,,
0.5940,75,16.3,21.5,0.0070,,
0.6025,76,17.2,21.5,0.0070,,
0.6110,77,18.6,21.5,0.0070,,
0.6190,78,19.7,21.5,0.0075,,
0.6270,79,20.7,21.5,0.0075,,
0.6350,80,21.6,21.5,0.0075,,
0.6435,81,23.0,21.5,0.0070,,
0.6520,82,23.6,21.5,0.0070,,
0.6605,83,24.6,21.5,0.0070,,
0.6690,84,25.6,21.5,0.0070,,
0.6765,85,26.5,21.5,0.0070,,
0.6850,86,27.6,21.5,0.0075,,
0.6935,87,28.6,21.5,0.0070,,
0.7015,88,29.5,21.5,0.0065,,
0.7100,89,30.5,21.5,0.0070,,
0.7185,90,31.5,21.5,0.0070,,
0.7260,91,32.3,21.5,0.0070,,
0.7345,92,33.5,21.5,0.0075,,
0.7430,93,35.0,21.5,0.0070,,
0.7515,94,36.2,21.5,0.0070,,
0.7600,95,37.3,21.5,0.0070,,
0.7680,96,37.8,21.5,0.0075,,
0.7760,97,38.4,21.5,0.0075,,
0.7840,98,39.2,21.5,0.0075,,
0.7925,99,40.2,21.5,0.0070,,
0.8010,100,41.0,21.5,0.0070,,
0.8095,101,42.3,21.5,0.0070,,
0.8180,102,43.0,21.5,0.0075,,
0.8255,103,44.4,21.5,0.0070,,
0.8340,104,44.7,21.5,0.0075,,
0.8425,105,45.9,21.5,0.0070,,
0.8510,106,46.5,21.5,0.0070,,
0.8590,107,46.9,21.5,0.0065,,
0.8670,108,48.0,21.5,0.0075,,
0.8750,109,48.6,21.5,0.0075,,
0.8835,110,49.4,21.5,0.0075,,
0.8920,111,50.5,21.5,0.0070,,
0.9005,112,51.7,21.5,0.0070,,
0.9090,113,52.7,21.5,0.0070,,
0.9165,114,53.4,21.5,0.0070,,
0.9250,115,54.9,21.5,0.0075,,
0.9335,116,56.0,21.5,0.0070,,
0.9420,117,56.9,21.5,0.0070,,
0.9500,118,57.9,21.5,0.0065,,
0.9585,119,59.1,21.5,0.0070,,
0.9660,120,59.8,21.5,0.0070,,
0.9745,121,60.8,21.5,0.0075,,
0.9830,122,61.7,21.5,0.0075,,
0.9915,123,62.7,21.5,0.0070,,
1.0000,124,63.8,21.5,0.0070,,
1.0085,125,65.1,21.5,0.0070,,
1.0160,126,65.7,21.5,0.0070,,
1.0245,127,67.5,21.5,0.0075,,
1.0325,128,68.6,21.5,0.0065,,
1.0410,129,69.8,21.5,0.0070,,
1.0495,130,70.8,21.5,0.0070,,
1.0580,131,71.6,21.5,0.0070,,
1.0655,132,72.6,21.5,0.0070,,
1.0740,133,73.9,21.5,0.0075,,
1.0825,134,75.1,21.5,0.0075,,
1.0910,135,76.8,21.5,0.0070,,
1.0990,136,78.0,21.5,0.0065,,
1.1075,137,79.7,21.5,0.0070,,
1.1150,138,80.9,21.5,0.0070,,
1.1235,139,82.6,21.5,0.0075,,
1.1320,140,84.7,21.5,0.0075,,
1.1405,141,86.5,21.5,0.0070,,
1.1490,142,88.7,21.5,0.0070,,
1.1575,143,90.9,21.5,0.0070,,
1.1650,144,92.5,21.5,0.0070,,
1.1735,145,95.1,21.5,0.0075,,
1.1820,146,97.3,21.5,0.0070,,
1.1900,147,99.7,21.5,0.0065,,
1.1985,148,101.7,21.5,0.0070,,
1.2070,149,104.8,21.5,0.0070,,
1.2145,150,107.5,21.5,0.0070,,
1.2230,151,111.2,21.5,0.0075,,
1.2315,152,115.0,21.5,0.0075,,
1.2400,153,118.7,21.5,0.0070,,
1.2485,154,122.2,21.5,0.0070,,
1.2565,155,127.6,21.5,0.0065,,
1.2645,156,131.6,21.5,0.0075,,
1.2725,157,136.8,21.5,0.0075,,
1.2810,158,141.4,21.5,0.0075,,
1.2895,159,145.9,21.5,0.0070,,
1.2980,160,150.9,21.5,0.0070,,
1.3065,161,155.2,21.5,0.0070,,
1.3140,162,158.6,21.5,0.0070,,
1.3225,163,162.1,21.5,0.0075,,
1.3310,164,165.9,21.5,0.0075,,
1.3390,165,168.8,21.5,0.0065,,
1.3475,166,171.3,21.5,0.0070,,
1.3560,167,173.8,21.5,0.0070,,
1.3635,168,176.2,21.5,0.0070,,
1.3720,169,178.5,21.5,0.0075,,
1.3805,170,180.4,21.5,0.0075,,
1.3890,171,182.2,21.5,0.0070,,
1.3970,172,184.1,21.5,0.0065,,
1.4040,173,185.7,21.5,0.0060,,
1.4040,174,186.7,21.5,0.0000,,
1.4070,175,187.4,21.5,0.0025,,
1.4075,176,187.7,21.5,0.0005,,
1.4080,177,187.9,21.5,0.0005,,
1.4100,178,188.1,21.5,0.0015,,
1.4130,179,188.2,21.5,0.0025,,
1.4160,180,188.8,21.5,0.0025,,
1.4180,181,189.3,21.5,0.0020,,
1.4185,182,189.3,21.5,0.0005,,
1.4185,183,188.7,21.5,0.0000,,
1.4195,184,189.1,21.5,0.0010,,
1.4210,185,189.5,21.5,0.0010,,
1.4210,185,190.1,21.5,0.0000,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,189.5,21.8,NaN,,
0.0005,1,190.5,21.8,0.0005,,
0.0020,2,190.5,21.8,0.0015,,
0.0050,3,190.4,21.8,0.0025,,
0.0085,4,190.5,21.8,0.0030,,
0.0145,5,191.1,21.8,0.0050,,
0.0230,6,192.1,21.8,0.0070,,
0.0305,7,192.7,21.8,0.0070,,
0.0390,8,194.1,21.8,0.0075,,
0.0475,9,195.6,21.8,0.0075,,
0.0560,10,196.9,21.8,0.0070,,
0.0645,11,197.7,21.8,0.0070,,
0.0725,12,198.8,21.8,0.0065,,
0.0805,13,199.8,21.8,0.0075,,
0.0885,14,200.6,21.8,0.0075,,
0.0970,15,201.6,21.8,0.0075,,
0.1055,16,202.6,21.8,0.0070,,
0.1140,17,203.3,21.8,0.0070,,
0.1225,18,204.2,21.8,0.0070,,
0.1300,19,204.6,21.8,0.0070,,
0.1385,20,205.5,21.8,0.0075,,
0.1470,21,206.4,21.8,0.0070,,
0.1550,22,207.1,21.8,0.0065,,
0.1635,23,207.6,21.8,0.0070,,
0.1720,24,208.4,21.8,0.0075,,
0.1795,25,208.5,21.8,0.0070,,
0.1880,26,208.9,21.8,0.0075,,
0.1965,27,209.4,21.8,0.0070,,
0.2050,28,210.6,21.8,0.0070,,
0.2135,29,211.4,21.8,0.0070,,
0.2220,30,212.1,21.8,0.0075,,
0.2295,31,212.8,21.8,0.0070,,
0.2380,32,213.0,21.8,0.0075,,
0.2460,33,213.3,21.8,0.0065,,
0.2545,34,213.4,21.8,0.0070,,
0.2630,35,214.0,21.8,0.0070,,
0.2705,36,215.3,21.8,0.0070,,
0.2790,37,215.8,21.8,0.0075,,
0.2875,38,216.3,21.8,0.0075,,
0.2960,39,216.9,21.8,0.0070,,
0.3045,40,217.5,21.8,0.0070,,
0.3125,41,217.6,21.8,0.0065,,
0.3205,42,218.2,21.8,0.0075,,
0.3285,43,218.8,21.8,0.0075,,
0.3370,44,219.2,21.8,0.0075,,
0.3455,45,219.7,21.8,0.0070,,
0.3540,46,220.1,21.8,0.0070,,
0.3625,47,220.4,21.8,0.0070,,
0.3700,48,220.7,21.8,0.0070,,
0.3785,49,221.1,21.8,0.0075,,
0.3870,50,221.0,21.8,0.0075,,
0.3950,51,221.5,21.8,0.0065,,
0.4035,52,222.1,21.8,0.0070,,
0.4120,53,222.5,21.8,0.0070,,
0.4205,54,222.3,21.8,0.0075,,
0.4280,55,222.6,21.8,0.0070,,
0.4365,56,222.8,21.8,0.0075,,
0.4450,57,223.2,21.8,0.0070,,
0.4535,58,223.7,21.8,0.0070,,
0.4615,59,224.3,21.8,0.0065,,
0.4700,60,224.7,21.8,0.0075,,
0.4775,61,224.8,21.8,0.0070,,
0.4860,62,224.9,21.8,0.0075,,
0.4945,63,225.5,21.8,0.0075,,
0.5030,64,225.6,21.8,0.0070,,
0.5115,65,225.9,21.8,0.0070,,
0.5200,66,226.2,21.8,0.0070,,
0.5275,67,226.6,21.8,0.0070,,
0.5360,68,226.9,21.8,0.0075,,
0.5440,69,227.2,21.8,0.0065,,
0.5525,70,227.8,21.8,0.0070,,
0.5610,71,228.0,21.8,0.0070,,
0.5695,72,228.1,21.8,0.0070,,
0.5770,73,228.4,21.8,0.0070,,
0.5855,74,228.6,21.8,0.0075,,
0.5940,75,229.0,21.8,0.0075,,
0.6025,76,229.1,21.8,0.0070,,
0.6105,77,229.4,21.8,0.0065,,
0.6190,78,229.7,21.8,0.0070,,
0.6265,79,230.6,21.8,0.0070,,
0.6350,80,231.4,21.8,0.0075,,
0.6435,81,231.5,21.8,0.0075,,
0.6520,82,231.5,21.8,0.0070,,
0.6605,83,231.5,21.8,0.0070,,
0.6690,84,231.5,21.8,0.0070,,
0.6765,85,231.9,21.8,0.0070,,
0.6850,86,232.1,21.8,0.0075,,
0.6930,87,232.3,21.8,0.0075,,
0.7015,88,232.9,21.8,0.0070,,
0.7100,89,233.8,21.8,0.0070,,
0.7185,90,234.0,21.8,0.0070,,
0.7270,91,234.0,21.8,0.0075,,
0.7345,92,234.4,21.8,0.0070,,
0.7430,93,234.5,21.8,0.0075,,
0.7510,94,234.9,21.8,0.0065,,
0.7595,95,235.0,21.8,0.0070,,
0.7680,96,235.4,21.8,0.0070,,
0.7755,97,235.4,21.8,0.0070,,
0.7840,98,235.5,21.8,0.0075,,
0.7925,99,235.8,21.8,0.0075,,
0.8010,100,235.8,21.8,0.0070,,
0.8095,101,235.9,21.8,0.0070,,
0.8180,102,236.4,21.8,0.0070,,
0.8260,103,236.2,21.8,0.0075,,
0.8340,104,236.5,21.8,0.0075,,
0.8420,105,236.8,21.8,0.0075,,
0.8505,106,236.7,21.8,0.0070,,
0.8585,107,237.2,21.8,0.0065,,
0.8670,108,237.6,21.8,0.0070,,
0.8750,109,237.1,21.8,0.0075,,
0.8820,110,237.3,21.8,0.0065,,
0.8890,111,237.6,21.8,0.0065,,
0.8945,112,238.1,21.8,0.0045,,
0.9020,113,238.7,21.8,0.0060,,
0.9100,114,238.8,21.8,0.0065,,
0.9135,115,238.1,21.8,0.0030,,
0.9140,116,238.3,21.8,0.0005,,
0.9145,117,238.3,21.8,0.0005,,
