Raw Data
0.6030,76,10.5,21.6,0.0070,,
0.6110,77,11.9,21.6,0.0065,,
0.6195,78,13.5,21.6,0.0070,,
0.6270,79,14.6,21.6,0.0070,,
0.6355,80,15.8,21.6,0.0075,,
0.6440,81,17.3,21.6,0.0070,,
0.6525,82,18.4,21.6,0.0070,,
0.6610,83,19.5,21.6,0.0070,,
0.6695,84,20.5,21.6,0.0070,,
0.6770,85,21.3,21.6,0.0070,,
0.6855,86,22.6,21.6,0.0075,,
0.6935,87,23.7,21.6,0.0065,,
0.7020,88,24.7,21.6,0.0070,,
0.7105,89,25.7,21.6,0.0070,,
0.7190,90,26.6,21.6,0.0070,,
0.7265,91,27.4,21.6,0.0070,,
0.7350,92,28.5,21.6,0.0075,,
0.7435,93,29.4,21.6,0.0070,,
0.7520,94,30.3,21.6,0.0070,,
0.7600,95,31.1,21.6,0.0065,,
0.7685,96,31.9,21.6,0.0075,,
0.7760,97,33.0,21.6,0.0070,,
0.7845,98,34.0,21.6,0.0075,,
0.7930,99,34.9,21.6,0.0075,,
0.8015,100,35.4,21.6,0.0070,,
0.8100,101,36.1,21.6,0.0070,,
0.8185,102,36.7,21.6,0.0075,,
0.8260,103,37.1,21.6,0.0070,,
0.8345,104,38.2,21.6,0.0075,,
0.8430,105,39.2,21.6,0.0070,,
0.8510,106,39.9,21.6,0.0065,,
0.8595,107,41.3,21.6,0.0070,,
0.8680,108,42.1,21.6,0.0075,,
0.8755,109,43.0,21.6,0.0070,,
0.8840,110,44.2,21.6,0.0075,,
0.8925,111,45.1,21.6,0.0070,,
0.9010,112,45.6,21.6,0.0070,,
0.9095,113,46.3,21.6,0.0070,,
0.9170,114,47.0,21.6,0.0070,,
0.9255,115,47.2,21.6,0.0075,,
0.9340,116,48.3,21.6,0.0075,,
0.9420,117,49.6,21.6,0.0065,,
0.9505,118,50.8,21.6,0.0070,,
0.9590,119,51.9,21.6,0.0070,,
0.9665,120,53.1,21.6,0.0070,,
0.9750,121,54.1,21.6,0.0075,,
0.9835,122,54.3,21.6,0.0075,,
0.9920,123,55.4,21.6,0.0070,,
1.0005,124,56.5,21.6,0.0070,,
1.0085,125,57.4,21.6,0.0065,,
1.0165,126,58.4,21.6,0.0075,,
1.0250,127,59.2,21.6,0.0075,,
1.0330,128,59.6,21.6,0.0065,,
1.0415,129,60.3,21.6,0.0070,,
1.0500,130,61.2,21.6,0.0070,,
1.0585,131,62.4,21.6,0.0075,,
1.0660,132,63.3,21.6,0.0070,,
1.0745,133,64.0,21.6,0.0075,,
1.0830,134,65.3,21.6,0.0070,,
1.0915,135,66.1,21.6,0.0070,,
1.0995,136,67.3,21.6,0.0065,,
1.1080,137,68.5,21.6,0.0070,,
1.1155,138,69.3,21.6,0.0070,,
1.1240,139,70.7,21.6,0.0075,,
1.1325,140,72.0,21.6,0.0075,,
1.1410,141,73.1,21.6,0.0070,,
1.1495,142,74.6,21.6,0.0070,,
1.1575,143,76.0,21.6,0.0065,,
1.1655,144,77.3,21.6,0.0075,,
1.1735,145,78.6,21.6,0.0075,,
1.1820,146,79.8,21.6,0.0075,,
1.1905,147,80.8,21.6,0.0070,,
1.1990,148,82.7,21.6,0.0070,,
1.2075,149,85.1,21.6,0.0070,,
1.2160,150,86.8,21.6,0.0075,,
1.2235,151,88.8,21.6,0.0070,,
1.2320,152,90.0,21.6,0.0075,,
1.2400,153,91.8,21.6,0.0065,,
1.2485,154,94.1,21.6,0.0070,,
1.2570,155,97.1,21.6,0.0070,,
